Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
8,0,38,0,4370,71,5,17,3,1,1,30,197.633143366291,0
0,0,39,0,318,5,7,4,2,1,2,25,46.03340292889702,0
10,0,37,0,2453,60,359,24,3,1,1,30,1536.4666942176352,0
10,0,38,0,4198,66,1,35,1,1,1,15,240.01167309642364,0
3,0,38,0,2393,58,2,33,1,1,1,15,145.79994165412904,0
11,0,38,1,3775,82,32,28,3,1,1,30,282.2702069896611,0
4,0,38,0,2360,39,285,18,3,1,1,30,1235.917121407615,0
13,0,37,2,9115,121,144,43,3,1,1,30,945.4072002844878,0
7,0,38,0,13773,169,0,44,3,1,1,30,557.660652664001,0
7,0,38,1,4515,83,2,25,3,1,1,30,191.91334180762277,0
6,0,38,0,5918,95,7,12,3,1,1,30,268.51068435901874,0
9,0,38,0,2238,54,8,17,3,1,2,30,123.6757092265881,0
25,0,38,3,15140,225,54,32,3,1,1,30,830.5711843758413,0
4,0,38,1,3095,27,483,8,3,1,1,30,2056.808641607249,0
9,0,37,0,15485,182,150,30,2,1,1,25,1379.96712377369,0
3,0,37,1,6500,86,186,26,3,1,1,30,1007.4050493469754,0
0,0,37,0,875,14,0,11,2,1,2,25,40.00361212491638,1
2,0,38,0,710,14,13,8,3,1,2,30,80.95719129191923,0
0,0,37,0,0,0,0,0,2,1,2,25,0.0,1
3,0,37,0,7508,127,384,43,2,1,1,25,2071.5031318003653,0
7,0,37,1,11465,154,11,47,4,1,1,45,317.96396863942715,0
8,0,37,1,6718,75,108,37,2,1,1,25,791.6575344360559,0
23,1,33,0,955,47,16,17,2,1,2,25,117.08593785043013,1
21,1,36,8,10435,93,1,42,5,2,1,55,159.41446931518976,0
13,1,36,1,5818,98,26,24,2,1,1,25,383.2067051246207,1
1,0,34,0,2840,22,0,14,3,1,1,30,114.47602839796092,0
9,0,35,0,2990,41,9,16,3,1,2,30,157.23454494492813,1
9,1,36,0,2268,44,34,31,3,1,2,30,228.47207344834123,1
0,0,36,0,133,2,0,2,3,1,2,30,5.3998126602811745,1
1,0,36,0,1668,25,0,6,3,1,1,30,67.71765062115577,0
3,0,33,1,6785,97,14,22,5,1,1,55,124.2256901456908,0
0,1,36,0,628,7,9,4,4,1,2,45,38.37366867375743,1
0,0,36,1,338,4,4,2,5,1,1,55,11.129613872023977,0
25,0,31,3,16075,238,0,80,2,2,1,25,734.05953272639,0
6,0,34,3,6965,116,271,33,2,2,1,25,1538.0916378422571,0
2,0,36,0,3718,82,2,28,2,1,1,25,179.9937553427058,0
3,0,35,0,1665,44,38,20,3,1,2,30,220.35235515177033,0
6,0,36,0,2780,53,175,23,2,1,1,25,914.9532568458094,0
4,0,27,1,1315,36,193,11,2,2,1,25,929.2627603955543,0
4,0,26,0,1568,39,30,68,4,1,1,45,115.17100428664523,0
11,0,27,0,700,25,10,7,2,1,2,25,77.62230699154188,0
0,0,26,0,825,10,21,3,4,1,2,45,73.37245443483911,1
10,0,25,0,1225,32,19,13,2,1,1,25,142.06007140423057,0
2,0,25,0,3225,61,8,23,3,1,1,30,163.43432985117687,0
2,0,18,0,1695,26,28,14,2,1,1,25,203.43794197609324,0
16,0,17,1,6393,141,85,42,2,2,1,25,676.4595932518575,0
12,0,15,0,8933,171,73,40,4,1,1,45,410.05732072869915,0
8,0,16,3,2853,45,31,19,3,2,1,30,239.89503142947936,0
2,0,9,1,4390,40,215,10,3,1,1,30,1037.1640168969693,0
3,0,9,1,1488,19,0,7,3,1,1,30,60.27372663624965,1
11,0,40,1,4430,74,10,19,3,1,1,30,220.1370878605959,0
3,0,41,1,378,8,12,6,3,1,1,30,63.43339777378364,0
13,0,39,1,2513,63,364,26,3,1,1,30,1558.877750082592,0
13,0,40,1,4258,69,6,37,1,1,1,15,270.95679848248363,0
6,0,40,1,2453,61,7,35,2,1,1,25,144.61494829795598,0
14,0,40,2,3835,85,37,30,3,2,1,30,304.7682793418861,0
7,0,40,1,2420,42,290,20,3,1,1,30,1258.3490294822072,0
16,0,39,3,9175,124,149,45,3,1,1,30,967.8592640150002,0
10,0,40,1,13833,172,5,46,3,1,1,30,580.1396183535509,0
10,0,40,2,4575,86,7,27,3,1,1,30,214.41768314328758,0
9,0,40,1,5978,98,12,14,3,1,1,30,291.0097113505988,0
12,0,40,1,2298,57,13,19,3,1,1,30,146.18478490742697,0
28,0,40,4,15200,228,59,34,3,1,1,30,853.0312154598092,0
7,0,40,2,3155,30,488,10,3,1,1,30,2079.183596008917,0
12,0,39,1,15545,185,155,32,2,1,1,25,1405.2037446624659,0
6,0,39,2,6560,89,191,28,3,1,1,30,1029.8528116501607,0
3,0,39,1,935,17,5,13,2,1,1,25,65.33320004002243,0
5,0,40,1,770,17,18,10,3,1,1,30,103.46923079494216,0
3,1,39,1,60,3,5,2,2,1,1,25,25.33236337639988,1
6,0,39,1,7568,130,389,45,3,1,1,30,1863.726021098846,0
10,0,39,2,11525,157,16,49,4,2,1,45,332.0154434234688,0
11,0,39,2,6778,78,113,39,2,1,1,25,816.9349724012721,0
26,1,35,1,1015,50,21,19,3,1,1,30,126.58682468727946,1
24,1,38,9,10495,96,6,44,5,2,1,55,167.84753022219724,0
