Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn,Customer_Value
2.0,1.0,8.0,0.0,2789.0,93.0,4.0,15.0,3.0,1.0,1.0,35.0,98.62434919164188,0.0,98.5258233682735
3.0,0.0,46.0,1.0,8820.0,132.0,1.0,46.0,4.0,1.0,1.0,44.0,123.5130038657236,0.0,123.38961425147203
2.0,1.0,43.0,1.0,4112.0,79.0,37.0,27.0,4.0,1.0,1.0,37.0,157.164779393274,0.0,157.00777162165215
7.0,0.0,36.0,5.0,2025.0,194.0,182.0,35.0,3.0,1.0,1.0,31.0,546.4305444741951,0.0,545.8846598143803
1.0,0.0,29.0,0.0,761.0,47.0,7.0,9.0,2.0,1.0,1.0,22.0,9.738737444906606,0.0,9.729008436470128
12.0,0.0,37.0,2.0,8761.0,117.0,138.0,43.0,3.0,1.0,1.0,35.0,1099.0966259202278,0.0,1097.9986272929339
0.0,0.0,22.0,1.0,6500.0,96.0,57.0,18.0,3.0,2.0,1.0,28.0,470.5259440183738,0.0,470.0558881302431
3.0,0.0,35.0,1.0,6078.0,108.0,29.0,14.0,3.0,2.0,1.0,33.0,533.9169156739824,0.0,533.38353214184
1.0,0.0,25.0,1.0,1642.0,18.0,28.0,17.0,3.0,1.0,1.0,35.0,95.43122416559446,0.0,95.33588827731705
2.0,0.0,35.0,0.0,5128.0,105.0,90.0,29.0,3.0,1.0,1.0,28.0,809.6315883079001,0.0,808.8227655423569
0.0,0.0,19.0,0.0,6223.0,132.0,18.0,33.0,2.0,1.0,1.0,27.0,150.6351372111833,0.0,150.4846525586245
6.0,1.0,39.0,1.0,1648.0,28.0,18.0,28.0,2.0,1.0,1.0,24.0,102.48510330954102,0.0,102.38272058895195
23.0,0.0,31.0,3.0,7339.0,101.0,15.0,60.0,2.0,1.0,1.0,25.0,644.240233528645,0.0,643.5966368917526
1.0,1.0,17.0,0.0,12572.0,125.0,8.0,44.0,3.0,1.0,1.0,27.0,493.96574034337453,0.0,493.47226807529864
0.0,1.0,18.0,0.0,79.0,30.0,6.0,34.0,2.0,1.0,1.0,20.0,1.4017434142546314,0.0,1.4003430711834466
