X1 house age,X2 distance MRT station,X3 number convenience stores,X4 lat,X5 long,X6 price
32.0,84.87882,10,24.98298,121.54024,53.28119390185293
19.5,306.5947,9,24.98034,121.53951,64.68657229864519
13.3,561.9845,5,24.98746,121.54391,44.51668161426461
13.3,561.9845,5,24.98746,121.54391,44.51668161426461
5.0,390.5684,5,24.97937,121.54245,41.47665919024581
7.1,2175.03,3,24.96305,121.51254,28.111236728744267
34.5,623.4731,7,24.97933,121.53642,39.171132166168036
20.3,287.6025,6,24.98042,121.54228,52.441266298600894
31.7,5512.038,1,24.95095,121.48458,17.676445515978035
17.9,1783.18,3,24.96731,121.51486,23.006983241721848
34.8,405.2134,1,24.97349,121.53372,36.40172464932283
6.3,90.45606,9,24.97433,121.5431,53.56929564515059
13.0,492.2313,5,24.96515,121.53737,39.718077068555516
20.4,2469.645,4,24.96108,121.51046,22.32800072649097
13.2,1164.838,4,24.99156,121.53406,27.23950821789697
35.7,579.2083,2,24.9824,121.54619,41.22107384244249
0.0,292.9978,6,24.97744,121.54458,56.397447945766885
17.7,350.8515,1,24.97544,121.53119,36.814295463139565
16.9,368.1363,8,24.9675,121.54451,46.16102629433442
1.5,23.38284,7,24.96772,121.54102,48.469311834637494
4.5,2275.877,3,24.96314,121.51151,28.043093490405376
10.5,279.1726,7,24.97528,121.54541,46.856872892994716
14.7,1360.139,1,24.95204,121.54842,27.4299071199181
10.1,279.1726,7,24.97528,121.54541,46.856872892994716
39.6,480.6977,4,24.97353,121.53885,37.63539743043509
29.3,1487.868,2,24.97542,121.51726,27.43029778415172
3.1,383.8624,5,24.98085,121.54391,44.91201650027273
10.4,276.449,5,24.95593,121.53913,46.71451206810119
19.2,557.478,4,24.97419,121.53797,44.311737997643945
7.1,451.2438,5,24.97563,121.54694,39.45699857478803
25.9,4519.69,0,24.94826,121.49587,17.420228435588598
29.6,769.4034,7,24.98281,121.53408,32.50363139488368
37.9,488.5727,1,24.97349,121.53451,38.325446420985344
16.5,323.655,6,24.97841,121.54281,50.29308145708152
15.4,205.367,7,24.98419,121.54243,46.684462853707394
13.9,4079.418,0,25.01459,121.51816,17.493357478080014
14.7,1935.009,2,24.96386,121.51458,24.472155583270265
12.0,1360.139,1,24.95204,121.54842,27.4299071199181
3.1,577.9615,6,24.97201,121.54722,42.36414935911623
16.2,289.3248,5,24.98203,121.54348,52.982597642058096
13.6,4082.015,0,24.94155,121.50381,17.438945960992754
16.8,4066.587,0,24.94297,121.50342,16.95051536813162
36.1,519.4617,5,24.96305,121.53758,41.0665338402074
34.4,512.7871,6,24.98748,121.54301,40.60089416563267
2.7,533.4762,4,24.97445,121.54765,42.542537777380176
36.6,488.8193,8,24.97015,121.54494,39.420311547923774
21.7,463.9623,9,24.9703,121.54458,36.32763820630191
35.9,640.7391,3,24.97563,121.53715,42.5046338643927
24.2,4605.749,0,24.94684,121.49578,13.235014381680095
29.4,4510.359,1,24.94925,121.49542,18.05505427853248
21.7,512.5487,4,24.974,121.53842,40.772520255703284
31.3,1758.406,1,24.95402,121.55282,22.720379099973826
32.1,1438.579,3,24.97419,121.5175,21.733594284913465
13.3,492.2313,5,24.96515,121.53737,39.718077068555516
16.1,289.3248,5,24.98203,121.54348,52.982597642058096
31.7,1160.632,0,24.94968,121.53009,19.55537497245433
33.6,371.2495,8,24.97254,121.54059,46.67887370685054
3.5,56.47425,7,24.95744,121.53711,53.75900609549983
30.3,4510.359,1,24.94925,121.49542,18.05505427853248
13.3,336.0532,5,24.95776,121.53438,39.92336887106205
11.0,1931.207,2,24.96365,121.51471,23.5492485464124
5.3,259.6607,6,24.97585,121.54516,50.10096622379631
17.2,2175.877,3,24.96303,121.51254,27.887681093985606
2.6,533.4762,4,24.97445,121.54765,42.542537777380176
17.5,995.7554,0,24.96305,121.54915,25.355852081119572
40.1,123.7429,8,24.97635,121.54329,50.43995829211647
1.0,193.5845,6,24.96571,121.54089,48.055852119483454
8.5,104.8101,5,24.96674,121.54067,51.42394403714266
30.4,464.223,6,24.97964,121.53805,36.533638468239076
12.5,561.9845,5,24.98746,121.54391,44.51668161426461
6.6,90.45606,9,24.97433,121.5431,53.56929564515059
35.5,640.7391,3,24.97563,121.53715,42.5046338643927
32.5,424.5442,8,24.97587,121.53913,38.203114746070234
13.8,4082.015,0,24.94155,121.50381,17.438945960992754
6.8,379.5575,10,24.98343,121.53762,45.269063628446304
12.3,1360.139,1,24.95204,121.54842,27.4299071199181
35.9,616.4004,3,24.97723,121.53767,37.49355101004241
20.5,2185.128,3,24.96322,121.51237,25.43961015385418
38.2,552.4371,2,24.97598,121.53381,43.65248598033375
18.0,1414.837,1,24.95182,121.54887,31.641798161542255
11.8,533.4762,4,24.97445,121.54765,42.542537777380176
30.8,377.7956,6,24.96427,121.53964,46.65975759985872
13.2,150.9347,7,24.96725,121.54252,42.600520451548824
25.3,2707.392,3,24.96056,121.50831,17.367259006037575
15.1,383.2805,7,24.96735,121.54464,44.70489983469912
0.0,338.9679,9,24.96853,121.54413,41.432847083602375
1.8,1455.798,1,24.9512,121.549,25.66930976845586
16.9,4066.587,0,24.94297,121.50342,16.95051536813162
8.9,1406.43,0,24.98573,121.52758,38.28246355195097
23.0,3947.945,0,24.94783,121.50243,24.143164130306925
0.0,274.0144,1,24.9748,121.53059,49.4834665180267
9.1,1402.016,0,24.98569,121.5276,41.33067426124191
20.6,2469.645,4,24.96108,121.51046,22.32800072649097
31.9,1146.329,0,24.9492,121.53076,21.93230110252128
