Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance
September,51.91151691413181,Teacher,57487.12255766218,6761.411487682442,2,5,13.014255926183221,0.02517381500924649,Not Specified,20,16.54294259149921,7.14283860238055,1.1037393556090591,Good,1127.6089940738273,26.884421215878106,31.70045488419135,No,-5.269777492416178,57.85249190079103,High_spent_Large_value_payments,814.554531528318
September,28.469942858509807,Engineer,25817.2908567502,844.6916335519114,7,4,17.379932830789397,5.996123221438395,"Personal Loan, and Credit-Builder Loan",23,13.157055250007325,18.533775801707186,16.01562847576246,Standard,3200.0150914531546,28.47678524933718,8.843865735965748,Yes,129.74800618524853,51.54911623770053,Low_spent_Small_value_payments,330.9215505884628
October,51.26942500076877,Developer,-15174.62874136796,1552.5219766120083,3,6,8.482730709566388,1.9984033413189015,Not Specified,6,13.914671309826094,12.883733389865197,2.8681048266768396,_,317.808805152162,26.848900690884573,33.31414779018631,No,6.866160860901052,116.27977089965457,Low_spent_Medium_value_payments,288.91004484370984
December,34.548999854551724,Mechanic,1993.685327416053,1417.653357220958,4,5,10.177587891083848,2.001166228682887,"Mortgage Loan, Mortgage Loan, Debt Consolidation Loan, Payday Loan, Student Loan, Personal Loan, and Home Equity Loan",28,12.20281456614209,7.009250479905553,6.466061982818097,Standard,1277.3828541678747,29.06922126658296,18.814080498021163,NM,106.77150303077839,48.556959572709175,!@9#%8,262.2680496649496
December,39.82586852593993,Writer,69234.78559808037,4175.066914796008,4,6,11.436800822484653,1.9914511241695818,"Debt Consolidation Loan, and Payday Loan",29,21.546445921852126,-0.23145388232468544,3.5749006059437267,Good,633.2085906003017,31.3964171535089,20.48381051481102,NM,108.15480507623491,187.23867116688825,Low_spent_Small_value_payments,282.3929331256863
October,46.75975504085993,Accountant,44595.48961633873,6031.90687371664,7,9,11.216640875034516,6.003071142844526,"Credit-Builder Loan, Student Loan, Not Specified, Auto Loan, Credit-Builder Loan, Student Loan, Payday Loan, and Debt Consolidation Loan",25,10.356617857340176,12.174882111052764,6.609387517355958,Standard,1409.6915440177597,37.105682722576006,10.776137645254796,Yes,31.981738143983154,24.595417185714204,High_spent_Medium_value_payments,798.2618066180524
November,26.255569859341662,Lawyer,62213.19179780261,3704.549983347242,4,6,9.137263005831638,-0.019176831011828346,Not Specified,24,9.528122295086739,6.677777470664875,9.006789094823644,Good,1017.7092359941416,29.139690816154218,20.839014048709952,No,3.142324903504555,127.87036816020593,Low_spent_Medium_value_payments,214.21638538557158
October,32.05076825729202,Developer,32327.934979642454,711.0999069851183,9,9,19.24338672277168,7.952347114378303,"Payday Loan, Payday Loan, Payday Loan, Not Specified, Personal Loan, Payday Loan, and Home Equity Loan",53,23.576126633982547,19.877940837545424,17.341699706109345,Bad,4419.045825270922,32.975081166413254,3.611390413236218,Yes,47.69226494147746,78.49571329538033,Low_spent_Small_value_payments,253.75030040123815
December,35.772830873027324,Doctor,59307.6857105647,8977.440226567578,6,6,15.739332082210087,4.985916485663143,"Auto Loan, Personal Loan, Auto Loan, Home Equity Loan, and Home Equity Loan",40,14.97435267546204,1.6990784057613755,8.846421299982024,Standard,1843.6951719290998,34.21973194597907,8.094119761487882,Yes,60.81936926835467,153.8782089776678,!@9#%8,389.1843083443108
October,21.889409173060347,Journalist,93030.3812145501,5556.260549563705,7,6,20.94633019410922,5.987413575000995,"Debt Consolidation Loan, Payday Loan, Credit-Builder Loan, Debt Consolidation Loan, Home Equity Loan, Not Specified, and Not Specified",43,15.222933054605504,16.33565833196712,13.400620158850208,_,4675.366348493574,28.311609204651365,11.002094224097114,Yes,182.56348021855956,94.87879204694413,High_spent_Medium_value_payments,497.93843227474565
December,23.517817074881854,Engineer,22406.78890625887,986.0380674084784,6,9,20.988157798293194,6.980303747841566,"Auto Loan, Payday Loan, Auto Loan, Mortgage Loan, Debt Consolidation Loan, and Home Equity Loan",55,18.520982370856018,26.158449552084257,16.32512085759128,Bad,3275.588368036568,34.75411333394423,8.052896287813018,Yes,73.8179996412661,166.3421297144266,Low_spent_Large_value_payments,317.9938739359589
December,43.355330184520106,Doctor,10920.464937110024,6249.837102173534,6,4,10.877308298222006,3.001999904218968,"Personal Loan, Auto Loan, Not Specified, Personal Loan, Home Equity Loan, and Mortgage Loan",27,8.434716654984152,10.796543312496139,6.503623903322544,Standard,1055.3126031897605,28.8395235804744,18.864745678710612,NM,238.66145931994083,50.63723989161389,Low_spent_Small_value_payments,400.8017489527906
