Complexity,Loss,Equation
1,20.4731,"37.972054"
3,11.042549,"x1 + 33.87719"
5,7.4549327,"41.07438 - (x0 * 0.002862362)"
7,7.43984,"((x0 - x1) * -0.0028598253) - -41.060013"
9,1.7541199,"(((x0 * 1.1831492e-6) - 0.008233899) * x0) - -43.626686"
11,1.5868032,"43.862503 - (x0 * ((x0 * 0.99999875) - (x0 - 0.008650052)))"
13,1.0138271,"(((x0 * ((x0 * -2.2819344e-10) - -3.023633e-6)) - 0.011794602) * x0) + 44.729282"
15,1.0108192,"((x0 - x1) * ((x0 * ((x0 * -2.2507313e-10) - -2.9934235e-6)) - 0.011705776)) - -44.64506"
17,0.88550854,"((x0 * ((x0 * ((x0 * -2.4554542e-10) - -3.2212533e-6)) - 0.012404991)) + (-46.050148 / x0)) + 45.152534"
19,0.79986453,"((x0 * ((x0 * ((x0 * -2.46248e-10) - -3.2212533e-6)) - 0.012404991)) - (x1 / (x0 / 15.005))) + 45.303932"
21,0.784929,"((((x0 * ((x0 * -2.46248e-10) - -3.2212533e-6)) - 0.012404991) * (x0 - x1)) - (x1 / (x0 / 14.760785))) + 45.241463"
23,0.7217347,"((x0 + (x1 / -0.1189085)) * ((((x0 * -2.4470448e-10) - -3.2212533e-6) * x0) - 0.012404991)) + (45.030457 - ((x1 / x0) / 0.05580832))"
25,0.7107446,"(45.030457 + ((x0 + (x1 / -0.1189085)) * ((((-2.447045e-10 * x0) - -3.2212533e-6) * x0) - 0.012404991))) - (((x1 + 1.724806) / x0) / 0.05989795)"
27,0.65335137,"((x0 + (x1 / -0.08588102)) * ((((x0 * -2.4470442e-10) - -3.2212533e-6) * x0) - 0.012404991)) + (45.050343 - ((x1 / ((x0 * 0.5008937) + 12.378696)) / 0.05989795))"
29,0.64650124,"(((x1 / -0.08588102) + x0) * ((x0 * ((x0 * -2.4470442e-10) - -3.2212533e-6)) - 0.012404991)) + (45.050343 - (((x1 - -0.5766545) / ((x0 * 0.5008937) + 12.378696)) / 0.05989795))"
