Complexity,Loss,Equation
1,104.75202,"37.965183"
3,71.31792,"x1 + 33.87233"
5,21.048887,"(x0 * -0.0072582755) + 45.83285"
7,3.663221,"1242.1986 / ((x0 / 81.502975) + 23.550402)"
9,2.109853,"(655.1944 / ((x0 / 73.6217) + 14.4747715)) + 10.17036"
11,1.956828,"(1018.5783 / ((x0 / (x1 + 41.890472)) + 23.19987)) - -11.074257"
13,1.9092368,"(2331.1736 / (((x0 / (x1 + 12.762796)) + x1) + 49.62576)) + 13.327235"
15,1.8284228,"((2799.564 / ((x0 / (x1 + 12.435465)) + 62.3642)) + (x1 * -0.3950917)) + 12.591279"
17,1.5389318,"((14821.775 / ((x0 / 24.7484) + 101.73867)) + (x0 * ((x0 * -1.8927449e-6) - -0.021455998))) + -90.77969"
19,1.5243849,"(((x0 * -1.9005424e-6) + 0.02157316) * (x1 + x0)) + ((14821.779 / ((x0 / 25.002459) + 101.29926)) + -91.57761)"
21,1.3918128,"(x1 * -0.4807669) + ((((x0 * -7.072729e-7) + 0.005324993) * x0) + (3655.832 / ((x0 / (x1 + 13.847216)) + 62.442818)))"
23,1.2800163,"((x0 * ((x0 * -1.5504069e-6) - -0.015547671)) + (5439.005 / ((x0 / (x1 + 31.798216)) + 52.304996))) + ((x1 * -0.31040153) + -47.147358)"
25,1.2043331,"(((x1 * -0.29269814) + (((x0 + 0.014820865) - (x0 * 1.0000014)) * x0)) + (5439.0034 / ((x0 / (x1 + 32.217403)) + 52.808956))) + -46.41893"
27,1.2042649,"((x1 * -0.29269814) + (((x0 + ((0.014820865 - x0) * 1.0000014)) * (x0 + 0.61386865)) + (5439.0034 / ((x0 / (x1 + 32.217403)) + 52.808956)))) + -46.41893"
29,1.1825546,"((((x0 * ((x0 + 0.014820865) - (x0 * 1.0000014))) + (x1 * -0.30855906)) + (5439.0054 / ((x0 / (x1 + 32.123726)) + 52.572914))) + -46.50057) - (32.123726 / x0)"
