Complexity,Loss,Equation
1,131.19128,"37.681713"
3,93.76525,"x1 + 33.58402"
5,25.623314,"96205.266 / (x0 + 1814.2719)"
7,24.15811,"(48336.33 / (x0 + 1047.7969)) + 9.49781"
9,24.071995,"(48548.895 / ((x0 - x1) + 1058.7047)) + 9.478296"
11,23.110338,"96205.266 / (((-2053.9905 / (297.9399 - x0)) + x0) + 1822.37)"
13,22.894316,"96348.68 / (x0 + (((x0 * -5.1377697) / (296.50214 - x0)) + 1834.9537))"
15,21.645416,"(-2908.3652 / ((x0 + ((-1665.4081 / (297.56116 - x0)) + 1153.4496)) / -17.954092)) + 8.865566"
17,20.989866,"(-2908.3696 / ((((x0 + (-1665.3967 / (298.01358 - x0))) + 1153.7653) / -15.973039) + x1)) + 10.618768"
19,20.439411,"((x1 * 0.49227062) - -9.57434) + (-2908.3555 / (((x0 + (-1665.4082 / (297.19754 - x0))) + 1153.4674) / -16.225357))"
21,20.438887,"((x1 * 0.49228093) - -9.574344) + (-2908.3555 / ((((x0 + (-1665.4082 / (297.1976 - x0))) + 1153.4674) / -16.25101) - 0.12354871))"
23,20.303415,"(-3172.2585 / (((x0 + (-2053.9707 / ((x1 + (290.34222 - x0)) / 0.66621494))) + 1167.8259) / -14.898881)) + ((x1 * 0.5063245) + 9.724749)"
25,20.299957,"(-3172.2585 / (((x0 + ((-2053.9707 / ((x1 + (290.33057 - x0)) / 0.65663165)) + 1167.8259)) / -14.899384) + 0.501163)) + ((x1 * 0.5011631) - -9.611084)"
27,19.308647,"(-792.1218 / ((((-237.67784 / (((-207.88399 / ((x1 * 0.78232396) - (-237.46356 / (x0 + -345.36987)))) - -818.0947) / -371.57596)) + x0) - -818.09216) / -52.75551)) - -11.043393"
29,19.298433,"((-792.1218 / ((((-237.67784 / (((-207.88399 / ((x1 * 0.7823237) - (-237.46356 / (x0 + -345.36987)))) - -818.09216) / -371.57596)) + x0) - -818.09216) / -52.698875)) - -11.043393) + 0.13572681"
