Complexity,Loss,Equation
1,50.222187,"Num_of_Delayed_Payment"
3,39.114582,"Num_Credit_Inquiries + Num_Bank_Accounts"
5,37.463333,"(Num_Credit_Inquiries + Num_Bank_Accounts) + 1.2841712"
7,36.116425,"(Num_Credit_Inquiries + Num_Bank_Accounts) + (Outstanding_Debt * 0.0009491102)"
9,34.617016,"Num_Bank_Accounts + ((Outstanding_Debt * 0.0020580317) + (Num_Credit_Inquiries * 0.7135275))"
11,33.34311,"Num_Bank_Accounts + ((Num_Credit_Inquiries + ((Outstanding_Debt * 0.006289174) + Num_of_Delayed_Payment)) * 0.28576556)"
13,32.72063,"(((Num_of_Delayed_Payment * 0.47486112) + (Num_Credit_Inquiries + (Outstanding_Debt * 0.0029638645))) + Num_Bank_Accounts) * 0.5928358"
15,32.522076,"((Num_Bank_Accounts + ((Num_Credit_Inquiries + (Outstanding_Debt * 0.003371097)) + (Num_of_Delayed_Payment * 0.4381229))) * 0.5445951) + 1.2377865"
17,32.01539,"((Delay_from_due_date * 0.07637715) + (Num_of_Delayed_Payment * 0.2501597)) + (((Outstanding_Debt * 0.002819742) + (Num_Bank_Accounts + Num_Credit_Inquiries)) / 1.8932238)"
19,31.774479,"((((Outstanding_Debt * 0.0033170842) + Num_Credit_Inquiries) + Num_Bank_Accounts) / 2.1154826) + (((Num_of_Delayed_Payment + (Delay_from_due_date * 0.39017007)) * 0.20192923) + 1.3664017)"
21,31.735788,"(((Num_Bank_Accounts / 1.7856072) + 1.3179331) + (Delay_from_due_date * 0.07731885)) + ((Num_Credit_Inquiries * 0.43017223) + ((Outstanding_Debt * 0.0015794197) + (Num_of_Delayed_Payment * 0.1946444)))"
23,31.485752,"(((Num_of_Delayed_Payment + ((Delay_from_due_date + (Credit_History_Age / -0.90624714)) + Num_of_Delayed_Payment)) * 0.08550259) + (((Num_Bank_Accounts + Num_Credit_Inquiries) + (Outstanding_Debt * 0.0031007254)) / 2.327018)) + 4.3039474"
27,31.432262,"((((Outstanding_Debt * 0.002532609) + 3.4232051) + ((Num_Credit_Inquiries / 1.401641) + Num_Bank_Accounts)) / 1.8832395) + ((((Num_of_Delayed_Payment + Delay_from_due_date) + ((Credit_History_Age / -0.8654898) + Num_of_Delayed_Payment)) * 0.082759686) + 2.4481773)"
