Complexity,Loss,Equation
1,50.202396,"Num_of_Delayed_Payment"
3,39.50844,"Num_Credit_Inquiries + Num_Bank_Accounts"
5,37.957096,"Num_Bank_Accounts + (Num_Credit_Inquiries - -1.2470694)"
7,36.534332,"(Outstanding_Debt * 0.00094181113) + (Num_Credit_Inquiries + Num_Bank_Accounts)"
9,34.995678,"(Num_Credit_Inquiries * 0.7105776) + (Num_Bank_Accounts + (Outstanding_Debt * 0.00206241))"
11,33.896465,"(((Num_of_Delayed_Payment + Num_Bank_Accounts) + Num_Credit_Inquiries) * 0.421925) + (Outstanding_Debt * 0.001934774)"
13,33.227642,"((Num_Bank_Accounts + ((Num_of_Delayed_Payment * 0.4677167) + Num_Credit_Inquiries)) * 0.5950379) + (Outstanding_Debt * 0.001753479)"
15,33.058483,"((Outstanding_Debt * 0.0016313731) + ((Num_of_Delayed_Payment + (Num_Bank_Accounts + Num_Credit_Inquiries)) * 0.37168932)) + (Delay_from_due_date * 0.082402736)"
17,32.62016,"(((Delay_from_due_date * 29.12882) + Outstanding_Debt) * 0.0016918418) + (((Num_Credit_Inquiries + (Num_of_Delayed_Payment * 0.4690684)) + Num_Bank_Accounts) * 0.5438934)"
19,32.338055,"(((Outstanding_Debt + (Delay_from_due_date * 47.038433)) * 0.0015958627) + (((Num_Credit_Inquiries + (Num_of_Delayed_Payment * 0.4200266)) + Num_Bank_Accounts) * 0.4833343)) + 1.2220973"
21,31.942572,"(((Outstanding_Debt + ((Delay_from_due_date - Credit_History_Age) * 62.115116)) * 0.0013434798) + ((Num_Bank_Accounts + (Num_Credit_Inquiries + (Num_of_Delayed_Payment * 0.43768942))) * 0.43825415)) - -3.7043726"
23,31.897968,"((((Delay_from_due_date - Credit_History_Age) * (Credit_History_Age + 40.629772)) + Outstanding_Debt) * 0.001437533) + ((((Num_Credit_Inquiries + (Num_of_Delayed_Payment * 0.43826282)) + Num_Bank_Accounts) * 0.43188894) + 3.8506231)"
25,31.834703,"((((((Delay_from_due_date - Credit_History_Age) * 77.76853) + Outstanding_Debt) - (Num_of_Delayed_Payment * Delay_from_due_date)) * 0.0013110788) + (((Num_of_Delayed_Payment * 0.49861637) + (Num_Bank_Accounts + Num_Credit_Inquiries)) * 0.43392107)) - -3.8474"
