Complexity,Loss,Equation
1,50.227394,"x4"
3,39.442917,"x3 + x2"
5,37.96211,"x3 + (x2 + 1.217767)"
7,36.58763,"x2 + ((x3 + x4) * 0.4101398)"
9,35.087402,"(x2 + (x3 * 0.7066473)) + (x5 * 0.0020462913)"
11,33.741947,"(((x5 * 0.0045952788) + (x3 + x4)) + x2) * 0.42111948"
13,33.145462,"((x3 + x2) + (((x5 * 0.006099296) + x4) * 0.49159744)) * 0.58394736"
15,32.962948,"(((x4 * 0.45401427) + x3) + (((x5 * 0.0033893723) + x2) + 2.218941)) * 0.5385874"
17,32.695522,"(((x2 + x3) + (((x1 + x4) + (x5 * 0.016221078)) * 0.19562544)) * 0.49804753) + 1.9683487"
19,32.28795,"(((x2 + x3) + ((x4 + ((x1 + (x5 * 0.013957539)) - x0)) * 0.21397898)) * 0.44998938) + 4.776943"
21,32.033993,"((x2 + ((((x1 + (x5 * 0.018063398)) - x0) * 0.17510493) + x3)) * 0.43469632) + ((x4 * 0.2002567) + 3.5758364)"
23,32.00701,"((x4 * 0.1949653) + 3.5518203) + ((x2 + (((((x1 + x2) + (x5 * 0.018096197)) - x0) * 0.1861449) + x3)) * 0.40931967)"
25,31.998821,"((((x2 + x3) + (((((x5 * 0.03596371) - x1) * 0.355109) + (x1 - x0)) * 0.24388056)) * 0.42904413) + 4.4137793) + (x4 * 0.2011561)"
27,31.963066,"((x4 * 0.19409141) + 4.4195514) + (((((x2 + (x1 + (((x5 * 0.033739086) - x1) * 0.3742987))) - x0) * 0.26927486) + (x2 + x3)) * 0.3943771)"
29,31.962618,"(x4 * 0.1924407) + ((((x2 + ((((x1 + (((x2 + (x5 * 0.036547154)) - x1) * 0.35833636)) + x2) - x0) * 0.2684704)) + x3) * 0.3845771) + 4.315031)"
