Complexity,Loss,Equation
1,173.6546,"37.620506"
3,153.8564,"x1 - -33.221508"
4,117.70318,"64.760345 - sqrt(x0)"
5,103.04001,"abs(sqrt(x0) - 63.50413)"
6,80.03293,"(log(x0) * -8.999874) + 94.51521"
8,79.30653,"((x2 - log(x0)) * 8.993731) + -130.08406"
9,77.19747,"((x2 - sqrt(log(x0))) * 44.191505) - 955.0874"
10,66.496994,"((-24.710472 - (log(x0) * 0.022819163)) + x2) * 330.1595"
12,66.29128,"(log(x0 + 34.23155) * -8.241254) - ((x2 + -24.69537) * -331.20578)"
14,66.29127,"((log(x0 + 34.23378) * -8.1092825) - ((x2 + -24.69537) * -325.9033)) * 1.0162683"
15,66.15211,"(log(x0 + 33.626595) * -8.239526) - ((x2 + -24.691763) * (sin(x0) + -326.77487))"
16,66.12804,"((log(x0 + 34.231117) * -8.220968) - ((x2 + -24.691397) * -325.90048)) - sin(sin(x0))"
17,65.00822,"(((log(x0) * 0.023251304) - (x2 + -24.706154)) * -325.6936) - cos((x0 * 297.85324) - x1)"
19,64.82504,"(((log(x0 + x2) * 0.024883026) - (x2 + -24.694052)) * -325.6936) - cos((x0 * 297.85324) - x1)"
22,64.601616,"(((log(x0 + x2) * 0.024883026) - (x2 + -24.694052)) * -325.6936) - (cos((x0 * 297.85324) - x1) - cos(x1))"
26,64.58691,"abs((((log((x2 + sin(x0)) + x0) * -8.214815) - ((x2 + -24.692127) * -325.90073)) - cos((x0 * 297.85324) - x1)) + cos(x1))"
27,64.32878,"(((x2 + sin(x2)) - 24.532694) * (798.2994 * sqrt(sqrt(x0) / (x0 + 54.642982)))) + (-5.123954 + (sin((x0 / -0.024551313) + 0.9000703) / 0.51206183))"
28,63.99313,"sin(x0 * 170.73015) + (sin(x0 * -0.39917558) + ((sqrt(sqrt(x0) / (x0 + 54.486675)) * (((sin(x2) - 24.537352) + x2) * 798.2994)) + -4.360983))"
29,63.993126,"abs((sin(170.73015 * x0) + (sin(x0 * -0.39917558) + (sqrt(sqrt(x0) / (x0 + 54.486675)) * (((sin(x2) - 24.537352) + x2) * 798.2994)))) + -4.360983)"
30,63.91974,"(((sqrt(sqrt(x0) / (x0 + 54.48666)) * ((x2 + sin(x2)) - 24.532694)) * 798.2994) + (sin(0.51206183 / sin((x0 / -0.024551313) + 0.9290422)) / 0.51206183)) + -5.242212"
31,63.835007,"((sqrt(sqrt(x0) / (x0 + 54.486675)) * ((x2 + (sin(x2) - 24.535332)) * 798.2994)) + sin(x0 * 170.73015)) + (sin((cos(x0) + x0) * -0.3990872) + -4.707911)"
32,63.567028,"((((x2 + sin(x2)) - 24.532656) * (sqrt(sqrt(x0) / (x0 + 54.642982)) * 798.2994)) + -5.1284995) + (sin((sqrt(x1) - ((x0 * x1) * 798.2994)) * x0) / 0.4051057)"
33,63.523277,"(((((sin(x2) + x2) - 24.532858) * 798.2994) * sqrt(sqrt(x0) / (x0 + 54.642982))) + -5.103881) + (sin(sin(x0 * (sqrt(x1) - ((x1 * x0) * 798.2994)))) / 0.36180338)"
34,62.2707,"(sin((sqrt(x1 - -0.11363866) - ((x1 * x0) * 798.2994)) * x0) / 0.38610703) + (-5.387205 + ((x2 + (sin(x2) - 24.530937)) * (798.2994 * sqrt(sqrt(x0) / (x0 + 56.449623)))))"
36,62.192696,"(sin((sqrt(x1 - -0.11363866) - ((x0 * x1) * 798.2994)) * x0) / 0.38610703) + (((x1 + 798.2994) * ((x2 + (sin(x2) - 24.530937)) * sqrt(sqrt(x0) / (x0 + 56.449623)))) + -5.6451054)"
39,61.33494,"((798.2994 * sqrt(sqrt(x0) / (54.642982 + x0))) * ((sin(x2) - 24.532694) + x2)) + (-5.1039495 + ((sin((x0 + -1.1005269) / -0.024551313) + sin(x0 * (sqrt(x1) - ((x0 * x1) * 798.2994)))) / 0.42375368))"
40,61.075417,"((sin(sin((sqrt(x1) - ((x1 * x0) * 798.2994)) * x0) + sin((x0 + 0.4392916) / -0.024551315)) / 0.30125323) + ((sqrt(sqrt(x0) / (x0 + 54.642982)) * (x2 + (sin(x2) - 24.532694))) * 799.70325)) + -5.1039495"
41,60.698757,"((((sin(x2) - 24.532694) + x2) * (sqrt(sqrt(x0) / (x0 + 56.946373)) * 798.2994)) + -5.1039495) + ((sin((x0 + 0.44137552) / -0.024551313) + sin((sqrt(x1 - -0.12593174) - ((x1 * x0) * 798.2994)) * x0)) / 0.40102187)"
42,60.58404,"(((sin(x2) + x2) - 24.532694) * (sqrt(sqrt(x0) / (57.410793 + x0)) * 798.2994)) + ((sin(sin((sqrt(x1 - -0.12593174) - ((x0 * x1) * 798.2994)) * x0) + sin((x0 + 0.28614944) / -0.024551313)) / 0.36072865) + -5.1039495)"
43,60.507275,"(((sin(x2) + x2) - 24.532694) * (sqrt(sqrt(x0) / (57.410793 + x0)) * 798.2994)) + ((sin(sin(x0 * (sqrt(x1 - -0.12593174) - ((x1 * x0) * 798.2994))) + sin(sin((x0 + 0.589663) / -0.024551313))) / 0.36072865) + -5.1039495)"
44,60.50727,"((sin(sin((sqrt(x1 - -0.12593174) - ((x0 * x1) * 798.2994)) * x0) + sin(sin((x0 + abs(0.589663)) / -0.024551313))) / 0.36072865) + -5.1039495) + ((x2 + (sin(x2) - 24.532694)) * (sqrt(sqrt(x0) / (57.410793 + x0)) * 798.2994))"
45,60.497528,"(((((sin(sin(x2)) + x2) - 24.532694) * 798.2994) * sqrt(sqrt(x0) / (57.410793 + x0))) + (sin(sin(x0 * (sqrt(x1 - -0.12593174) - ((x1 * x0) * 798.2994))) + sin(sin(abs(x0 + 0.589663) / -0.024551313))) / 0.36072865)) + -5.1039495"
46,60.41639,"((((799.70325 * sqrt(sqrt(x0) / (54.642982 + x0))) * ((x2 + sin(x2)) - 24.532694)) + ((sin((sqrt(x1) - ((x1 * x0) * 798.2994)) * x0) + sin((0.4392916 + x0) / -0.024551315)) / 0.42884228)) + -5.1039495) + sin(1.3783915 / (54.642982 / x0))"
47,60.098385,"(((sin(sin(x0 * (sqrt(x1) - ((x1 * x0) * 798.2994))) + sin((x0 + 0.4392916) / -0.024551315)) / 0.33269572) + -5.1039495) + sin(1.3783915 / (54.642982 / x0))) + ((((x2 + sin(x2)) - 24.532694) * 799.70325) * sqrt(sqrt(x0) / (x0 + 57.155243)))"
