Complexity,Loss,Equation
1,19.733515,"13.31878"
3,11.970535,"x2 + 7.9156113"
4,9.879716,"log(x5) + x2"
5,9.581198,"sqrt(sqrt(x5 / 0.033057094))"
6,8.067062,"x2 + sqrt(x5 * 0.048730463)"
7,7.2599306,"x2 + sqrt(sqrt(x5 * 3.9036016))"
8,6.117401,"sqrt(x3) + sqrt(sqrt(x4 * x5))"
9,5.205898,"sqrt(sqrt(x3 * x5) + (x2 * x4))"
10,5.068411,"sqrt((x1 + sqrt(x5)) * sqrt(x2 + x3))"
11,4.658415,"sqrt((x4 * x2) + sqrt((x5 * 1.4505166) * x3))"
12,4.254249,"sqrt(abs(x1) + ((x4 * x2) + sqrt(x5 * x3)))"
13,4.241492,"sqrt(x1 + (sqrt((x5 * x3) + x0) + (x4 * x2)))"
14,4.2012324,"sqrt(sqrt(x3 + x2) * (((sqrt(x5) + x1) * 0.7124147) + x4))"
15,4.1967726,"sqrt((x4 + ((sqrt(x5) + abs(x1)) * 0.71208346)) * sqrt(x3 + x2))"
16,3.9879851,"sqrt(x1 + (sqrt(x2 + x3) * (sqrt(x5 + 1293.4872) + (x4 - x0))))"
18,3.6663294,"sqrt(sqrt(x3 + x2) * (x4 + ((x1 + sqrt(x5)) * 0.6689411))) - cos(sqrt(x0))"
19,3.6586242,"sqrt(sqrt(x3 + x2) * (x4 + ((abs(x1) + sqrt(x5)) * 0.6689411))) - cos(sqrt(x0))"
20,3.597194,"sqrt(sqrt(x3 + x2) * ((((sqrt(x5) + x1) + x2) * 0.60922307) + x4)) - cos(sqrt(x0))"
21,3.5928662,"abs(sqrt(sqrt(x3 + x2) * (((sqrt(x5) + (x1 + x2)) * 0.60922307) + x4)) - cos(sqrt(x0)))"
22,3.5870988,"sqrt(sqrt(x3 + x2) * (x4 + (((x1 + sqrt(x5)) + x2) * 0.61707664))) - cos(sqrt(x0 + 1.1301621))"
23,3.580979,"abs((cos(sqrt(x0)) + 0.3644617) - sqrt(sqrt(x2 + x3) * ((x4 + ((x1 + sqrt(x5)) * 0.61769676)) + x2)))"
24,3.5534217,"(sqrt(((x4 + ((sqrt(x5) + x1) * 0.62552816)) + x2) * sqrt((x3 + x2) - -1.3075006)) + -0.77412647) - cos(sqrt(x0))"
25,3.5532024,"sqrt(sqrt((x3 - -1.3616824) + x2) * ((((sqrt(x5) + abs(x1)) * 0.6188763) + x2) + x4)) - (cos(sqrt(x0)) + 0.8100492)"
26,3.5426505,"sqrt((((sqrt(x5) + x1) * 0.6188763) + (x4 + x2)) * sqrt((x3 - -1.3616824) + x2)) - (cos(sqrt(x0) + 0.18211891) + 0.6279303)"
27,3.5380774,"sqrt(sqrt((x3 - -1.3616824) + x2) * (((sqrt(x5) + abs(x1)) * 0.6188763) + (x2 + x4))) - (cos(sqrt(x0) + 0.18211891) + 0.6279303)"
29,3.4948213,"20.956789 - abs(((x0 * -0.1211184) + -21.38567) + (sqrt(sqrt(x5 + (sqrt(x3 * 500.2032) * (x1 - -10.440556)))) * sqrt(sqrt((x2 + x4) + x2))))"
30,3.4782333,"abs(20.965075 - abs(((x0 * -0.1228632) + (sqrt(sqrt((x4 + x2) + x2)) * sqrt(sqrt(((x1 - -10.669006) * sqrt(x3 * 500.205)) + x5)))) + -21.384853))"
31,3.44955,"20.959562 - abs(((x0 * -0.12415693) + -21.53664) + (sqrt(sqrt(x2 + (x2 + x4))) * sqrt(sqrt(((x1 - -12.060296) * sqrt((x3 - -0.27400383) * 500.23074)) + x5))))"
32,3.3890567,"abs(abs((sqrt(sqrt(x4 + (x2 + x2))) * sqrt(sqrt((sqrt(x3 * 601.03815) * (x1 - -11.386846)) + x5))) + ((x0 * -0.12745981) + -21.69035)) - 16.730413) + 4.3027782"
33,3.38017,"abs(abs(abs((x0 * -0.12896174) + (sqrt(sqrt(x4 + (x2 + x2))) * sqrt(sqrt(((x1 - -11.402458) * sqrt(x3 * 601.03766)) + x5)))) + -21.677263) - 16.62979) + 4.415256"
34,3.3762875,"abs(16.625553 - abs((sqrt(sqrt(x4 + (x2 + (x2 - -1.3130171)))) * sqrt(sqrt((sqrt(x3 * 601.04626) * (x1 - -11.800423)) + x5))) + ((x0 * -0.12907335) + -21.91413))) + 4.389604"
35,3.3444088,"abs(abs(17.22589 - abs((x0 * -0.13193788) + ((sqrt(sqrt(x5 + (sqrt(x3 * 601.04016) * (x1 - -11.436617)))) * sqrt(sqrt((x2 + x4) + x2))) + -21.651773))) + -1.68361) + 5.502575"
36,3.3387892,"abs(abs(17.241255 - abs(abs((x0 * -0.13211302) + (sqrt(sqrt(x5 + (sqrt(x3 * 601.03986) * (x1 - -11.439751)))) * sqrt(sqrt(x2 + (x4 + x2))))) + -21.644434)) + -1.6932178) + 5.4929233"
37,3.3317676,"abs((abs(16.716959 - abs((sqrt(sqrt(x2 + (x4 + x2))) * sqrt(sqrt(x5 + (sqrt(x3 * 601.02985) * (x1 - -11.80277))))) + ((x0 * -0.11798293) + -21.719736))) * 1.0444722) + -1.8005174) + 5.4858747"
38,3.3241289,"abs((abs(16.609303 - abs(abs((x0 * -0.11867552) + (sqrt(sqrt(((x1 - -11.713) * sqrt(x3 * 601.03284)) + x5)) * sqrt(sqrt(x4 + (x2 + x2))))) + -21.718735)) + -1.6094) * 1.0430512) + 5.5100107"
39,3.3127117,"abs((abs(16.369081 - abs(((x0 * -0.116303764) + -22.059359) + (sqrt(sqrt((sqrt(x3 * 601.009) * (x1 - -12.874591)) + x5)) * sqrt(sqrt(x2 + ((x4 + x2) - -1.6411948)))))) + -1.5911965) * 1.0586681) + 5.5253487"
40,3.3119028,"abs((abs(abs(((sqrt(sqrt(x4 + ((x2 + x2) - -1.6360183))) * sqrt(sqrt(x5 + (sqrt(x3 * 601.0086) * (abs(x1) - -12.883019))))) + (x0 * -0.11601569)) + -22.05158) - 16.353441) + -1.5925176) * 1.0603892) + 5.513631"
42,3.275269,"abs(abs((sqrt(sqrt(((x1 - -9.208993) * sqrt(x3 * 1029.9246)) + x5)) * sqrt(sqrt(x2 + ((x4 * -0.54313165) + x4)))) + ((x0 * -0.111367114) + -18.281887)) + -18.5794) + abs(sqrt(sqrt(x3 * sqrt(x5))) + -2.8055263)"
43,3.2715905,"abs(abs(((x0 * -0.111477144) + -18.279776) + (sqrt(sqrt((sqrt(x3 * 1029.9241) * (abs(x1) - -9.006274)) + x5)) * sqrt(sqrt((x4 + x2) + (x4 * -0.53786415))))) + -18.583065) + abs(sqrt(sqrt(sqrt(x5) * x3)) + -2.8123643)"
44,3.2264733,"abs(abs(((sqrt(sqrt(x5 + ((x1 - -10.625892) * sqrt(x3 * 1029.9438)))) * sqrt(sqrt((x4 + x2) + (x4 * -0.6084702)))) + (x0 * -0.11701953)) + -17.973267) + -18.512814) + abs(sqrt(sqrt(sqrt(x4 * (x5 * x3)))) + -3.0746143)"
45,3.2244875,"abs(abs(((sqrt(sqrt(((abs(x1) - -10.6204) * sqrt(x3 * 1029.944)) + x5)) * sqrt(sqrt((x4 + x2) + (x4 * -0.605558)))) + -17.987804) + (x0 * -0.11730716)) + -18.507357) + abs(sqrt(sqrt(sqrt(x4 * (x5 * x3)))) + -3.063894)"
46,3.203522,"abs(abs((x0 * -0.114840105) + ((sqrt(sqrt(x5 + ((x1 - -11.070629) * sqrt(x3 * 1029.9346)))) * sqrt(sqrt((x4 * -0.5826914) + (x4 + x2)))) + -18.140356)) + -18.520243) + abs(sqrt(sqrt(sqrt(x3 * (x5 * (x4 + x2))))) + -3.3036804)"
