Complexity,Loss,Equation
1,36.369846,"75.8064"
4,36.348007,"sqrt(x1 + 5752.961)"
5,36.1185,"76.80074 - (x1 * -0.14835002)"
6,36.018707,"75.816345 - sin(x1 * 310.91074)"
7,35.856335,"75.79425 - sin(abs(x1 * 217.04063))"
8,35.825703,"75.79327 - sin((x1 + 1.4316463) * 217.02567)"
10,35.75529,"75.81852 - sin(x2 + ((x1 + 0.35775396) * 217.01018))"
12,35.738235,"75.79289 - sin(x2 + (((x1 + 0.18115659) * 217.00232) + x2))"
14,35.735394,"75.79227 - sin(x2 + ((x2 * 0.72861844) + ((x1 + -1.5265666) * 216.99886)))"
16,35.725773,"75.79289 - sin((x2 + (((x1 + 0.18115659) * 217.00232) + x2)) - (0.214054 - x0))"
19,35.716045,"sin(0.020078437 - (exp(-1.6689111 - ((((x1 - 20.516674) * 13.99305) / -12.617974) / x1)) + x0)) + 75.816345"
20,35.541805,"75.82618 - sin(x1 * (((-0.4177577 - (x1 * x0)) * 277.04834) + ((x2 - 1.4344232) * (97.774254 - x1))))"
22,35.45189,"75.82618 - sin(x1 * ((((97.774254 - x1) * (x2 - 1.4343742)) + ((-0.41782108 - (x0 * x1)) * 277.04834)) + -0.046416953))"
