Complexity,Loss,Equation
1,9.202295,"12.615666"
3,8.139937,"x0 * 0.5447363"
4,8.113982,"abs(x0 / 1.8341427)"
5,6.9151373,"(x0 / 2.8683171) + 6.075397"
6,6.913452,"abs(x0 * -0.35055578) + 6.016259"
8,6.77444,"(x0 * sin(x1 * 0.042252712)) + 7.825444"
9,6.364951,"exp(sin((x1 * 0.013336735) * x2) + 2.092062)"
10,6.329147,"exp(2.0838258 + abs(sin((x2 * x1) * 0.013998054)))"
11,6.1702623,"abs((sin(x2 * (0.011711668 * x1)) + 0.27860752) * -18.93412)"
12,6.1574726,"(sin((x1 * (x2 * 0.024606148)) + -1.1770035) * 8.9541855) + 14.939855"
13,6.1493382,"(sin(sin(((x2 * x1) * 0.02129438) + 17.972836)) * 11.047816) + 14.024945"
14,6.048002,"(((x0 * 0.013395232) + sin(x1 * (x2 * 0.011614522))) * 12.717946) + 4.773303"
15,5.917164,"((x0 * 0.012828524) + (abs(sin((x1 * x2) * -0.01406126)) + 0.32281923)) * 12.683828"
16,5.898635,"(sin(((x1 * x2) * 0.024605371) + -1.073088) + ((x0 * 0.023708092) - -1.634968)) * 6.6995034"
17,5.8975563,"(sin(((x1 * x2) * 0.024605371) + -1.073088) + ((abs(x0) * 0.023708092) - -1.634968)) * 6.6995034"
18,5.892269,"(sin(((x0 * 0.015121441) + abs(sin(x1 * (x2 * 0.013990405)))) + -0.88398397) + 1.1125853) * 13.179734"
19,5.876113,"(sin(sin((x0 * 0.01434905) + (abs(sin((x2 * x1) * 0.013999542)) + -0.9697326))) + 1.0896108) * 14.711602"
20,5.8752193,"(sin(sin(sin(((0.01434905 * x0) + abs(sin((x2 * x1) * 0.013999542))) + -0.9697326))) + 1.0896108) * 14.711602"
21,5.8657203,"(sin(sin(((x0 * 0.016715959) + -0.91642034) + abs(sin((x2 - 1.2942983) * (x1 * 0.015817383))))) + 1.1012684) * 13.674356"
22,5.8561983,"(sin(sin(abs(sin(sin(x1 * 0.01586168) * (1.2954524 - x2))) + ((x0 * 0.016790142) + -0.91573733))) + 1.1013584) * 13.673923"
23,5.845502,"(sin(((x0 * 0.016366543) + -0.6885481) + abs(sin(sin(x1 * (0.01301814 * x2)) * (x2 * 0.12260113)))) + 1.0286696) * 12.660014"
24,5.844202,"(sin((abs(x0 * 0.016366543) + -0.6885481) + abs(sin(sin(x1 * (0.01301814 * x2)) * (x2 * 0.12260113)))) + 1.0286696) * 12.660014"
25,5.809096,"(sin((x0 * 0.025809087) + (abs((sin(x2 * -0.09747732) + -0.70506024) * sin((x1 * x2) * -0.014361279)) + -1.3546809)) + 1.5883564) * 9.297245"
26,5.8089223,"(sin((abs(x0) * 0.025809087) + (abs((sin(x2 * -0.09747732) + -0.70506024) * sin((x1 * x2) * -0.014361279)) + -1.3546809)) + 1.5883564) * 9.297245"
