Complexity,Loss,Equation
1,67.53354,"13.913093"
3,61.217175,"x0 * 0.55934674"
4,60.96842,"abs(x0 * 0.5596966)"
5,44.403698,"(x0 * 0.3297152) + 7.1070676"
7,43.738426,"17.290873 - (sin(sqrt(x2)) * 9.283883)"
8,43.64539,"(sin(sin(sqrt(x2))) * -10.409986) + 17.245398"
9,39.872147,"(sin(sqrt(x2 + x1)) * -8.369656) + 12.171527"
10,37.943172,"exp(sin(sqrt(x1 + (x2 - -31.010532)))) * 10.018662"
11,36.64126,"((sin(sqrt(x2)) * -6.204177) + 11.758599) + (x0 * 0.21370257)"
12,36.02935,"exp(sin(sqrt(((x0 * 0.3067625) - -31.85446) + x2))) * 9.065665"
13,34.71044,"((sin(sqrt(x1 + x2)) * -5.95649) + 8.807483) + (x0 * 0.18727303)"
14,34.324596,"exp(sin(sqrt((x1 + x2) + ((x0 * 0.22069037) - -28.435165)))) * 8.929338"
15,33.603085,"((sin(sqrt(x2 + x1) + -0.4692592) * -6.4659348) + 11.225831) + (x0 * 0.16273412)"
16,33.07208,"(sin(sin(sqrt(x1 + x2)) + 0.98740727) * -11.151463) + ((x0 * 0.15738732) + 16.942781)"
17,32.94916,"((x0 * 0.15434037) + (sin(sin(sin(sqrt(x1 + x2)) + 0.9217783)) * -12.334792)) + 16.43071"
18,32.91458,"((sin(sin(sin(sin(sqrt(x2 + x1)) + 0.84988064))) * -12.688463) + 15.606887) + (x0 * 0.1533589)"
19,32.86985,"(sin((x2 / 6.793644) + (sqrt(x1 + 3.569229) - 1.007749)) * -6.3964686) + ((x0 * 0.15016076) + 11.513821)"
20,32.61345,"((sin(sqrt(x1 + 5.94938) + sin((x2 / 4.20559) - 2.1161149)) * -6.1596303) + 11.434037) + (x0 * 0.14932156)"
21,32.590565,"(x0 * 0.1473595) + ((sin(sqrt(x1 + 5.3078995) + sin(sin((x2 / 4.207752) - 2.0172303))) * -6.3343368) + 11.485678)"
22,32.540073,"((x0 * 0.14448024) + 11.509337) + (sin((sqrt(x1 + 3.5064893) + sin((x2 / 4.2059994) - 2.1278803)) + 0.40677062) * -6.166378)"
23,32.383617,"(sin(sqrt(sqrt(x0 + 14.683751) + x1) + sin((x2 / 4.206337) - 2.1329644)) * -6.4325776) + ((x0 * 0.110913925) + 12.442221)"
24,32.319096,"(sin(sqrt(((x0 * 0.10942936) + 4.0402403) + x1) + sin((x2 / 4.20541) - 2.1946602)) * -6.5584774) + ((x0 * 0.10332098) + 12.571008)"
25,32.31794,"((sin(sqrt((x1 + 4.031133) + (x0 * 0.109402806)) + sin((x2 / 4.2054434) - 2.1949067)) * -6.5579276) + 12.565044) + abs(x0 * 0.103686206)"
26,32.31692,"((-6.8040934 * sin(sqrt(((x0 * 0.11135359) + x1) + 3.6034672) + sin(sin((x2 / 4.2069693) - 2.1319215)))) + 12.730721) + (abs(x0) * 0.09206408)"
27,32.300404,"((sin(sqrt(x1 + (((cos(x2) + x0) * 0.11115327) + 4.056084)) + sin((x2 / 4.2055826) - 2.2029092)) * -6.5860105) + (x0 * 0.102698505)) + 12.580994"
28,32.281147,"(sin(sin(sin((x2 / 4.2068787) - 2.131634)) + sqrt((x0 * 0.110534206) + (x1 + 3.6318958))) * -6.775445) + (((x0 - cos(x1)) * 0.09416958) + 12.670997)"
29,32.19089,"(((sin(sqrt(x1 + ((x0 * 0.103775956) + 4.531508)) + sin((x2 / 4.204506) - 2.2379515)) * -6.708026) + (x0 * 0.09753604)) + cos(x1 + x1)) + 12.537649"
30,32.189205,"((sin(sqrt((x1 + 4.435975) + (x0 * 0.11008782)) + sin((x2 / 4.2042294) - 2.2376854)) * -6.7450004) + 12.463458) + abs((x0 * 0.098416455) + cos(x1 + x1))"
