Complexity,Loss,Equation
1,20.473175,"37.972454"
3,11.042609,"x1 - -33.877617"
5,7.454904,"(x0 * -0.0028622525) + 41.07436"
6,4.126712,"45.001274 - (sqrt(x0) * 0.24630925)"
7,3.3833494,"52.57176 - sqrt(sqrt(x0 * 65.09117))"
9,1.9049014,"abs((sqrt(x0) * -0.3451001) - -18.922611) + 28.18271"
11,1.7920096,"abs(sqrt(25.405869 + (x0 * 0.15153567)) - 21.874636) + 27.758184"
13,0.8824031,"cos(0.73602504 / exp(x0 / sqrt(sqrt(exp(sqrt(x0)))))) / 0.02418007"
14,0.18052182,"cos(sqrt(0.5346099 / exp(x0 / sqrt(sqrt(exp(sqrt(x0))))))) / 0.023721227"
16,0.17684565,"(cos(sqrt(0.53871185 / exp(x0 / sqrt(sqrt(exp(sqrt(x0))))))) / 0.3188237) / 0.07425506"
18,0.17603217,"(cos(0.7332536 / sqrt(exp((x0 + 7.5830655) / sqrt(sqrt(exp(sqrt(x0))))))) / 0.16350958) / 0.14489013"
20,0.17597309,"(cos(0.7332536 / sqrt(exp((x0 + 7.5830655) / sqrt(sqrt(exp(sqrt(x0))) + x0)))) / 0.16350958) / 0.14489013"
21,0.1261868,"(cos(sqrt((4.172645 / exp(x0 * (1.2364582 / sqrt(sqrt(exp(sqrt(x0))))))) / log(x0))) / 0.13936682) / 0.17045139"
23,0.12342122,"(cos(sqrt((4.184232 / exp(x0 * (1.2644856 / sqrt(sqrt(exp(sqrt(x1 + x0))))))) / log(x0))) / 0.14800061) / 0.16046327"
25,0.12204154,"(cos(sqrt((4.1934595 / exp(x0 * (1.2905426 / sqrt(sqrt(exp(sqrt(x1 + (x0 + x1)))))))) / log(x0))) / 0.1552587) / 0.15291323"
26,0.12203462,"(cos(sqrt((4.1934595 / exp(x0 * sin(1.2905426 / sqrt(sqrt(exp(sqrt(x1 + (x0 + x1)))))))) / log(x0))) / 0.1552587) / 0.15291323"
27,0.121629395,"(cos(sqrt((4.1934595 / exp(((1.2905426 * x0) - x1) / sqrt(sqrt(exp(sqrt(x1 + (x0 + x1))))))) / log(x0))) / 0.1552587) / 0.15291323"
28,0.121604584,"(cos(sqrt((4.1934595 / exp((1.2905426 * (x0 - log(x0))) / sqrt(sqrt(exp(sqrt((x1 + x0) + x1)))))) / log(x0))) / 0.1552587) / 0.15291323"
29,0.12017302,"((cos(sqrt((4.181471 / exp((x0 * 1.2805287) / sqrt(sqrt(exp(sqrt(x0)))))) / log(x0))) / 0.15508081) / 0.1532538) - (sqrt(sqrt(exp(sqrt(x0)))) * -2.2406212e-9)"
31,0.11511764,"((cos(sqrt((4.181471 / exp((x0 * 1.2805287) / sqrt(sqrt(exp(sqrt(x0 + x1)))))) / log(x0))) / 0.15508081) / 0.1532538) - (sqrt(sqrt(exp(sqrt(x0)))) * -2.2406212e-9)"
33,0.11479336,"((cos(sqrt((4.181471 / exp(((-1.9389203 + x0) * 1.2805287) / sqrt(sqrt(exp(sqrt(x0 + x1)))))) / log(x0))) / 0.15508081) / 0.1532538) - (sqrt(sqrt(exp(sqrt(x0)))) * -2.2406212e-9)"
35,0.106100574,"abs(((x1 + -0.4998936) * (sqrt(sqrt(sqrt(exp(sqrt(x0))))) * -0.00013159317)) - ((cos(sqrt((4.1814713 / exp((x0 * 1.2905427) / sqrt(sqrt(exp(sqrt(x0)))))) / log(x0))) / 0.15504885) / 0.15320775))"
36,0.089202516,"abs(abs(((cos(sqrt((4.1392946 / exp(x0 * (1.2327261 / sqrt(sqrt(exp(sqrt(x0))))))) / log(x0))) / 0.15607251) / 0.15238638) - (((x1 + -0.79682946) * sqrt(sqrt(sqrt(exp(sqrt(x0)))))) * -0.00023404098)))"
37,0.08875175,"abs(abs(abs(((cos(sqrt((4.1405954 / exp((x0 * 1.2385888) / sqrt(sqrt(exp(sqrt(x0)))))) / log(x0))) / 0.15267567) / 0.15569007) - (((x1 + -0.7926367) * sqrt(sqrt(sqrt(exp(sqrt(x0)))))) * -0.0002333173))))"
39,0.08747087,"abs(abs(((cos(sqrt((4.1405954 / exp((x0 * 1.2385888) / (sqrt(x1) + sqrt(sqrt(exp(sqrt(x0))))))) / log(x0))) / 0.15267567) / 0.15569007) - (((x1 + -0.7926367) * sqrt(sqrt(sqrt(exp(sqrt(x0)))))) * -0.0002333173)))"
