Complexity,Loss,Equation
1,184.68924,"37.97976"
3,147.68489,"x1 - -33.885647"
4,104.16812,"237.22453 / log(x0)"
5,100.8857,"(x0 * -0.0072620027) + 45.85129"
6,85.094955,"(log(x0) * -8.922372) + 95.00913"
7,82.98377,"(sqrt(sqrt(x0)) * -6.9285564) + 73.59322"
8,81.96234,"(log(x0 + 161.49484) * -11.901587) + 118.10837"
10,81.82138,"(sqrt(sqrt(x0)) * -6.4883027) + (sqrt(x1) + 69.553604)"
11,80.86826,"(sqrt(x1) - -110.54601) + (log(x0 + 155.20074) * -11.059022)"
12,80.12487,"((sqrt(sqrt(x0)) * -6.824128) - sin(x0 / 0.11551261)) + 73.08238"
14,70.806366,"((sqrt(sqrt(x0)) * -6.8185935) + 72.88149) - (0.04535884 / sin(x0 / 0.8739086))"
16,70.7256,"((sqrt(sqrt(x0 - x1)) * -6.8185935) - (0.045307178 / sin(x0 / 0.8739086))) + 72.810196"
17,69.74015,"((sqrt(sqrt(x0)) * -6.8185935) + (72.88149 - sin(x1))) - (0.04530723 / sin(x0 / 0.8739085))"
18,69.25565,"(((sqrt(sqrt(x0)) * -6.8185935) + 72.88149) - sin(sqrt(x0))) - (0.04535884 / sin(x0 / 0.8739086))"
20,68.75972,"((72.88149 + (-6.8185935 * sqrt(sqrt(x0)))) - (sin(sqrt(x0)) / 0.5837375)) - (0.045307178 / sin(x0 / 0.8739086))"
21,68.267,"((72.88149 - sin(sqrt(x0))) - sin(x1)) + ((sqrt(sqrt(x0)) * -6.8185935) - (0.04530724 / sin(x0 / 0.87390846)))"
22,67.72863,"(((sqrt(sqrt(x0)) * -6.8185935) - (0.045307178 / sin(x0 / 0.8739086))) + 72.88149) - (sin(sqrt(x0) + x1) / 0.36464643)"
24,67.463036,"(((sqrt(sqrt(x0)) * -6.8185935) - (sin(x1 + sqrt(x0)) + sin(sqrt(x0)))) + 72.88149) - (0.045307178 / sin(x0 / 0.8739086))"
25,66.68967,"(((sqrt(sqrt(x0)) * -6.8185935) - (0.045307178 / sin(x0 / 0.8739086))) + 72.88149) - ((sin(x1) + sin(x1 + sqrt(x0))) / 0.5837375)"
26,66.556526,"((72.88149 + (-6.8185935 * sqrt(sqrt(x0)))) - ((sin(x1 + sqrt(x0)) + sin(sqrt(x0))) / 0.5837375)) - (0.045307178 / sin(x0 / 0.8739086))"
27,66.42178,"(((sqrt(sqrt(x0)) * -6.8185935) - (0.045307178 / sin(x0 / 0.8739086))) + 72.88149) - ((sin(x1 + 0.6424321) + sin(sqrt(x0) + x1)) / 0.5837375)"
28,65.86352,"(((sqrt(sqrt(x0)) * -6.8185935) - (0.045307178 / sin(x0 / 0.8739086))) + 72.88149) - ((sin(sin(x1) + x1) + sin(sqrt(x0) + x1)) / 0.36464643)"
29,65.70027,"(sqrt(sqrt(x0)) * -6.824128) + (72.837364 - ((sin(-0.47910002 / sin(0.41249067 - (x0 / 0.115511306))) - cos((x0 * 0.4697815) - sin(x0 / -0.04155051))) * 4.3246937))"
