Complexity,Loss,Equation
1,25.182234,"x4"
3,14.016917,"x2 + x3"
5,12.834963,"x3 + (x2 - -1.087161)"
6,12.191567,"x2 + sqrt(x5 * 0.05706779)"
7,11.520081,"(x2 + x3) - (x5 * -0.00086825143)"
8,10.727461,"sqrt((x4 * x3) + (0.05706779 * x5))"
9,9.810716,"(x2 - (x5 * -0.0020272965)) + (x3 / 1.4313716)"
10,9.163703,"(sqrt(x5) * 0.15521468) + ((x2 + x3) / 1.5114433)"
11,8.592421,"(((x4 + x3) + x2) - (x5 * -0.004774527)) * 0.4122183"
12,7.877158,"((x2 + x3) / 1.7203219) + (sqrt(x4) - (x5 * -0.001972217))"
13,7.7916307,"(((x2 + x3) / 1.8203629) + sqrt(abs(x1))) - (x5 * -0.0017040079)"
15,7.19597,"((x3 + x2) / 2.2230828) + (sqrt(x4 + abs(x1)) - (x5 * -0.0017617348))"
16,7.0354085,"sqrt(x4) + ((x1 * 0.08252289) + (((x2 + x3) / 2.076497) - (x5 * -0.001652712)))"
17,7.0343146,"(((x3 + x2) / 2.077786) - (x5 * -0.0016516751)) + (abs(x1 * 0.0827348) + sqrt(x4))"
18,7.019902,"((x2 + x3) / 2.1790495) + ((sqrt(x4 * 1.2101661) + (x1 * 0.080819525)) - (x5 * -0.0016567763))"
19,7.0192237,"(((sqrt(x4) * 1.0985922) + abs(0.08100593 * x1)) - (x5 * -0.0016558091)) + ((x2 + x3) / 2.1783803)"
20,6.719031,"(((x2 + x3) / 2.566063) + (sqrt(x4) + ((x1 * 6.5023026) / (x0 + x1)))) - (x5 * -0.001546992)"
21,6.7012806,"(((x1 * 7.225122) / (x1 + x0)) + (((x4 * 0.4491363) + (x3 + x2)) / 2.2834427)) - (x5 * -0.0013721393)"
22,6.6542153,"(((x1 * (7.027617 / (x0 + x1))) + (((x2 + x3) / 2.3757064) - (x5 * -0.0014869637))) + sqrt(x4)) - 0.6614215"
23,6.628266,"((x2 + x3) / 2.330616) + (sqrt(x4) + abs(((x1 * (6.8204813 / (x0 + x1))) - (x5 * -0.0014797022)) - 0.6658212))"
24,6.624258,"((x3 + x2) / 2.3783514) + abs(sqrt(x4) + abs((((x1 * 7.1118503) / (x1 + x0)) - (x5 * -0.0014794566)) - 0.67920834))"
25,6.091132,"(((x2 + x3) / 2.3312342) + (((x1 * (6.8204055 / (x1 + x0))) - (x5 * -0.001178334)) - cos(x5 * 0.0012817594))) + sqrt(x4)"
26,6.0419383,"((x2 + x3) / 2.3312342) + (sqrt(x4) + abs((((x1 / (x0 + x1)) * 6.8204055) - (x5 * -0.0011719128)) - cos(x5 * 0.0012818358)))"
27,5.9377832,"(((((x1 * 7.261224) / (x1 + x0)) + sqrt(x4)) - (x5 * -0.0015257405)) - cos((x5 * 0.0016295819) - 0.89471203)) + ((x2 + x3) / 2.6725173)"
28,5.873047,"sqrt(x4) + (abs(cos(0.7705409 - (x5 * 0.0016684978)) - (((7.259979 / (x1 + x0)) * x1) - (x5 * -0.0014740416))) + ((x2 + x3) / 2.6533186))"
29,5.6998353,"sqrt(x4) + (((((7.2599697 / (x0 + x1)) * x1) - (x5 * -0.001502015)) - cos(0.0015833797 * (x5 - (x0 * x0)))) + ((x2 + x3) / 2.6533513))"
30,5.628594,"((sqrt(x4) - (x5 * -0.0014890321)) + ((x3 + x2) / 2.658541)) + abs(((7.262281 / (x0 + x1)) * x1) - cos((x5 - (x0 * x0)) * 0.0015901194))"
31,5.586188,"sqrt(x4) + (((((7.2599697 / (x0 + x1)) * x1) - (x5 * -0.001502015)) - cos(0.0015833797 * (((x0 * x0) * 1.4757507) - x5))) + ((x2 + x3) / 2.6533513))"
32,5.549701,"(sqrt(x4) + abs((((7.2599697 / (x0 + x1)) * x1) - (x5 * -0.001502015)) - cos((((1.4757507 * x0) * x0) - x5) * 0.0015833797))) + ((x2 + x3) / 2.6533513)"
33,5.5426936,"sqrt(x4) + (abs((((7.2599697 / (x1 + x0)) * abs(x1)) - (x5 * -0.001502015)) - cos((x5 - (x0 * (1.4757507 * x0))) * 0.0015833797)) + ((x2 + x3) / 2.6533513))"
34,5.5395412,"((abs(cos(0.0015918838 * (((1.4738758 * x0) * x0) - x5)) - (((x1 * 7.261224) / (x0 + x1)) - (-0.0015021586 * x5))) + ((x3 + x2) / 2.7868211)) - -0.3063622) + sqrt(x4)"
35,5.5332375,"sqrt(x4) + (abs((abs(x1 * (7.261224 / (x0 + x1))) - (x5 * -0.0015021586)) - cos(0.0015918838 * (((x0 * 1.4738758) * x0) - x5))) + (((x2 + x3) / 2.7868211) - -0.2747679))"
37,5.529363,"abs(((sqrt(x4) + abs((((x1 * 7.261224) / (x0 + x1)) - (x5 * -0.0015021586)) - cos((x1 - ((x0 * (x0 * 1.4738758)) - x5)) * 0.0015918838))) + ((x2 + x3) / 2.7868211)) - -0.2747679)"
38,5.5267096,"sqrt(x4) + (abs(((x1 * (7.261224 / (x0 + x1))) - (x5 * -0.0015021586)) - cos((x1 - (((x0 * (1.4738758 * x0)) - x5) - x3)) * 0.0015918838)) + (((x2 + x3) / 2.7868211) - -0.2747679))"
39,5.495694,"((sqrt(x4) - (x5 * -0.0014890321)) + ((x3 + x2) / 2.658541)) + abs((((7.262281 / (x0 + x1)) * x1) - cos((x5 - (x0 * x0)) * 0.0015901194)) - cos((x5 - (x0 * x0)) * 0.0015901194))"
