Complexity,Loss,Equation
1,0.0341706,"0.6672119"
4,0.017143326,"exp(x1 * 0.06386372)"
6,0.016345527,"exp((x1 - x0) * 0.06383403)"
8,0.015664171,"cos(sqrt(abs(x0 - (x1 * 0.073199734))))"
9,0.014071764,"sin(sqrt(x0 + sqrt(abs(x1))) - -0.74509436)"
10,0.013701433,"sin(sqrt(sqrt(abs(x1)) + sqrt(x0)) - -0.68318766)"
11,0.013570898,"abs(sin(sqrt(sqrt(x0) + sqrt(abs(x1))) - -0.69737816))"
12,0.013488132,"sin(sqrt(sqrt(x0) + sqrt(abs(x1) + 0.86293066)) - -0.6476497)"
13,0.013461259,"abs(sin(-0.6465666 - sqrt(sqrt(abs(x1) + 0.9310187) + sqrt(x0))))"
15,0.013457362,"abs(sin(sqrt(sqrt(x0) + sqrt(abs(x1) + (x0 - -0.7111138))) - -0.6476497))"
17,0.013402431,"sin((cos(sqrt(sqrt(sqrt((x1 / (1.1141775 - sqrt(x0))) * x1)))) - -1.0461897) * 0.7827247)"
19,0.013399014,"sin(0.7827247 * (cos(sqrt(sqrt(sqrt((0.5933654 + (x1 * x1)) / (1.1141775 - sqrt(x0)))))) - -1.0461897))"
20,0.013197724,"sin(((cos(sqrt(sqrt(sqrt((x1 / (1.1390891 - sqrt(sqrt(x0)))) * x1)))) - -1.0769298) / 0.9885283) * 0.79386884)"
