Complexity,Loss,Equation
1,205380.08,"69.022385"
4,205374.8,"sin(x1) + 69.11104"
5,205344.84,"(x0 * 0.400445) + 60.81784"
6,205335.33,"exp(x0 / 16.434978) + 63.9608"
7,205335.03,"((x0 * 0.007652232) * x0) + 64.09905"
8,205335.0,"(abs(x0 * 0.0076633515) * x0) + 64.09905"
9,205332.66,"((x0 * 0.013805682) * (x0 + -27.770746)) + 68.10769"
10,205317.1,"(cos((x0 * x0) * -12.036003) * 7.8514047) + 68.858284"
11,204861.84,"((x0 + x0) / (5.16051 - (x2 / 22.538221))) + 60.621864"
12,204860.94,"abs(((x0 + x0) / (5.16051 - (x2 / 22.538221))) + 60.621864)"
13,204838.48,"abs(((x0 + x0) / (5.1082244 - abs(x2 / -22.756598))) + 60.619144)"
