Complexity,Loss,Equation
1,21.807337,"12.88427"
3,19.104301,"x0 * 0.5467981"
4,19.032438,"abs(x0 * 0.5472821)"
5,15.536009,"(x0 * 0.3463881) - -6.192197"
6,15.531824,"abs(x0 * 0.34798503) + 6.1428394"
8,15.443219,"(cos(x2 * -112.95747) * -12.771628) + 18.945528"
9,15.013532,"(cos(cos(x2 * -0.09162734)) * 40.087837) + -15.117425"
10,14.829593,"(x0 * 0.3217661) + (6.6986985 - cos(x2 * 0.23759879))"
11,13.569265,"(41.12356 * cos(cos((x1 + x2) * -0.06344211))) + -17.730957"
13,13.3123045,"(cos(cos((x0 * 0.015728164) + (x2 * 0.059623435))) * 40.093132) + -16.122992"
14,13.3065405,"sqrt((x0 - -8.812249) / 0.095300846) * cos(cos((x2 + x1) * 0.06833234))"
15,12.806495,"(cos(cos((x0 * -0.011121384) + (x2 * (x1 * -0.0106610935)))) * 37.434177) + -13.152287"
16,12.755819,"-8.224625 + (cos(cos((x1 + x2) * -0.06368134)) * sqrt((x0 + 42.882427) / 0.07890567))"
17,12.7541,"(cos(cos((x1 + x2) * -0.06368134)) * sqrt((abs(x0) + 42.882427) / 0.07890567)) + -8.224625"
18,12.631779,"(sqrt((x0 - -51.36022) / 0.098191105) * cos(cos(((x2 + x1) * 0.09331103) - 0.43349993))) + -6.6236105"
20,12.631519,"((cos(cos(0.43349993 - ((x1 + x2) * 0.09331103))) * sqrt((x0 - -51.36022) / 0.098191105)) + -6.715433) + 0.049615666"
23,12.572216,"((cos(cos((0.10265385 * (x1 + x2)) - -2.5752928)) * sqrt((x0 - -44.37601) / 0.10795355)) - cos(x1 * -0.3893183)) + -4.9116063"
24,12.57079,"((cos(cos((0.10265385 * (x1 + x2)) - -2.5752928)) * sqrt((abs(x0) - -44.37601) / 0.10795355)) - cos(x1 * -0.3893183)) + -4.9116063"
25,12.493827,"((cos(cos(-2.577031 - ((x1 + x2) * 0.102703296))) * sqrt((x0 - -44.357044) / 0.10259314)) - cos((x1 * x1) * 0.2821879)) + -5.1590505"
26,12.493036,"((sqrt((abs(x0) - -44.357044) / 0.10259314) * cos(cos(-2.577031 - ((x1 + x2) * 0.102703296)))) - cos((x1 * x1) * 0.2821879)) + -5.1590505"
28,12.483285,"(-5.1590395 - cos(((cos(x1) * x1) * 0.43925267) + -0.33393356)) + (cos(cos(0.5594655 - ((x2 + x1) * 0.102673486))) * sqrt((x0 - -44.357044) / 0.10191518))"
