Complexity,Loss,Equation
1,49.599167,"x4"
3,47.877525,"x2 + 8.648433"
4,44.50048,"sqrt(x5) * 0.38922706"
5,38.760456,"sqrt(sqrt(x5) * x2)"
6,36.24173,"sqrt(x5 * 0.060289316) + x2"
7,35.14491,"sqrt(sqrt(x5 * x3)) + x2"
9,33.92296,"sqrt(sqrt((x5 * (x3 * x2)) + 1968.3677))"
10,33.481464,"sqrt(x4 + ((x5 * 0.0055573154) * x3)) + x2"
11,33.153484,"x2 + sqrt(abs(x1) + ((x5 * 0.0051467093) * x3))"
12,32.972427,"sqrt((x4 + x4) + (x5 * (x3 * 0.0044724266))) + x2"
13,32.221115,"(x2 + sqrt(sqrt((x3 * (x4 * x5)) + 4043.9646))) / 1.6636838"
15,31.997383,"((sqrt(sqrt((x3 * (x4 * x5)) + 5758.928)) + x2) / 1.5201675) - 1.5961496"
16,31.764297,"(x2 + sqrt(sqrt((x5 * abs(x0 - (x3 * x4))) + 3123.2573))) / 1.5994729"
18,31.398285,"(x2 + sqrt(sqrt(abs(x3 * (x4 * (x5 - (x0 * x0)))) + 3902.5295))) / 1.6023086"
19,31.221285,"(x2 + sqrt(sqrt((x4 * abs((x5 - (x0 * sqrt(x5))) * x3)) + 4663.2124))) / 1.5260926"
21,31.082348,"(sqrt(x1 + sqrt(abs(x4 * (((x0 * sqrt(x5)) - x5) * x3)) + 4663.2124)) + x2) / 1.5260926"
22,30.889654,"(x2 / 1.5302299) + sqrt(x1 + sqrt(abs((((x4 * 0.12136244) * x3) - 1.5197424) * (x5 - (x0 * x0)))))"
24,30.8407,"((x2 / 1.6575865) + sqrt(x1 + sqrt(abs((x5 - (x0 * x0)) * (1.3921714 - ((x4 * x3) * 0.1128258)))))) + 0.49330825"
25,30.836731,"((x2 / 1.6575865) + sqrt(abs(x1) + sqrt(abs((x5 - (x0 * x0)) * (1.3921714 - ((x4 * x3) * 0.1128258)))))) + 0.49330825"
26,30.830727,"(x2 / 1.6687309) + (sqrt(x1 + sqrt(abs((((x4 * x3) * 0.11412039) - 1.4330193) * (x5 - (x0 * (x0 / 1.088717)))))) + 0.47655803)"
27,30.72804,"sqrt(sqrt(abs(((x1 + (x3 * x4)) - x0) * (((x0 * x0) - x5) * -0.18083723)) + (x4 * 127.15049))) + abs(x2 * -0.45879236)"
28,30.640509,"((x2 * -0.41171676) + x2) + sqrt(sqrt(abs(((x0 * x0) - x5) * (-0.14523415 * (x1 + ((x3 * x4) - x0)))) + (x4 * 110.27696)))"
30,30.584993,"(sqrt(sqrt((x4 * 131.74362) + abs((x5 - (x0 * x0)) * ((x1 + ((x4 * (x3 + -1.4081693)) - x0)) * -0.16903628)))) + x2) + (x2 * -0.42175162)"
