Complexity,Loss,Equation
1,184.68924,"37.980766"
3,147.68489,"x1 + 33.88716"
4,104.16812,"237.22456 / log(x0)"
5,100.88569,"45.851562 - (x0 * 0.0072621154)"
6,85.094955,"(log(x0) * -8.923136) - -95.01451"
8,81.96234,"(log(x0 - -162.18665) * -11.907904) + 118.1641"
9,81.579605,"(408.74124 / log(log(x0 - -371.784))) + -172.93196"
11,80.86827,"(sqrt(x1) + (log(x0 - -155.63483) * -11.064946)) - -110.59351"
12,80.36359,"(log(x0 + 160.82477) * -11.8851795) - (sin(sqrt(x0)) + -117.9823)"
13,79.62944,"((-94.617485 - sin(sqrt(x0))) * log(log(x0 - -270.02737))) + 220.02086"
14,78.19594,"(log(log(x0 - -289.0471)) * (-98.364334 - cos(x0 / 0.5788519))) + 227.55716"
15,77.78967,"227.521 + (log(log(x0 - -289.04755)) * (-98.5057 - sin(237.22456 / log(x0))))"
16,76.67446,"(log(log(x0 - -289.04684)) * (-98.404724 - cos((x0 / 0.53991246) - x1))) + 227.56995"
18,75.60748,"((-98.38514 - cos(x1 - ((x0 - -0.35049364) / 0.5400054))) * log(log(x0 - -301.25928))) + 227.78618"
20,74.832565,"((-98.5057 - (sin(sqrt(x0 * 0.4029719)) + sin(x0 * 0.4679361))) * log(log(x0 - -293.2891))) + 227.64008"
21,73.601074,"(log(log(x0 - -289.04755)) * ((-98.5057 - sin(x0 * 0.46803814)) - cos(x1 - (x0 / 0.5399106)))) + 227.521"
22,73.487144,"227.521 + (((-98.5057 - sin(237.22456 / log(x0))) - cos((x0 / 0.53997576) - x1)) * log(log(x0 - -289.04755)))"
23,72.72226,"(log(log(x0 - -301.25928)) * ((-98.5057 - sin(x0 * 0.46798423)) - cos(x1 - ((x0 - -0.31127363) / 0.5399891)))) + 227.74915"
24,71.654144,"(((-98.5057 - sin(237.22456 / log(x0))) - cos((x0 / 0.53997576) - (x1 - 0.6677525))) * log(log(x0 - -289.04755))) + 227.9914"
25,71.42774,"(((-98.5057 - sin((x0 * 0.039062027) + x1)) - cos((x1 - 0.7044296) - (x0 / 0.5399959))) * log(log(x0 - -290.54352))) + 227.88515"
27,70.66339,"(((-98.5057 - (sin(x0 * 0.4679361) + sin(sqrt(0.41003144 * x0)))) - cos(x1 - (x0 / 0.5399752))) * log(log(x0 - -289.04755))) + 227.521"
28,69.92118,"(((-98.5057 - (sin(x0 * 0.4679361) + sin((x0 * 0.03905762) + x1))) - cos(x1 - (x0 / 0.5399752))) * log(log(x0 - -301.25928))) + 227.8158"
29,69.373405,"(((-98.5057 - (sin(0.46794838 * x0) + sin(sqrt(x0) * 0.6431985))) - cos((x1 - 0.64409673) - (x0 / 0.53999066))) * log(log(x0 - -289.04755))) + 227.521"
30,68.64482,"(log(log(x0 - -301.25928)) * ((-98.5057 - (sin((x0 * 0.03905784) + x1) + sin(x0 * 0.4679363))) - cos(((x0 - 6.4538913) / 0.539977) - x1))) + 227.8158"
31,67.89575,"(log(log(x0 - -289.04755)) * ((-98.5057 - (sin(x1 + (x0 * 0.0390668)) + sin(237.22456 / log(x0)))) - cos((x1 - 0.6677525) - (x0 / 0.53997576)))) + 228.01378"
33,67.715614,"(((-98.50566 - ((sin(sqrt(x0)) + sin(x0 * 0.46787322)) + sin(sqrt(x0 * 0.4092174)))) - cos((x0 / 0.5401211) - (x1 - 1.0275923))) * log(log(x0 - -293.2891))) + 227.64009"
34,67.32472,"227.521 + (log(log(x0 - -289.04755)) * ((-98.5057 - (sin(x1 + (0.0390668 * x0)) + (sin(237.22456 / log(x0)) + sin(x0 * 0.46793583)))) - cos((x0 / 0.53997576) - x1)))"
36,65.72359,"(((-98.5057 - (sin(x0 * 0.46793583) + (sin(x1 + (x0 * 0.0390668)) + sin(237.22456 / log(x0))))) - cos((x0 / 0.53997576) - (x1 - 0.6677525))) * log(log(x0 - -289.04755))) + 227.73885"
38,65.64476,"227.521 + (log(log(x0 - -289.04755)) * ((-98.5057 - ((sin(237.22456 / log(x0 - x1)) + sin(x0 * 0.46793583)) + sin(x1 + (x0 * 0.0390668)))) - cos((x0 / 0.53997576) - (x1 - 0.6677525))))"
39,65.61469,"(log(log(x0 - -289.04755)) * ((-98.5057 - ((sin(sqrt(x0 * 0.41486442)) + sin((x0 * 0.039059665) + x1)) + sin((x0 + cos(x0)) * 0.46793735))) - cos((x1 - 0.66960394) - (x0 / 0.53997755)))) + 227.521"
40,65.502655,"(log(log(x0 - -289.04755)) * ((-98.5057 - ((sin((-0.62412006 + x0) * 0.46793583) + sin(x1 + (x0 * 0.0390668))) + sin(237.22456 / log(x0 - x1)))) - cos((x0 / 0.53997576) - (x1 - 0.6677525)))) + 227.521"
