Complexity,Loss,Equation
1,50.474792,"x4"
3,38.94302,"x2 + x3"
5,37.68836,"x2 + (x3 + 1.1201128)"
7,36.294285,"x2 + ((x5 * 0.00089423667) + x3)"
8,36.03908,"(x5 * 0.0030920855) + (x2 + sqrt(x4))"
9,34.641186,"(x5 * 0.002033863) + (x2 + (x3 / 1.4211372))"
10,34.415184,"(x2 + (sqrt(x3) / 0.47720408)) + (x5 * 0.0021455132)"
11,33.604267,"(x5 * 0.0019779166) + (((x3 + x4) + x2) / 2.4187112)"
12,32.872917,"((x3 + x2) / 1.7065866) + ((x5 * 0.0019674988) + sqrt(x4))"
14,32.864647,"(sqrt(x4 + 0.19873479) + ((x3 + x2) / 1.7135599)) + (x5 * 0.0019699764)"
15,32.728443,"((x1 + x4) * 0.11332605) + ((x3 + ((x5 * 0.0024681545) + x2)) / 1.6840782)"
16,32.716343,"((x4 + abs(x1)) * 0.11376715) + ((((x5 * 0.0024694528) + x3) + x2) / 1.6871068)"
17,32.210304,"((x4 + (x1 * 0.31833822)) * 0.23872842) + ((x3 + ((x5 * 0.0028793144) + x2)) / 1.9022874)"
18,32.203808,"((x4 + abs(x1 * 0.32069358)) * 0.23842245) + ((x3 + (x2 + (x5 * 0.002876212))) / 1.9032195)"
19,32.021477,"((x4 + (x1 * 0.39685276)) * 0.19540182) + ((x5 * 0.001588305) + (((x3 + 2.539657) + x2) / 2.0952601))"
20,32.01737,"((x3 + ((x5 * 0.0033263962) + x2)) / 2.0962424) + (((abs(x1 * 0.39822578) + x4) * 0.1956464) + 1.2033579)"
22,31.948603,"(((abs(x3 - (log(x5) * sin(0.7762868 - log(x5)))) + 2.149127) - (sqrt(x4) * -2.1281521)) + x2) * 0.5929966"
23,31.64724,"(((x2 + abs((sin(0.8516382 - log(x5)) * 5.8764505) - x3)) - (sqrt(x4) * -1.8389007)) + sqrt(abs(x1))) * 0.5849434"
24,31.322035,"(((x2 + abs((sin(0.7742876 - log(x5)) * log(x5)) - x3)) - (sqrt(x4) * -2.1775184)) + sqrt(abs(x1))) * 0.53772223"
25,31.247066,"((sqrt(abs(x1)) + (abs((sin(sin(0.82148993 - log(x5))) * log(x5)) - x3) + x2)) - (sqrt(x4) * -2.0258362)) * 0.55728906"
26,31.243412,"0.58846223 * ((x2 + 2.785484) + (abs((log(x5) * sin(sin(sin(0.92510784 - log(x5)) * 2.4582644))) - x3) - (sqrt(x4) * -2.1292052)))"
27,30.769707,"((abs((log(x5) * sin(sin(0.88440996 - log(x5)) / 0.40294483)) - x3) + (x2 + sqrt(abs(x1)))) - (sqrt(x4) * -2.525663)) * 0.5136726"
28,30.708662,"((abs((log(x5) * sin(sin(sin(0.9109303 - log(x5)) / 0.40162438))) - x3) + (x2 + sqrt(abs(x1)))) - (sqrt(x4) * -2.3297856)) * 0.5346745"
29,30.660208,"(((x2 + abs((log(x5) * sin(sin(sin(sin(0.9199862 - log(x5))) * 2.8901014))) - x3)) - (sqrt(x4) * -2.3729043)) + sqrt(abs(x1))) * 0.53202355"
30,30.643766,"(((x2 + abs(x3 - (sin(sin(sin(0.92682475 - log(x5 + x1)) * 2.49233)) * log(x5)))) - (sqrt(x4) * -2.3555331)) + sqrt(abs(x1))) * 0.5334435"
31,30.626635,"(((abs(x3 - (log(x5) * sin(sin(sin(sin(0.9256968 - log(x5))) * 2.8748126)))) - (sqrt(x4) * -2.014386)) + (sqrt(abs(x1)) + x2)) * 0.5332264) + 0.7048708"
32,30.5825,"(sqrt(abs(x1)) + ((abs(x3 - (log(x5) * sin(sin(sin(0.92272633 - log(x1 + x5)) * 1.7804189) * 2.2623959))) - (-2.5749545 * sqrt(x4))) + x2)) * 0.50699127"
33,30.550854,"((abs(x3 - (sin(sin(sin(sin(0.93694794 - log(x5 + x1))) * 2.8689694)) * log(x5))) + (sqrt(abs(x1)) - (sqrt(x4) * -2.0705476))) + (x2 + 1.1478087)) * 0.5326057"
34,30.4667,"abs(((sqrt(abs(x1)) + (abs((sin(sin(1.0495604 - log(((x4 + x1) * x2) + x5)) * 2.6110523) * log(x5)) - x3) + x2)) - (sqrt(x4) * -2.398871)) * 0.530728)"
35,30.218672,"(abs(x3 - (log(x5) * sin(sin(1.0986927 - log((x3 * (x4 + x1)) + x5)) * 2.6009827))) + ((x2 + sqrt(abs(x1))) - ((sqrt(x4) * -2.0960195) - 2.557083))) * 0.49710575"
36,30.17597,"abs(((sqrt(x4) * -1.9390112) - 2.2355416) - ((x2 + sqrt(abs(x1))) + abs(x3 - (sin(sin(1.0690806 - log((x3 * (x1 + x4)) + x5)) * 2.607974) * log(x5))))) * 0.5139921"
38,29.754417,"abs(((sqrt(x4) * -0.7739275) - 2.256221) - ((x2 + (((0.89074194 - sin(sin(sin(1.1442984 - log(x5 + ((x4 + x1) * x3))) * 2.7813406) * 2.219892)) * log(x5)) + sqrt(abs(x1)))) * 0.5829652))"
39,29.379196,"abs(((sqrt(x4) * -0.87235534) - sqrt(x3)) - ((x2 + (sqrt(abs(x1)) + ((1.0743771 - sin(sin(sin(1.1546217 - log((x3 * (x4 + x1)) + x5)) * 2.8128629) * 2.233485)) * log(x5)))) * 0.5075754))"
40,29.374876,"abs(((sqrt(x4) * -0.87235534) - sqrt(x3)) - ((x2 + (sqrt(abs(x1)) + abs((1.0743771 - sin(sin(sin(1.1546217 - log((x3 * (x4 + x1)) + x5)) * 2.8128629) * 2.233485)) * log(x5)))) * 0.5075754))"
