Complexity,Loss,Equation
1,47.883644,"x4"
3,37.676666,"x3 + x2"
5,36.77927,"(x2 + x3) + 0.94628817"
6,36.46338,"sqrt(x4 * (x2 + x3))"
7,35.000736,"x2 + ((x4 + x3) * 0.39698583)"
8,34.6707,"x2 + (0.1772417 * (x4 + sqrt(x5)))"
9,34.199276,"((x2 + x3) + (x4 * 0.4551109)) / 1.3848534"
10,33.537457,"(x3 * 0.51732385) + (x2 - (sqrt(x5) * -0.13078316))"
11,33.489643,"((x1 + x4) * 0.13854393) + ((x2 + x3) / 1.4627239)"
12,32.48146,"((((x1 + sqrt(x5)) * 0.19643953) + x3) + x2) * 0.5757679"
13,32.4767,"((x3 + x2) + ((sqrt(x5) + abs(x1)) * 0.19668402)) * 0.57538694"
14,31.68622,"((x3 + ((sqrt(x5) + (x4 + x1)) * 0.2195137)) + x2) * 0.49147394"
15,31.68295,"((x3 + (((abs(x1) + x4) + sqrt(x5)) * 0.21999714)) + x2) / 2.0371623"
16,31.439604,"(((sqrt(x5) + x1) + (x4 * 2.2218657)) * 0.09222205) + ((x2 + x3) / 2.1686664)"
17,31.438099,"(((x4 * 2.2232885) + (sqrt(x5) + abs(x1))) * 0.092228875) + ((x2 + x3) / 2.169815)"
18,31.23625,"((((x0 - (sqrt(x5) + (x4 + x1))) * -0.22911204) + x3) + (x2 + 7.450768)) * 0.434429"
19,31.232643,"((x3 + ((x0 - (sqrt(x5) + (x4 + abs(x1)))) * -0.22941498)) + (x2 + 7.421231)) * 0.4345482"
20,31.010899,"(((x3 + x2) + 6.218427) * 0.41908324) + ((x0 - ((x4 + sqrt(x5)) + (x4 + x1))) * -0.09137347)"
21,31.006966,"((x0 - ((sqrt(x5) + (x4 + abs(x1))) + x4)) * -0.09154017) + (((x3 + x2) + 6.19533) * 0.41889253)"
22,30.97688,"(((x3 + x2) - ((x0 - ((x1 + sqrt(x5)) - (x3 - (x4 / 0.44451258)))) * 0.18403964)) * 0.47924817) + 2.3854609"
