Complexity,Loss,Equation
1,78.22113,"17.755306"
3,45.72178,"x0 * 17.525566"
5,9.585655,"x0 * (728.7438 / x2)"
7,2.2515645,"1012.1318 / ((x2 / x0) - -10.12444)"
8,0.10369839,"(log(x2 / x0) * -16.251135) + 81.48847"
9,0.083425015,"-11.02682 - (-2409.5598 / ((x2 / x0) - -34.349384))"
10,0.0011191572,"(5245.1807 / log(x2 * (1.3788929e6 / x0))) + -272.96487"
12,0.0011181914,"(5251.4775 / log(x2 * (1.3936038e6 / (x0 + 0.00013211732)))) + -273.1453"
14,0.0011175671,"(5251.404 / log((x2 * 1.3936038e6) / (x0 - (-0.0026609043 / x2)))) + -273.13992"
15,0.0011175661,"-273.13992 + (5251.404 / abs(log((x0 - (-0.0026609043 / x2)) / (1.3936038e6 * x2))))"
16,0.001117555,"(5251.404 / log(x2 * (1.3936038e6 / (x0 - (-0.002745523 / (x2 + 1.2796329)))))) + -273.13992"
18,0.001117515,"(5251.4033 / log((x2 * 1.3936038e6) / x0)) + (-273.1417 - (-0.25018117 / ((x0 / 0.025533983) + x2)))"
19,0.0011174082,"(5251.316 / (log((x2 * 1.3936038e6) / x0) - (0.01571597 / ((x0 * sqrt(x1)) + x2)))) + -273.13696"
21,0.0011173914,"(5251.316 / (log((x2 * 1.3936038e6) / x0) - (0.01571296 / ((x0 * sqrt(x1)) + (x2 - 1.0307642))))) + -273.13696"
22,0.0011171679,"(-273.14172 - (-0.22441489 / (sqrt(abs(x1 * (x0 + -0.30948243))) + x2))) + (5251.4033 / log((x2 * 1.3936038e6) / x0))"
24,0.0011171058,"((5251.404 / log((x2 * 1.3936038e6) / x0)) - (-0.21658655 / (sqrt(x1 * abs(x0 + -0.30946594)) + (x2 + -3.0128105)))) + -273.14175"
25,0.0011160662,"((5251.4033 / log((x2 * 1.3936038e6) / x0)) + -273.1417) - (-0.25017595 / (abs((1.7070732 / (x0 + -0.72837913)) - (x0 / 0.025520097)) + x2))"
27,0.0011160045,"((5251.4033 / log((x2 * 1.3936038e6) / x0)) - (-0.23796314 / (x2 + abs(((0.1394129 - x0) / 0.02551524) + (1.3597212 / (x0 + -0.7283884)))))) + -273.14178"
29,0.0011141505,"(5251.404 / log((1.3936038e6 * x2) / x0)) + (-273.1414 - (-0.27475458 / ((x2 - (15.533495 / (x2 - 15.533495))) + (x0 / sqrt((0.42477888 / x1) / 1.3215451)))))"
30,0.0011137428,"(5251.404 / log((x2 * 1.3936038e6) / x0)) + (-273.1415 - (-0.27475616 / abs((x0 / sqrt(0.42478055 / x1)) + (x2 - ((x2 / (x2 - 15.533469)) + 1.9676471)))))"
31,0.0011137385,"((5251.404 / log((x2 * 1.3936038e6) / x0)) + -273.1415) - (log(0.76402783) / abs((x2 / (x2 - 15.533469)) + (1.9676471 - (x2 + (x0 / sqrt(0.42478055 / x1))))))"
35,0.0011137283,"((5251.404 / log((x2 * 1.3936038e6) / x0)) + -273.14166) - (-0.2747562 / abs(((x0 / sqrt(0.4247816 / (x1 + 15.533469))) + x2) - (((abs(x2) / (x2 - 15.530834)) + 1.9676472) + x0)))"
42,0.0011132945,"((5251.404 / log((1.3936038e6 * x2) / x0)) + -273.1414) - (-0.27475458 / (abs(((x2 / ((x0 + -0.72389054) * (x1 * 0.44583982))) + -0.6737444) * (x0 / (0.42477888 / sqrt(x1)))) + (x2 - ((x0 + 15.533495) / (x2 - 15.533495)))))"
43,0.001112947,"((5251.404 / log((x2 * 1.3936038e6) / x0)) + -273.1415) - (-0.27475616 / (((x0 / (0.42478055 / sqrt(x1))) * abs(((x2 + -3.2539067) / ((x0 + -0.7242843) * (x1 * 0.4458416))) + -0.6737445)) + (x2 - (abs(x2) / (x2 - 15.533469)))))"
44,0.0011126779,"((5251.404 / log((x2 * 1.3936038e6) / x0)) + -273.1414) - (-0.27475458 / (abs((((x2 + -3.115864) / ((x0 + -0.72389054) * (x1 * 0.44583982))) + -0.6737444) * (x0 / (0.42477888 / sqrt(x1)))) + (x2 - ((x0 + 15.533495) / (x2 - 15.533495)))))"
45,0.0011126396,"((5251.404 / log((x2 * 1.3936038e6) / x0)) + -273.1415) - (-0.27475616 / (abs((x0 / (0.42478055 / sqrt(x1))) * (((x2 + -3.2539067) / ((x0 + -0.7242843) * (x1 * 0.4458416))) + -0.6737445)) + (x2 - (abs(x0 + 15.533495) / (x2 - 15.533469)))))"
46,0.0011125905,"((5251.404 / log((x2 * 1.3936038e6) / x0)) + -273.14154) - (-0.27475658 / ((x2 - (((x2 + x0) - 0.3889104) / (x2 - 15.533458))) + abs((((x2 + -3.2539067) / ((x0 + -0.7244073) * (x1 * 0.44584215))) + -0.6737455) * (x0 / (0.42477942 / sqrt(x1))))))"
47,0.0011124868,"((5251.404 / log((x2 * 1.3936038e6) / x0)) + -273.1415) - (-0.27475616 / (abs((x0 / (0.42478055 / sqrt(x1))) * (((x2 + -3.2539067) / ((x0 + -0.7242843) * (x1 * 0.4458416))) + -0.6737445)) + (x2 - (abs((x0 + x0) - x2) / (x2 - 15.533469)))))"
49,0.0011124867,"((5251.404 / log((x2 * 1.3936038e6) / x0)) + -273.1415) - (-0.27475616 / (abs((x0 / (0.42478055 / sqrt(x1 - 0.13196485))) * (((x2 + -3.2539067) / ((x0 + -0.7242843) * (x1 * 0.4458416))) + -0.6737445)) + (x2 - (abs((x0 + x0) - x2) / (x2 - 15.533469)))))"
