Complexity,Loss,Equation
1,78.22113,"17.75538"
3,45.72178,"x0 * 17.525532"
5,9.585655,"(x0 / x2) * 728.7486"
7,4.2667503,"(x0 * 974.52716) / (x2 + 10.202787)"
8,0.10369835,"(log(x0 / x2) * 16.251154) + 81.48854"
10,0.06276926,"(log(x0 / (x2 - x0)) * 15.861143) - -79.587074"
12,0.0065284404,"(log(x0 / (x2 - (x0 * 3.714181))) * 14.758207) + 74.28626"
14,0.0065262513,"(log(x0 / ((x2 + 0.010296186) - (x0 * 3.725122))) * 14.75607) + 74.278"
16,0.0065091704,"74.286224 + (log(x0 / (x2 - (x0 * 3.7141573))) * (14.758347 - (1.3766242 / x1)))"
17,0.0051679094,"((x0 * (1176.7498 / ((x0 * 17.877716) + x2))) + 3.526069) - (x2 / (x0 / 0.065414116))"
19,0.005048191,"((x0 * (1169.9764 / ((x0 * 17.796843) + x2))) + 3.6610904) - (x2 / ((x0 / 0.06680179) + 0.062311433))"
21,0.0012634973,"(((log(abs(x0 / x2)) * 0.9096999) + 23.253666) * log(x0 / x2)) + ((x0 - -94.69026) - abs(x0))"
41,0.0012633812,"(0.3292105 + ((1220.7057 / ((x2 / 1.3012733) + ((22.498062 - ((x0 / 0.15643086) / (x2 * 0.1563555))) * x0))) * x0)) - (x2 / ((x0 + ((x2 + (x2 / ((0.49865925 * x0) * (x0 * x1)))) / 1141.4773)) / 0.06264506))"
43,0.001261443,"(((x0 * 1220.7057) / ((x2 / 1.3012733) + ((22.498062 - ((x0 / 0.15643086) / (x2 * 0.1563555))) * x0))) + 0.3292105) - (x2 / ((x0 + ((x2 - (((x2 / x0) / 0.5136485) / (x2 - (x1 * x0)))) / 1141.4773)) / 0.06264506))"
44,0.0012614428,"(0.3292105 + (1220.7057 * (x0 / ((x2 / 1.3012733) + ((22.498062 - ((x0 / 0.15643086) / (x2 * 0.1563555))) * x0))))) - (x2 / ((x0 + ((x2 - (((x2 / x0) / sqrt(0.26383477)) / (x2 - (x1 * x0)))) / 1141.4773)) / 0.06264506))"
45,0.0012611923,"(0.3292105 + (1220.7057 * (x0 / ((x2 / 1.3012733) + ((22.498062 - ((x0 / 0.15643086) / (x2 * 0.1563555))) * x0))))) - (x2 / ((x0 + ((x2 - ((x2 / (x0 * 0.72495526)) / ((x2 + x2) - (x1 * x0)))) / 1141.4773)) / 0.06264506))"
47,0.0012610225,"((x0 * (1220.7057 / ((x2 / 1.3013278) + (x0 * (22.498049 - ((x0 / 0.15645544) / (x2 * 0.15637536))))))) + 0.3292079) - (x2 / ((x0 + (((x2 - 0.1252867) - (((x2 / x0) * 1.9233086) / ((x2 / 0.88224393) - (x1 * x0)))) / 1141.4773)) / 0.062643126))"
