Complexity,Loss,Equation
1,78.22113,"17.755339"
3,45.72178,"x0 * 17.525517"
5,9.585655,"(x0 * 728.74426) / x2"
7,4.266751,"(x0 * 974.5493) / (x2 + 10.203371)"
8,0.10369809,"(log(x0 / x2) * 16.251154) + 81.48854"
10,0.0065284106,"(log((x2 / x0) + -3.714349) * -14.75807) + 74.2857"
12,0.0063050096,"(-14.781715 * log(-3.6939178 + (x2 / (x0 - -0.0018249238)))) + 74.34814"
14,0.006243288,"74.34814 + (-14.781715 * log((x2 / (x0 - (-1.7087729 / x1))) + -3.6939178))"
16,0.005532475,"(log(((x2 - (x0 * 3.8155124)) + 0.3429588) / (x0 - -0.008179192)) * -14.879908) + 74.70025"
18,0.0017731778,"(sqrt(x2 * x0) / (x2 + (x0 * 2.3881705))) * (((x2 * -1.1939768) / x0) - -190.27283)"
20,0.0017129013,"(((((x2 * -1.235701) / x0) - -186.14975) * sqrt(x2 * x0)) / (x2 + (x0 * 2.263304))) + 0.8022893"
22,0.001539784,"(sqrt(x0 * (x2 + (x0 * 5.2178345))) / ((x0 * 5.2884407) + x2)) * (((-1.2034351 / x0) * x2) + 191.36043)"
24,0.0015052954,"(193.26454 + ((x2 * -1.2126952) / x0)) * ((sqrt((x2 + (x0 * 5.004848)) * x0) / ((x0 * 5.277416) + x2)) + -0.0012450407)"
26,0.0014993105,"((192.99422 + ((x2 * -1.2355511) / x0)) * ((sqrt((x2 + (x0 * 4.999879)) * x0) / ((x0 * 5.2866025) + x2)) + -0.002122898)) + 0.30656764"
28,0.0014974432,"(((sqrt((((x0 * 4.9665074) + x2) + 0.019153725) * x0) / (x2 + (x0 * 5.278595))) + -0.0021922048) * (((-1.2370387 / x0) * x2) + 192.99861)) + 0.32448113"
30,0.0011627761,"((x2 * (-1.2817526 / x0)) - -205.48474) * ((sqrt(x0 * (x2 + ((x0 * 16.30126) / (x2 / x0)))) / (((x0 + x0) * 1.9036807) + x2)) + -0.007092458)"
32,0.0011455654,"((sqrt(((x2 + x0) + (x0 * (16.11668 / (x2 / x0)))) * x0) / (x2 + ((x0 + x0) * 2.1945956))) + -0.006932835) * ((x2 * (-1.2828687 / x0)) + 205.51132)"
34,0.0011405847,"(((x2 * -1.2836082) / x0) - -205.51337) * ((sqrt(x0 * (((x0 * 16.109735) / (x2 / x0)) + ((x0 + x2) + x0))) / (x2 + ((x0 + x0) * 2.4791203))) + -0.0067971586)"
36,0.0011405027,"((sqrt(x0 * ((x0 + x0) + (x2 + ((x0 * 16.126724) / (x2 / x0))))) / (((x0 + (x0 + x0)) * 1.6534111) + x2)) + -0.0068098153) * (((x2 * -1.2837535) / x0) - -205.5399)"
38,0.0011397535,"((sqrt((((x0 + x2) + x0) + ((x0 * 16.100023) / (x2 / x0))) * x0) / ((((x0 + (x0 + x0)) * 1.6542315) - 0.0049843485) + x2)) + -0.00681562) * (((x2 * -1.2837536) / x0) - -205.5396)"
40,0.0011397531,"(((x2 * -1.2837584) / x0) - -205.5396) * ((sqrt(x0 * (((x0 * 15.030473) / (x2 / (x0 * 1.0711597))) + (x0 + (x2 + x0)))) / (x2 + (((x0 + (x0 + x0)) * 1.6542376) - 0.004984606))) + -0.006815398)"
42,0.0011395476,"((sqrt((((14.405496 / x1) + ((x0 + x2) + x0)) + ((x0 * 15.031147) / ((x2 / x0) / 1.0702797))) * x0) / ((((x0 + x0) + x0) * 1.6540473) + x2)) + -0.0068158885) * (((x2 * -1.2837875) / x0) - -205.5396)"
43,0.0011393513,"(((-1.2837704 / x0) * x2) - -205.53961) * ((sqrt(x0 * ((x0 + (x0 + x2)) + ((x0 * 15.030496) / ((x2 / x0) / 1.071508)))) / (((x0 + ((x0 + x0) - (sqrt(x2) / x1))) * 1.6538273) + x2)) + -0.0068251723)"
45,0.0011393331,"((sqrt((((x0 * 15.030468) / ((x2 / x0) / 1.0710983)) + (x0 + (x0 + x2))) * x0) / (x2 + ((((x0 + x0) + x0) * 1.6532168) - (log(x2) / (x1 * x0))))) + -0.0068167695) * (((x2 * -1.2838044) / x0) - -205.53952)"
46,0.0011393189,"((sqrt(x0 * (((x0 * 15.030468) / ((x2 / x0) / 1.0710976)) + ((x2 + x0) + x0))) / (x2 + (((x0 + (x0 + x0)) * 1.6532336) - (sqrt(log(x1)) / (x0 * x1))))) + -0.0068160226) * ((x2 * (-1.2837713 / x0)) - -205.53952)"
47,0.0011392811,"(((x2 * -1.2837945) / x0) - -205.53952) * ((sqrt(x0 * ((x0 + (x0 + x2)) + ((x0 * 15.030468) / ((x2 / x0) / 1.0710979)))) / (x2 + ((((x0 + x0) + x0) * 1.6532177) - (log(x2) / (x2 + (x1 * x0)))))) + -0.0068168864)"
49,0.0011392325,"((sqrt(x0 * (((x0 * 15.030468) / ((x2 / x0) / 1.0710975)) + (x0 + (x2 + x0)))) / ((((x0 + x0) + x0) * 1.6532247) + (x2 - (log(x2) / ((x1 * x0) + (x2 / 0.24393323)))))) + -0.006816903) * (((-1.2837696 / x0) * x2) - -205.53952)"
