Complexity,Loss,Equation
1,78.22113,"17.755306"
3,45.72178,"x0 * 17.525528"
5,9.585655,"x0 * (728.7438 / x2)"
7,2.2515647,"1012.1699 / ((x2 / x0) - -10.125687)"
8,1.2525673,"(sqrt(x0 / x2) + -0.062239397) * 211.60384"
9,0.08319017,"(2436.5354 / ((x2 / x0) + 34.77867)) - 11.186576"
10,0.0070233834,"(584.79297 / (sqrt(x2 / x0) + 4.1835613)) + -34.338284"
12,0.0016433006,"(859.2204 / (sqrt((x2 / x0) + -5.6794353) + 7.4898214)) + -43.069633"
14,0.0014185208,"(304.75867 / (2.6230748 + sqrt((x2 / (7.0585985 * x0)) + -0.7146961))) + -41.559303"
16,0.0014180177,"(304.75867 / (2.624872 + sqrt(((x2 + -0.0075958585) / (x0 * 7.095958)) + -0.71469754))) + -41.626232"
19,0.0012464201,"(308.75754 / ((sqrt((x2 / 8.398861) / x0) + 2.7975385) - sqrt(2.100731 * (x0 / x2)))) + -43.70007"
21,0.0012095668,"(308.78635 / ((sqrt(x2 / (x0 * 8.90297)) + 2.8445575) - sqrt(x0 / ((x2 + x0) / 2.6805837)))) + -44.290577"
23,0.0011870484,"(308.86636 / (sqrt(x2 / (x0 * 9.390714)) + (2.8922756 - sqrt(x0 / ((x2 / 3.3863838) + (0.61417055 * x0)))))) + -44.815342"
37,0.0011845519,"((308.81958 / ((sqrt(x2 / (x0 * 9.259109)) + 2.8712945) - sqrt(x0 / ((x0 * 0.4996621) + (x2 / 3.0444095))))) - abs((((log(x0) * x2) / (x1 * x0)) * x2) / x1)) + -44.71137"
39,0.0011732104,"(308.78473 / (((sqrt(x2 / (x0 * 8.88395)) + 2.8327649) + (4.190005 / (((x2 * x2) / x0) * ((x2 * (0.26473588 / x0)) - x0)))) - (0.81981695 / sqrt((x2 - 0.2113432) / (x0 * 3.6219673))))) + -44.304073"
45,0.0011731287,"(308.7846 / ((sqrt(x2 / (x0 * 8.882375)) + 2.8322148) + ((((x0 / x0) + 2.8312435) / ((x2 * ((x2 / x0) + -0.96095264)) * ((x2 * (0.2648422 / x0)) - x0))) - (0.81873524 / sqrt((x2 - 0.2113178) / (x0 * 3.6218164)))))) + -44.304848"
47,0.001173103,"(308.7846 / ((sqrt(x2 / (x0 * 8.882375)) + 2.8322148) + ((((x0 / x0) + 2.8322148) / (((x2 * (x2 / x0)) + (1.0555522 - x2)) * (((x2 / x0) * 0.2648422) - x0))) - (0.81873524 / sqrt((x2 - 0.2113178) / (x0 * 3.6218164)))))) + -44.304848"
49,0.0011730286,"(308.78473 / ((sqrt(x2 / (x0 * 8.883863)) + 2.8327374) + ((((x0 / x0) + 2.8308973) / ((((x2 - 3.6218157) * -1.5543951) + ((x2 * x2) / x0)) * ((x2 * (0.26479867 / x0)) - x0))) - (0.81973857 / sqrt((x2 - 0.21131809) / (x0 * 3.6219375)))))) + -44.30413"
