Complexity,Loss,Equation
1,78.22113,"17.755306"
3,45.72178,"x0 * 17.525522"
5,9.585655,"x0 * (728.7451 / x2)"
7,4.2667503,"(x0 / (x2 - -10.202283)) * 974.5227"
8,0.10369837,"(log(x0 / x2) * 16.251135) - -81.48847"
9,0.0056447918,"(sqrt(log(x2 / x0)) * -63.340664) - -142.87952"
10,0.0026148593,"(sqrt(sqrt(sqrt(x0 / x2))) * 209.90225) + -111.107155"
12,0.0023485713,"(sqrt(sqrt(sqrt(x0 / (x2 - -0.0982176)))) * 210.2485) - 111.28063"
14,0.0012634216,"(sqrt(sqrt(sqrt(x0 / ((x0 * 0.45070583) + x2)))) * 212.57234) - 112.571396"
16,0.0011325956,"(sqrt(sqrt(sqrt(x0 / x2))) * (207.03415 - (x2 * (0.008106578 / x0)))) + -109.06717"
18,0.0011294254,"(sqrt(sqrt(sqrt(x0 / x2))) * (206.99675 - ((x2 * 0.008406989) / (x0 + 0.009403459)))) + -109.03779"
20,0.0011234495,"-109.42491 - ((x0 / x2) - (sqrt(sqrt(sqrt(x0 / x2))) * ((-0.0073604896 / (x0 / x2)) + 207.61253)))"
21,0.0011188164,"-114.73836 - ((log(x0 / x2) - (((-0.0052821646 / x0) * x2) + 212.22894)) * sqrt(sqrt(sqrt(x0 / x2))))"
22,0.0011181618,"(sqrt(sqrt(sqrt(x0 / x2))) * 208.93141) + ((-110.28151 - (0.002804398 * (x2 / x0))) - (x0 / (x2 * 0.34515664)))"
24,0.0011166948,"(((sqrt(sqrt(sqrt(x0 / x2))) * 208.93076) - (((x2 * 0.0028550734) - 0.0025732787) / x0)) - (x0 / (x2 * 0.34177953))) + -110.280716"
26,0.0011165747,"((sqrt(sqrt(sqrt(x0 / x2))) * 209.26367) - (((x2 - 0.90858823) / x0) * 0.002676385)) + (-110.47711 - ((x0 * 3.8291345) / (x2 + x0)))"
28,0.0011164017,"(-110.479416 - ((3.826536 * (x0 / (x2 + x0))) - (((x2 * -0.0026427275) + (0.049161088 / x2)) / x0))) + (209.26654 * sqrt(sqrt(sqrt(x0 / x2))))"
30,0.0011155222,"((-110.47719 - (x0 * (3.828314 / (x2 + 1.1841869)))) + (sqrt(sqrt(sqrt(x0 / x2))) * 209.26494)) - (((x0 / (11.826263 - x2)) + (x2 / x0)) * 0.0026422387)"
32,0.0011146591,"((sqrt(sqrt(sqrt(x0 / x2))) - (((x0 / (11.827392 - x2)) + ((x2 - 1.0843178) / x0)) * 1.281675e-5)) * 209.26335) + (-110.47728 - ((x0 * 3.8291767) / (x2 + x0)))"
34,0.0011146448,"(-110.47731 - (3.82913 * (x0 / (x2 + x0)))) + ((sqrt(sqrt(sqrt(x0 / x2))) - ((((x0 + 0.11938955) / (11.829474 - x2)) + ((x2 - 1.084412) / x0)) * 1.28219235e-5)) * 209.26353)"
35,0.0011145471,"((sqrt(sqrt(sqrt(x0 / x2))) * 209.26335) - ((((x2 - 1.0843168) + ((x0 + log(x0)) / (11.82738 - x2))) * 0.0026807524) / x0)) + (-110.47729 - (x0 * (3.8291774 / (x0 + x2))))"
36,0.0011144419,"((sqrt(sqrt(sqrt(x0 / x2))) * 209.26347) - (((x0 / (11.829036 - x2)) + ((x2 - ((1.9518565 / x2) / 0.11212212)) / x0)) * 0.0026449873)) + (-110.47735 - ((x0 / (x2 + x0)) * 3.8291452))"
38,0.0011144197,"(sqrt(sqrt(sqrt(x0 / x2))) * 209.26347) + ((-110.47733 - (x0 * (3.829141 / (x0 + x2)))) - (((x0 * (1.0715921 / (11.829065 - x2))) + ((x2 - ((1.9518594 / x2) / 0.11211662)) / x0)) * 0.0026452416))"
40,0.0011143816,"(-110.47743 - (x0 * (3.8291066 / (x2 + x0)))) + ((sqrt(sqrt(sqrt(x0 / x2))) * 209.26353) - ((((x2 - ((-2.0375838 / x2) / -0.12529372)) / x0) + ((x0 + 0.21208018) * (x0 / (11.8292465 - x2)))) * 0.002643253))"
41,0.001113898,"((sqrt(sqrt(sqrt(x0 / x2))) * 209.2637) - (((x2 + (((3.9921355 - log(x2)) * 0.5118767) / ((x2 + 0.82629335) - (x2 * x0)))) - 1.1293241) * (0.0026882344 / x0))) + (-110.477104 - ((3.8291106 / (x2 + x0)) * x0))"
43,0.0011138945,"(-110.47698 - ((3.829107 / (x2 + x0)) * x0)) + ((sqrt(sqrt(sqrt(x0 / x2))) * 209.26378) - ((0.0026835152 / x0) * ((((3.9921348 - log(x2)) * (0.44910368 / ((x2 + 0.8259255) - (x0 * x2)))) + x2) - (x0 / x0))))"
44,0.0011136441,"((209.26367 * sqrt(sqrt(sqrt(x0 / x2)))) + -110.47715) - ((3.8291337 * (x0 / (x0 + x2))) - (-0.0026585173 * ((((3.9921136 - log(x2)) / 1.9568169) / ((x2 + 0.8270822) - (x2 * x0))) + ((x2 - (3.992118 / sqrt(x2))) / x0))))"
45,0.0011135234,"((-110.47707 - ((3.8291326 / (x2 + x0)) * x0)) + (sqrt(sqrt(sqrt(x0 / x2))) * 209.26372)) - ((0.0026597078 / x0) * ((((((3.9921136 - log(x2)) / log(1.5590054)) / ((0.8271195 - (x0 * x2)) + x2)) - 3.992118) / sqrt(x2)) + x2))"
47,0.0011133997,"(sqrt(sqrt(sqrt(x0 / x2))) * 209.26372) + ((-110.47707 - (x0 * (3.8291326 / (x0 + x2)))) - (0.0026610228 * ((((3.9921136 - log(x2)) / log(x2 / 3.992118)) / (0.8270765 + (x2 - (x2 * x0)))) + ((x2 - (3.992118 / sqrt(x2))) / x0))))"
49,0.001113371,"((-110.47707 - (x0 * (3.8291326 / (x0 + x2)))) + (sqrt(sqrt(sqrt(x0 / x2))) * 209.26372)) - (0.0026610228 * ((((3.9921136 - log(x2)) / log(x2 / 3.992118)) / (0.8270765 + (x2 - (x2 * x0)))) + ((x2 - (3.992118 / sqrt(-3.1135511 + x2))) / x0)))"
