Complexity,Loss,Equation
1,78.134125,"17.755495"
3,45.636482,"x0 * 17.525475"
5,9.502923,"(x0 / x2) * 728.7438"
7,4.1828113,"x0 * (974.6246 / (x2 - -10.206639))"
8,1.2272196,"-13.157289 + (211.51639 / sqrt(x2 / x0))"
9,0.17103913,"(168.14384 / sqrt(sqrt(x2 / x0))) + -45.915527"
10,0.032519434,"(209.74771 / sqrt(sqrt(sqrt(x2 / x0)))) + -111.01227"
12,0.03228477,"(210.83775 / sqrt(sqrt(sqrt((x2 / x0) + 0.18428947)))) - 111.61016"
14,0.031628132,"(211.86278 / sqrt(sqrt(sqrt((x2 + 0.3684418) / (x0 + 0.0070703775))))) + -112.30275"
16,0.031603847,"(211.87868 / sqrt(sqrt(sqrt(((x2 + 0.33359435) / (x0 + 0.006506164)) + 0.03782408)))) + -112.30055"
17,0.031273838,"((abs((0.16019902 / x0) - 0.24736808) + 209.53708) / sqrt(sqrt(sqrt(x2 / x0)))) - 110.943924"
18,0.03113696,"((209.40099 / sqrt(sqrt(sqrt(x2 / x0)))) - (abs(log(x0 * 1.4316292)) * -0.14729695)) + -110.86432"
19,0.023625614,"((209.58832 / sqrt(sqrt(sqrt(x2 / x0)))) + abs(0.507615 - ((x1 * 0.00027773727) / x0))) - 111.046745"
21,0.022552785,"((209.65605 / sqrt(sqrt(sqrt(x2 / x0)))) + abs((((x1 + -209.9286) * -0.00035040607) / x0) - -0.5323179)) - 111.08974"
23,0.022249816,"abs((((x2 + (x1 + -211.66203)) * -0.00035166665) / x0) - -0.5550012) + ((209.74593 / sqrt(sqrt(sqrt(x2 / x0)))) - 111.14886)"
25,0.02183508,"(209.77222 / sqrt(sqrt(sqrt((x2 / x0) - -0.1607179)))) + (abs(((x1 * -0.00014221853) / (x0 / sqrt(sqrt(x2)))) - -0.6812311) - 111.135826)"
27,0.021201858,"((209.7872 / sqrt(sqrt(sqrt((x2 / x0) + (x0 * 0.13885958))))) + abs(((x1 * -0.00015962972) / (x0 / sqrt(sqrt(x2)))) - -0.7743274)) - 111.171555"
29,0.020819003,"((209.78432 / sqrt(sqrt(sqrt((x2 / x0) + ((x0 * x0) * 0.09386094))))) + abs(((x1 * -0.00015882493) / (x0 / sqrt(sqrt(x2)))) - -0.7702904)) - 111.176186"
31,0.020564375,"(abs(-0.77020156 - (((x1 * -0.0001765954) + 0.02060846) / (x0 / sqrt(sqrt(x2))))) + (209.78441 / sqrt(sqrt(sqrt(((x0 * x0) * 0.08528239) + (x2 / x0)))))) - 111.17604"
33,0.020438211,"(209.78432 / sqrt(sqrt(sqrt((x0 * (x0 * 0.08687239)) + (x2 / x0))))) + (abs(-0.76649237 - (((9.445224 / x1) + (x1 * -0.000166158)) / (x0 / sqrt(sqrt(x2))))) - 111.17599)"
