Complexity,Loss,Equation
1,78.134125,"17.755495"
3,45.636482,"x0 * 17.525465"
5,9.502923,"x0 * (728.7423 / x2)"
7,4.1828113,"(x0 * 974.56635) / (x2 + 10.204304)"
8,0.15348198,"(log(x0 / x2) * 16.23692) + 81.432724"
10,0.10930645,"(log(x0 / (x2 - x0)) * 15.847678) + 79.53458"
12,0.042764787,"(log(x0 / (x2 - (x0 * 3.915365))) * 14.661741) + 73.839"
13,0.03203746,"(log(x0 / x2) * (log(x0 / x2) + 23.93458)) + 95.945114"
15,0.031959042,"((log((x0 - 0.003738346) / x2) + 23.95093) * log(x0 / x2)) + 95.99002"
16,0.031840708,"abs(((log(x0 / x2) + 23.934824) * log(x0 / x2)) + 96.95158) + -1.0056883"
17,0.03139619,"(log(x0 / (x2 + 0.20405678)) * (log((x0 - 0.017639956) / x2) + 24.070675)) + 96.4875"
19,0.030826941,"(log((-0.12518625 / x1) + (x0 / x2)) * (log((x0 - 0.017157342) / x2) + 23.876305)) + 95.7426"
21,0.030812543,"((log((x0 - 0.017483309) / x2) + 23.876537) * log((-0.12342877 / (x1 + -22.423717)) + (x0 / x2))) + 95.74232"
22,0.028727522,"96.27075 + (((log((x0 - 0.0945023) / x2) + 24.025639) * log(x0 / x2)) - ((14.064333 / x0) / sqrt(x1)))"
23,0.028727258,"((log(abs(x0 / x2)) * (log((x0 - 0.094637364) / x2) + 24.025846)) - ((14.064351 / x0) / sqrt(x1))) + 96.2707"
24,0.028491111,"(96.22573 + ((log((x0 - 0.095584325) / x2) + 24.022404) * log(x0 / x2))) - (((14.050732 / x0) - x0) / sqrt(x1))"
25,0.028480902,"(log(x0 / x2) * (log((x0 - 0.09496681) / x2) + 24.055254)) + (96.28154 - (((14.050732 / x0) - log(x2)) / sqrt(x1)))"
26,0.028178267,"(96.09614 + ((24.011772 + log((x0 - 0.09843446) / x2)) * log(x0 / x2))) - (((14.048987 / x0) - (x0 * 3.7457602)) / sqrt(x1))"
27,0.027997578,"((log(x0 / x2) * (log((x0 - 0.09843446) / x2) + 24.011772)) + 96.09614) - abs(((14.048987 / x0) - (x0 * 3.7457602)) / sqrt(x1))"
28,0.027886093,"(((log((x0 - 0.09996982) / x2) + 24.03242) * log(x0 / x2)) - abs(((x0 * log(x2)) - (14.049571 / x0)) / sqrt(x1))) + 96.165794"
29,0.026795933,"((log((x0 - 0.10005795) / x2) + 24.004986) * log(x0 / x2)) + (96.06311 - abs(((13.986919 / x0) - ((x0 * x0) * 3.6137476)) / sqrt(x1)))"
31,0.026551489,"(((log((x0 - 0.10462808) / x2) + 24.004654) * log(x0 / x2)) + 96.05201) - abs(((x0 * (x0 * 3.6139808)) - (13.9899025 / x0)) / sqrt(x1 - 96.06537))"
33,0.026046438,"(log(x0 / x2) * (log((x0 - 0.10581929) / x2) + 24.003918)) + (96.042534 - abs(((x0 * (x0 * 3.5636086)) - (14.053497 / x0)) / sqrt(x1 - (x2 / x0))))"
35,0.02552094,"((log(x0 / x2) * (log((x0 - 0.11501749) / x2) + 24.025908)) + 96.08777) - abs((((x0 * 3.5962253) * x0) - (14.083042 / x0)) / sqrt(x1 - ((x2 - -34.849316) / x0)))"
37,0.025510905,"(log(x0 / x2) * (log((x0 - 0.11531557) / x2) + 24.027071)) + (96.09441 - abs(((((x0 * 3.6554751) * x0) - 0.22016029) - (14.061765 / x0)) / sqrt(x1 - ((x2 - -34.85037) / x0))))"
39,0.02547882,"((log(x0 / x2) * (log((x0 - 0.11669823) / x2) + 24.029339)) + 96.097755) - abs(((x0 * (x0 * 3.6481974)) - (14.063666 / x0)) / sqrt(x1 - (((x0 * x2) - -34.850227) / (x0 * 0.60435617))))"
41,0.025470726,"((log((x0 - 0.11720999) / x2) + 24.027262) * log(x0 / x2)) + (96.094406 - abs((((14.061723 / x0) - (x0 * (x0 * 3.655586))) + 0.33250704) / sqrt(x1 - (((x2 * x0) - -34.850376) / (x0 * 0.6001807)))))"
43,0.025451973,"(((log((x0 - 0.11692234) / x2) + 24.029537) * log(x0 / x2)) + 96.09382) - (abs(((x0 * x0) * 3.6555562) + (-14.206681 / x0)) / (sqrt(x1 - (((x2 * x0) - -34.850376) / (x0 * 0.60022306))) + (x0 * x0)))"
45,0.025433343,"(((log((x0 - 0.11692234) / x2) + 24.029537) * log(x0 / x2)) + 96.09382) - (abs((x0 * (x0 * 3.6555562)) + (-0.1449289 - (14.061752 / x0))) / (sqrt(x1 - (((x2 * x0) - -34.850376) / (x0 * 0.60022306))) + (x0 * x0)))"
47,0.02539201,"((log(x0 / x2) * (log((x0 - 0.11818055) / x2) + 24.029514)) + 96.08956) - abs((((14.053979 / x0) + 2.060684) - (((x0 + 0.2600821) * x0) * 3.703082)) / ((x0 * 3.655668) + sqrt(x1 - (((x0 * x2) - -34.850838) / (x0 * 0.5534132)))))"
