Complexity,Loss,Equation
1,78.134125,"17.755495"
3,45.636482,"x0 * 17.525135"
5,9.502923,"x0 * (728.7423 / x2)"
7,2.2039738,"1011.27026 / ((x2 / x0) - -10.09271)"
9,0.09825193,"(2389.7375 / ((x2 / x0) - -34.03912)) + -10.906322"
10,0.098251864,"abs(2389.7913 / ((x2 / x0) - -34.040234)) + -10.906432"
11,0.09796929,"(2389.7336 / (((x2 + -0.116753414) / x0) - -34.11042)) + -10.924598"
13,0.091989994,"(2389.8643 / ((-11.123592 / x2) - (-34.588387 - (x2 / x0)))) + -10.824575"
15,0.032839082,"(((3695.4578 / (x2 + (x0 * 70.36519))) + (176.09074 / x2)) * x0) + -16.571682"
16,0.03283907,"abs(((3695.4578 / (x2 + (x0 * 70.36519))) + (176.09074 / x2)) * x0) + -16.571682"
17,0.032749522,"(((176.10541 / (x2 - -0.09610575)) + (3695.4626 / (x2 + (x0 * 70.27483)))) * x0) + -16.583788"
19,0.03273404,"(((3539.1082 / ((x2 - 0.3662166) - (x0 * -67.67741))) + (0.147471 - (-170.84314 / x2))) * x0) - 16.10299"
21,0.03195527,"(((3538.3352 / (x2 - (x0 * -67.56038))) + (171.8464 / x2)) * x0) - (((x2 / x1) / x0) + 15.85463)"
23,0.031510822,"((x0 * ((3538.3293 / (x2 - (-67.86135 * x0))) + (171.85138 / x2))) + ((x2 / (x1 / -2.1227365)) / x0)) - 15.72441"
25,0.030269051,"((-177.37894 / (x1 * x0)) + -16.285154) + (((171.85141 / x2) + (3538.3591 / ((x2 - -3.3554912) - (x0 * -66.37321)))) * (x0 + 0.03148176))"
26,0.030138023,"((-177.39098 / (x0 * x1)) + -16.246466) + (((3538.367 / ((x2 - -2.9698954) - (x0 * -66.579094))) + (171.69041 / x2)) * abs(x0 + 0.029137973))"
27,0.02910662,"((((x2 / x0) * -4.89472) / x1) + -15.87074) + (((172.10168 / x2) + (3538.335 / ((x2 - -3.0621455) - (x0 * -67.12436)))) * (x0 + 0.024545403))"
28,0.029079726,"(((x2 * -4.8992333) / x0) / x1) + abs(((x0 + 0.024590455) * ((172.1009 / x2) + (3538.3352 / ((x2 - -3.0572925) - (x0 * -67.108864))))) + -15.877991)"
29,0.028858228,"(((171.83696 / x2) + (3538.3525 / ((x2 - -3.766294) - (x0 * -66.71132)))) * (x0 + 0.034884065)) + (((x2 + 66.19602) * (-2.3374398 / (x1 * x0))) + -16.124512)"
31,0.027976133,"((((x2 / x1) * ((2.3212154 / x0) - 1.9704814)) * -2.7244682) + ((x0 + 0.031855572) * ((171.9621 / x2) + (3538.346 / ((x2 - (x0 * -66.57524)) + 3.6009798))))) + -16.25872"
32,0.027689714,"((0.035636984 + x0) * ((172.19075 / x2) + (3538.3296 / ((4.2411866 + x2) - (-66.61749 * x0))))) + ((abs(x2 * ((x0 + (-2.1341274 / x0)) / x1)) * -2.650824) + -16.137318)"
33,0.027665975,"abs((((171.97462 / x2) + (3538.3416 / ((x2 - (x0 * -66.765114)) + 3.760246))) * (x0 + 0.032024834)) + -16.09942) + ((-2.6472726 / x1) * (x2 * abs((2.0681684 / x0) - x0)))"
34,0.027368275,"((x0 + 0.036892705) * ((3538.329 / (4.266801 + (x2 - (x0 * -66.65536)))) + (172.18472 / x2))) + ((((x2 - -5.3035283) * abs(((-2.0952682 / x0) + x0) / x1)) * -2.6134088) + -16.150871)"
36,0.027256247,"(((172.00047 / x2) + (3538.3408 / (3.9929938 + (x2 - (x0 * -66.706535))))) * (x0 + 0.035097633)) + ((((x2 - (-2.1283453 / x0)) * -2.4348404) * abs(((-2.1219642 / x0) + x0) / x1)) + -16.15776)"
37,0.02724254,"(abs(((-2.1219642 / x0) + x0) / x1) * ((x2 - (-2.1283453 / x0)) * -2.4348404)) + abs((((3538.3408 / ((3.9929938 - (x0 * -66.706535)) + x2)) + (172.00047 / x2)) * (x0 + 0.035097633)) + -16.15776)"
38,0.026479967,"((x0 + 0.040900156) * ((171.91379 / x2) + (3538.3464 / ((x2 + 4.243819) - (x0 * -66.623856))))) + (((((abs(-2.5429485 + (x0 * 1.6429402)) + -0.7073661) / x1) * -2.9911907) * ((x2 / x0) - -66.68388)) + -16.370378)"
40,0.025891868,"-16.44242 + ((((3538.345 / (4.3075614 + (x2 - (x0 * -66.67803)))) + (171.90923 / x2)) * (x0 + 0.043379787)) + (((-2.9422872 / x1) * (((x2 - -16.305393) / x0) - -66.68358)) * (abs((x0 * 1.5808567) + -2.4846745) + -0.8309323)))"
41,0.025874779,"abs((((3538.345 / ((x2 - (x0 * -66.67225)) + 4.3216157)) + (171.91075 / x2)) * (x0 + 0.04328332)) + -16.443232) + ((-2.9469025 / x1) * ((((x2 - -16.30605) / x0) - -66.68398) * (abs((x0 * 1.572179) + -2.4863236) + -0.85925794)))"
42,0.025278771,"((abs((x0 * 1.593864) + -2.5487738) + -0.979246) * ((-2.9679034 / x1) * ((3538.3447 / sqrt(x0 * x1)) + abs(-82.986694)))) + ((((171.88995 / x2) + (3538.3447 / (x2 + (4.485689 - (x0 * -66.869606))))) * (x0 + 0.049574528)) + -16.588793)"
43,0.025045723,"((x0 + 0.04892861) * ((171.89203 / x2) + (3538.3457 / (x2 + (4.4795027 - (x0 * -66.82749)))))) + (-16.596643 + (((abs((1.5638095 * x0) + -2.54614) + -1.0616105) * (-2.976771 / (x1 - 0.20624726))) * ((3538.3447 / sqrt(x0 * x1)) - -82.987236)))"
45,0.024947384,"((x0 + 0.048742414) * ((171.89429 / x2) + (3538.3477 / (x2 + (4.4561734 - (x0 * -66.73716)))))) + ((((-3.0214028 / (x1 - 0.2061214)) * ((3538.3447 / sqrt((x1 + -66.8274) * x0)) - -82.98879)) * (abs((x0 * 1.5854797) + -2.548847) + -1.1483479)) + -16.660042)"
