Complexity,Loss,Equation
1,78.134125,"17.755495"
3,45.636482,"x0 * 17.525475"
5,9.502923,"(x0 * 728.7433) / x2"
7,4.1828113,"(x0 / (x2 - -10.203246)) * 974.5545"
8,0.15348203,"81.43264 - (log(x0 / x2) * -16.236898)"
10,0.04276476,"73.839355 - (14.661819 * log(-3.9152465 + (x2 / x0)))"
12,0.042020675,"74.137764 - (log((x2 / (x0 - -0.0036644007)) + -3.7919247) * 14.746225)"
13,0.032037452,"95.94511 - ((log(x0 / x2) - -23.934576) * log(x2 / x0))"
15,0.031959116,"95.988235 - ((log((x0 - 0.0036847515) / x2) - -23.950397) * log(x2 / x0))"
16,0.031556834,"((0.024793183 * (x2 / x0)) - (16.839169 * log((x2 / x0) + -1.6498704))) + 81.69731"
18,0.031430468,"81.47968 + (((x2 * 0.023139864) / (x0 + -0.011429376)) - (16.769087 * log((x2 / x0) + -1.6946306)))"
20,0.030768674,"(((x2 / x0) * ((x1 * 1.6353579e-6) + 0.02428065)) + 81.73562) - (log((x2 / x0) + -1.6784973) * 16.877163)"
22,0.029595166,"(81.52457 + (((x1 * 0.00013531576) + (0.024044137 * x2)) / x0)) - (16.83123 * log(-1.9040405 + ((x2 + 0.33306423) / x0)))"
24,0.028430024,"(x2 * (0.030974718 / (x0 + -0.030586198))) + (82.58235 - (log(-1.4282148 + (x2 / x0)) * (17.106897 + (x2 / (x0 * x1)))))"
25,0.028430022,"(x2 * (0.030974712 / (x0 + -0.030586198))) + (82.58235 - (log((x2 / x0) + -1.4282148) * (abs(x2 / (x0 * x1)) + 17.106897)))"
26,0.027499802,"(log((x2 / x0) + -1.3847625) * ((x2 * (0.004986353 / (x0 + -0.08023993))) - ((x2 / ((x0 + -0.124670364) * x1)) + 16.891273))) + 82.323006"
28,0.02698347,"((((x2 + -2.568092) * 0.028734304) / (x0 + -0.09316404)) + 82.7903) - (log((x2 / x0) + -1.3442551) * ((x2 / (x1 * (x0 + -0.13297585))) + 17.123251))"
30,0.02694085,"((((x2 + -2.856963) * 0.029861221) / (x0 + -0.09531727)) - (log((x2 / x0) + -1.3473852) * (((x2 * 1.1604831) / ((x0 + -0.12690409) * x1)) + 17.145338))) + 82.84496"
32,0.025726022,"(((x2 / x1) + 1.932742) * (43.117764 - ((((x2 / x1) * 3.817308) / x0) + (log((x2 / x0) + -1.2962012) * 9.067075)))) + (0.043266773 * ((4.3403807 + x2) / x0))"
34,0.02518876,"(x2 * (0.036698252 / (x0 - 0.079584226))) + ((1.9237301 + (x2 / x1)) * (43.05225 - ((((x2 / x1) * 3.664642) / (x0 - 0.11979773)) + (8.995429 * log((x2 / x0) + -1.4053202)))))"
36,0.024923958,"((43.04915 - ((((x2 * 3.6683772) / x1) / (x0 - 0.11316194)) + (log((x2 / x0) + -1.365127) * 9.010187))) * ((x2 / x1) + 1.9278116)) + ((0.037975572 / (x0 - 0.06668098)) * (x2 + 1.3260067))"
38,0.024913952,"(((x2 * (1.1680894 / x1)) + 1.9318974) * (43.040688 - ((log((x2 / x0) + -1.3444005) * 9.041777) + (((x2 / x1) * 3.6847906) / (x0 - 0.091669485))))) + ((x2 + 2.8695314) * (0.04106718 / (x0 - 0.04288088)))"
39,0.024886161,"((((x2 + sqrt(x2)) * 0.03665552) / (x0 - 0.044230565)) + ((43.071106 - ((8.90221 * log((x2 / x0) + -1.3875492)) + ((x2 / (x0 - 0.0896478)) * (3.687704 / x1)))) * ((x2 / x1) + 1.9550966))) + -1.2068131"
40,0.024674827,"((43.038925 - ((log((x2 / x0) + -1.3364859) * 9.049866) + ((3.6805644 / x1) * (x2 / (x0 - 0.0903414))))) * ((x2 / ((168.00659 - x1) / -1.097785)) + 1.9336153)) + (((x2 + 2.8715107) / (x0 - 0.042432852)) * 0.04170081)"
42,0.024671653,"(((2.8715107 + x2) / (x0 - 0.042432852)) * 0.04170081) + (((x2 / (((168.00659 - x1) + 3.6805644) / -1.097785)) + 1.9336153) * (43.038925 - (((x2 * (3.6805644 / x1)) / (x0 - 0.0903414)) + (log(-1.3364859 + (x2 / x0)) * 9.049866))))"
44,0.02423559,"((((x2 - (log(x0) * x2)) * x0) * (1.939652 / x1)) + 1.9868127) * ((((x2 + 4.0640845) * (0.027846454 / x0)) + 42.870613) - ((log((x2 / x0) + -0.869481) * 9.140502) + (((log(x2) * x2) / (x0 * 0.6963726)) / x1)))"
46,0.024178544,"(((((x2 + 3.9983673) / x0) * 0.027239189) + (43.03119 - ((((x2 / x1) * log(x2)) / (x0 * 0.7240444)) + (log((x2 / x0) + -1.0235239) * 9.244639)))) * (((((x2 - (x2 * log(x0))) * x0) * 1.8828963) / x1) + 1.9454262)) + 0.8621415"
48,0.024166068,"((((((x2 - -1.2054653) - (x2 * log(x0))) * (x0 * 1.8718001)) / x1) + 1.9442077) * (((x2 + 3.9952776) * (0.027482947 / x0)) + (43.030014 - ((log((x2 / x0) + -1.0210311) * 9.245982) + (((log(x2) / (x0 * 0.7008672)) * x2) / x1))))) + 0.86135906"
49,0.024119593,"(((((x2 + log(sqrt(x1))) * (0.027657252 / x0)) - (((x2 / (x0 * 0.7501298)) * (log(x2) / x1)) + (log((x2 / x0) + -1.168429) * 9.34626))) + 43.036026) * (((((((x0 * x0) * x0) * x0) - x2) / x1) * -1.9742707) + 1.9173517)) - -1.7425872"
