Complexity,Loss,Equation
1,74.22531,"17.599224"
3,47.169914,"x0 * 17.354546"
5,45.220383,"(x0 * 13.979887) - -3.8319314"
6,29.451027,"(x0 * 117.16376) / sqrt(x2)"
7,26.074497,"x0 * ((x2 * -0.26286057) - -30.584215)"
8,23.30819,"(x2 * -0.2786882) - (sqrt(x0) * -32.00426)"
9,23.079075,"abs((sqrt(x0) * -32.43736) - (x2 * -0.28848308))"
11,21.419027,"(x0 * (x1 * 0.0072399606)) + (19.899197 - (x2 / 3.6746936))"
12,19.910305,"(sqrt(x0 * x1) * 0.58214223) + (9.223079 - (x2 / 3.6409974))"
13,19.856672,"abs((x2 / 3.6081262) - ((sqrt(x1 * x0) * 0.58517957) + 9.212885))"
14,19.846128,"sqrt((x1 * (x0 + -0.11523731)) * 0.32163763) - ((x2 + -40.64692) / 3.619017)"
15,19.760977,"abs(((x2 + -42.178833) / 3.5720067) - sqrt((x1 * 0.32040277) * (x0 + -0.14601626)))"
17,19.700302,"abs(((x2 + -37.010334) / 3.2690482) - sqrt(x2 + (((x0 + -0.19088653) * 0.356104) * x1)))"
18,19.661098,"abs((sqrt(x1 * x0) * 0.45035332) + (10.579174 - abs((x2 + (x0 * -14.715684)) / 3.4983084)))"
19,19.541016,"((sqrt(x1 * x0) * 0.52650577) - abs((x2 + (x0 * -15.956318)) / (4.551344 - x0))) + 7.238996"
20,19.527224,"abs(((sqrt(x1 * x0) * 0.52812964) - abs(((x0 * -15.98505) + x2) / (x0 - 4.5375195))) + 7.196134)"
21,19.497492,"(10.130675 - abs(((x2 / (4.571524 - x0)) + (x0 * -7.756426)) - -3.8405578)) + (sqrt(x0 * x1) * 0.46984604)"
22,19.420721,"(sqrt(x0 * x1) * 0.5455538) + (10.663332 - ((x2 / (5.764619 - x0)) + abs((x0 * -3.8803854) + sqrt(x2))))"
23,19.276684,"abs((abs(-6.3275566 - (x0 * (sqrt(x2) + -10.17921))) + (sqrt(x1 * x0) * -0.49763334)) + ((x2 / 4.5177393) - 13.041592))"
25,19.246273,"abs((abs(((x0 * (sqrt(x2) + -9.428451)) - -5.488728) * 1.4091494) + ((sqrt(x0 * x1) * -0.48880032) + (x2 / 5.1777444))) - 13.158229)"
27,19.245867,"abs((abs(((x0 * (sqrt(x2) + -9.428451)) - -5.488728) * 1.4091494) + ((-0.48880032 * sqrt(x0 * (x1 - x0))) + (x2 / 5.1777444))) - 13.158229)"
28,19.202066,"(sqrt(x0 * x1) * 0.5101211) + (12.418439 - ((x2 / (6.357096 - x0)) + abs((x0 * -10.135373) + (sqrt(x2 * (x0 * 2.27503)) - -4.411018))))"
29,19.19494,"abs(((sqrt(x0 * x1) * 0.51169103) + 12.397787) - (abs((x0 * -10.115743) + (sqrt((x0 * 2.2429905) * x2) - -4.4406214)) + (x2 / (6.319497 - x0))))"
30,19.171041,"((sqrt(x0 * x1) * 0.51696604) + 11.924854) - ((x2 / ((4.5245314 - x0) / 0.56850946)) + abs(sqrt(x0 * (x2 * 3.4016678)) + ((x0 * -11.78691) - -4.7150626)))"
31,19.168495,"abs(abs(((x0 * -11.790032) - -4.718655) + sqrt((x0 * 3.3988688) * x2)) + ((x2 / ((4.5267324 - x0) / 0.5703551)) - ((sqrt(x0 * x1) * 0.5175257) + 11.918107)))"
33,19.166197,"abs(abs((sqrt((x0 * x2) * 2.8899584) + (x0 * -10.95549)) - -4.32392) + ((x2 / ((4.477236 - x0) / 0.60049313)) - ((sqrt(x0 * x1) * 0.5020881) + 11.519611))) + x0"
34,19.140873,"((sqrt(x1 * x0) * ((x0 / x2) + 0.47291794)) + 10.876434) - ((x2 / ((3.9486277 - x0) / 0.38428771)) + abs(sqrt((x2 * 4.2426467) * x0) + ((x0 * -12.534338) - -3.6557095)))"
35,19.140865,"abs(((sqrt(x1 * x0) * ((x0 / x2) + 0.47291794)) + 10.876434) - ((x2 / ((3.9486277 - x0) / 0.38428771)) + abs(sqrt((x2 * 4.2426467) * x0) + ((x0 * -12.534338) - -3.6557095))))"
36,19.13503,"(11.493006 - ((x2 / ((4.233003 - x0) / 0.46665415)) + abs((sqrt((x2 * 3.7508981) * x0) - -4.2270947) + (x0 * -12.208647)))) + ((0.48385027 - ((-0.6613971 / x2) * x0)) * sqrt(x1 * x0))"
37,19.13439,"abs((((0.48385027 - (-0.6613971 / (x2 / x0))) * sqrt(x1 * x0)) + 11.493006) - ((x2 / ((4.233003 - x0) / 0.46665415)) + abs((sqrt(x2 * (3.7508981 * x0)) - -4.2270947) + (x0 * -12.208647))))"
38,19.131672,"((0.4797322 - (x0 * (-0.7673304 / (x2 + 2.5063765)))) * sqrt(x1 * x0)) + (11.617652 - ((x2 / ((4.240358 - x0) / 0.47170424)) + abs(((x0 * -12.15957) + sqrt((x0 * x2) * 3.6526866)) - -4.3223457)))"
39,19.101068,"((sqrt(x1 * x0) * 0.24930643) + (8.1187315 - ((sqrt(x1) + (x0 * -11.1872425)) * ((x0 / -0.5719791) / sqrt(x2))))) - abs((x0 * -10.547258) + (sqrt((x2 * 3.255661) * x0) + abs(x2 / 10.521705)))"
40,19.100761,"(((sqrt(x0 * x1) * 0.24888998) + 8.0454855) - ((x0 / -0.5658579) * (((x0 * -11.244216) + sqrt(x1)) / sqrt(x2)))) - abs((x0 * -10.518515) + (sqrt(((x2 + 0.07182458) * x0) * 3.224911) + (x2 / 10.549136)))"
43,19.089977,"((((sqrt(x0 * x1) * 0.24291383) + 8.938756) - (((log(x0) + ((sqrt(x1) + (x0 * -11.458658)) * x0)) / sqrt(x2)) / -0.5657507)) - abs(((x0 * -10.756883) + (x2 / 10.97685)) + sqrt((x2 * 3.490743) * x0))) - 0.50952464"
45,19.084614,"((sqrt(x0 * x1) * 0.23460646) + (8.613764 - ((((x0 * -11.288061) + sqrt(x1)) / -0.56346667) * (((log(x0) * 12.04522) / x1) + (x0 / sqrt(x2)))))) - abs((x2 / 10.643294) + ((x0 * -10.416194) + sqrt(x0 * (x2 * 3.1904883))))"
47,19.082386,"(8.887704 - (((x0 / sqrt(x2)) + (log(x0) * (10.777135 / (x1 * 0.7044032)))) * ((sqrt(x1) + (-11.394285 * x0)) / -0.580739))) + ((0.23807491 * sqrt(x0 * x1)) - abs((x2 / 10.704551) + ((x0 * -10.636041) + sqrt(x2 * (x0 * 3.400498)))))"
49,19.077915,"(sqrt(x1 * x0) * 0.24060225) + ((9.001898 - ((((x0 / sqrt(x2)) + ((10.817295 / (x1 * 0.58818215)) * log(x0))) * ((x0 * -11.248405) + sqrt(x1 - x2))) / -0.59137326)) - abs(((x0 * -10.640438) + sqrt((x2 * 3.4188108) * x0)) + (x2 / 10.865309)))"
