Complexity,Loss,Equation
1,74.22531,"17.599415"
3,47.169914,"x0 * 17.354109"
5,45.220383,"(x0 * 13.979191) + 3.832682"
6,29.451027,"x0 * sqrt(13726.571 / x2)"
7,26.074497,"x0 * ((x2 * -0.26289257) + 30.585964)"
8,23.30819,"(x2 * -0.27868763) + (sqrt(x0) * 32.004246)"
9,23.079073,"abs((x2 * -0.28853527) + (sqrt(x0) * 32.43884))"
10,21.838976,"((x2 * -0.006750061) + 0.8111353) * sqrt(x0 * x1)"
11,21.215237,"(sqrt(x1 / 1.5728233) + (x2 * -0.25551835)) * sqrt(x0)"
12,19.910303,"(x2 * -0.27468872) + ((sqrt(x1 * x0) * 0.5821858) + 9.223177)"
13,19.856672,"abs(((x2 * -0.27717116) + (sqrt(x0 * x1) * 0.5850469)) + 9.21939)"
14,19.846123,"(x2 * -0.2764021) + (sqrt((x1 * 0.3212898) * (x0 - 0.11640674)) + 11.261824)"
15,19.760975,"abs((x2 * -0.27999985) + (sqrt((x1 * (x0 - 0.14565083)) * 0.32039273) + 11.80532))"
17,19.755833,"abs((x2 * -0.27980965) + (sqrt((x0 - 0.14428869) * (x1 * 0.32052478)) + 11.260083)) + 0.51549965"
18,19.652523,"(x0 * ((log(x1) * 9.434702) + ((x0 + 9.019415) * -5.0817795))) + ((x2 * -0.27743527) + 14.008658)"
19,19.56448,"abs((x2 * -0.2804352) + ((x0 * (((x0 + 8.560153) * -5.257249) + (log(x1) * 9.389175))) + 13.838218))"
21,19.561438,"abs((x2 * -0.28062627) + ((x0 * (((x0 + 8.558807) * -5.2640696) + (log(x1) * 9.397554))) + 13.298277)) + 0.5468086"
23,19.558912,"abs((x2 * -0.27412024) + ((x0 * ((log(x1 - x2) * 9.027243) + ((x0 + 8.13584) * -5.1861453))) + 13.096396)) + 0.5052064"
24,19.53038,"abs((x2 / log(x1)) + (((x0 * ((log(x1) * 10.250557) + ((x0 + 9.087879) * -5.56566))) + (x2 * -0.41842073)) + 13.472938))"
26,19.498167,"abs((x2 * -0.42076388) + (((x2 / log(x1 * x0)) + 11.740218) + ((((x0 + 7.651771) * -6.25685) + (log(x1) * 10.228617)) * x0)))"
28,19.487843,"0.9879059 + abs((((x0 * (((7.6917853 + x0) * -6.2167015) + (log(x1) * 10.208927))) + (x2 / log(x0 * x1))) + (x2 * -0.42062855)) + 10.788438)"
30,19.487196,"abs((((x2 * 1.1128042) / log(x0 * x1)) + ((x0 * (((x0 + 7.7507577) * -6.2543907) + (log(x1) * 10.325966))) + (x2 * -0.4362314))) + 10.668454) + 0.9432463"
32,19.485744,"abs((x0 * ((log(x1) * 10.30054) + ((x0 + 7.7358365) * -6.2416983))) + (((x2 * -0.45744616) + 10.661192) + ((x2 * 1.3797162) / log(x1 * (x0 + x0))))) + 0.98569214"
33,19.485243,"abs(abs(((x0 * ((log(x1) * 10.4127655) + ((x0 + 7.7329793) * -6.324412))) + ((x2 * -0.4606915) + 10.540553)) + (x2 * (1.4127798 / log((x0 + x0) * x1)))) + 0.94984984)"
34,19.478373,"((x0 * ((-5.4879875 * (x0 + 2.2900991)) + (3.6922345 * log(x1)))) + -1.699716) + abs(abs(10.128374 + (((x2 * -0.28924128) + log(x1)) + (sqrt(x1) * (x0 * 0.2531931)))) + -1.859584)"
