Complexity,Loss,Equation
1,74.22531,"17.599236"
3,47.169914,"x0 * 17.354546"
5,45.220383,"(x0 * 13.97974) + 3.832054"
6,29.451027,"x0 * (117.16 / sqrt(x2))"
7,26.074497,"x0 * ((x2 * -0.2628707) + 30.584738)"
8,23.30819,"(x2 * -0.27868813) + (sqrt(x0) * 32.004253)"
9,23.079075,"abs((sqrt(x0) * 32.44154) + (x2 * -0.28856233))"
11,21.419027,"(x2 * -0.27220845) + (((x1 * 0.0072398265) * x0) - -19.903254)"
12,19.910305,"sqrt((x0 * x1) * 0.33909705) + ((x2 * -0.27470574) - -9.219027)"
13,19.856672,"abs(((x2 * -0.2771968) + sqrt((x0 * x1) * 0.34230512)) + 9.219461)"
14,19.846123,"sqrt(x1 * ((0.11617895 - x0) * -0.32132283)) + ((x2 * -0.27640408) - -11.257567)"
15,19.760977,"abs(sqrt((0.1457135 - x0) * (-0.32050535 * x1)) + ((x2 * -0.28001148) - -11.803221))"
17,19.700304,"abs((x2 * -0.30572876) + (sqrt(x2 + (x1 * ((x0 - 0.18917726) * 0.35652488))) - -11.279874))"
18,19.689375,"abs((sqrt(x2 + abs(x1 * ((x0 - 0.22404715) * 0.351441))) + (x2 * -0.30726177)) - -11.931902)"
20,19.630054,"((x2 * -0.21162884) + (sqrt(x0 * x1) * 0.47047678)) - (abs(sqrt(x2) + (x0 * -3.7581394)) + -13.578037)"
21,19.559622,"abs((abs((x0 * -3.7848125) + sqrt(x2)) + -13.578388) - ((sqrt(x0 * x1) * 0.47357315) + (x2 * -0.214873)))"
23,19.27556,"((sqrt(x1 * x0) * 0.49640948) + abs(abs((x0 * -3.9380827) + sqrt(x2)) + -4.9669414)) + ((x2 * -0.23028074) + 8.198381)"
25,19.266216,"(((x2 * -0.22862162) + (abs(abs((x0 * -3.9262147) + sqrt(x2)) + -5.0056906) - x0)) + (sqrt(x0 * x1) * 0.5289077)) + 7.8666"
26,19.257385,"(((x2 * -0.2537791) + (abs(abs(sqrt(x2) + (x0 * -3.9251502)) + -4.948802) + log(x2))) + (sqrt(x0 * x1) * 0.49711242)) + 5.521305"
28,19.225124,"(log(x0) + (abs(abs((x0 * -3.925184) + sqrt(x2)) + -4.8937154) + 9.44786)) + ((-0.2318615 * x2) + (sqrt((x0 * x1) * 0.24572878) - x0))"
29,19.161858,"(abs(abs((x0 * -3.9352508) + sqrt(x2)) + -4.9616747) + 7.605795) + ((sqrt(((x0 * 0.27162594) * x1) + x2) - abs(log(x0))) + (x2 * -0.25655702))"
31,19.153034,"((7.634939 - abs(log(x0) * 1.3052748)) + abs(abs((x0 * -3.9017777) + sqrt(x2)) + -4.953647)) + (sqrt((x1 * (x0 * 0.2723726)) + x2) + (x2 * -0.25532812))"
32,19.148062,"(((x2 * -0.27997592) + abs(abs((x0 * -3.924486) + sqrt(x2)) + -4.9385543)) + (sqrt(x2 + ((x1 * x0) * 0.27251843)) + 4.922912)) + (log(x2) - abs(log(x0)))"
33,19.14598,"((7.302987 - abs((x0 + 0.7124131) * log(x0))) + (abs(abs((x0 * -3.9007504) + sqrt(x2)) + -4.9030433) + sqrt((x0 * (x1 * 0.28889528)) + x2))) + (x2 * -0.25663888)"
34,19.132887,"((((x2 * -0.2828567) + (5.3426847 - abs(log(x0) * 1.5345341))) + sqrt(x2 + (x0 * (x1 * 0.27274743)))) + abs(abs(sqrt(x2) + (x0 * -3.916183)) + -4.793598)) + log(x2)"
36,19.129772,"((x2 * -0.29176757) + 5.8757396) + ((log(x2 - 5.187487) + (abs(abs((x0 * -3.9245517) + sqrt(x2)) + -4.540723) + sqrt(x2 + (x1 * (x0 * 0.28036404))))) - abs(log(x0) * -1.7170818))"
37,19.096504,"(x2 * -0.26676968) + ((((log(abs((x2 * -1.5327965) - (x0 * -13.303507))) + 5.412013) - abs(log(x0))) + sqrt((x1 * 0.27814078) * x0)) + abs(abs((x0 * -3.8017044) + sqrt(x2)) + -4.528403))"
38,19.036316,"abs(((x2 * -0.2692391) + ((6.09845 - abs(log(x0))) + log(abs((x0 * -13.364324) - (x2 * -1.546925))))) + (sqrt((x1 * 0.26411194) * x0) + abs(abs((x0 * -3.7706506) + sqrt(x2)) + -4.62283)))"
39,19.012173,"(((log(abs((x2 * -1.5389829) - (x0 * -13.308907))) + ((x2 * -0.24440214) + (5.4099646 - abs(log(x0))))) + sqrt(x1 * (x0 * 0.20512414))) + abs(abs((x0 * -3.7758064) + sqrt(x2)) + -4.60041)) / 0.8995469"
40,19.009369,"((log(abs((x2 * -1.5407147) - (x0 * -13.309265))) + ((x2 * -0.24645537) + (5.429601 - abs(abs(log(x0)))))) + (sqrt(x1 * (x0 * 0.2155279)) + abs(abs((x0 * -3.7777905) + sqrt(x2)) + -4.6103415))) / 0.9177007"
45,19.00763,"abs(-4.5853944 + abs(sqrt(x2) + (x0 * -3.9230044))) + (((((x0 + x2) * -0.2955003) + sqrt(x2 + (0.29013202 * (x1 * x0)))) + log(abs((-13.302392 * x0) - (x0 - (x2 * 1.6575787))))) + (5.501896 - abs(log(x0 - 0.10409461))))"
47,19.001734,"((abs(-4.5853944 + abs(sqrt(x2) + (x0 * -3.9230044))) + ((x0 + x2) * -0.2955003)) + (sqrt((x2 + -1.7658943) + (x1 * (x0 * 0.29013202))) + log(abs((-13.302392 * x0) - (x0 - (x2 * 1.6575787)))))) + (5.501896 - abs(log(x0 - 0.10409461)))"
48,19.000643,"((((x0 + x2) * -0.2955003) + sqrt(((x1 * x0) * 0.29013202) + (x2 + -2.4088347))) + (log(abs((x0 - (x2 * 1.6575787)) - (x0 * -13.302392))) + (5.501896 - abs(log(abs(0.10409461 - x0)))))) + abs(abs(sqrt(x2) + (x0 * -3.9230044)) + -4.5853944)"
49,18.994482,"abs(-4.5853944 + abs(sqrt(x2) + (x0 * -3.9230044))) + (((((x0 + x2) * -0.2955003) + sqrt(x2 + ((-1.7658943 / x0) + (x1 * (x0 * 0.29013202))))) + log(abs((-13.302392 * x0) - (x0 - (x2 * 1.6575787))))) + (5.501896 - abs(log(x0 - 0.10409461))))"
