Complexity,Loss,Equation
1,74.22531,"17.599113"
3,47.169914,"x0 / 0.057624146"
5,45.220383,"(x0 * 13.979755) + 3.832052"
6,29.451027,"(x0 * 117.16376) / sqrt(x2)"
7,26.074497,"x0 * ((x2 * -0.26286787) - -30.584587)"
8,23.30819,"(x2 * -0.27868944) - (sqrt(x0) * -32.004353)"
9,23.079073,"abs((sqrt(x0) * 32.438595) - (x2 * 0.2885122))"
10,22.822195,"(log((x1 * x0) / x2) * 10.266278) - 16.636303"
11,21.928322,"((sqrt(x0) * 4.3275876) - (x2 * 0.03715847)) * log(x1)"
12,20.47771,"((log(x1) + ((x2 * -0.025039846) - 5.405166)) + x0) * 10.917865"
13,20.401598,"abs(((x2 * -0.02517047) + ((x0 + log(x1)) - 5.41754)) * 11.0282135)"
14,20.111372,"((((x2 * -0.03815502) + (x0 * 1.6607075)) + 9.252924) * log(x1)) + -47.976948"
15,19.75787,"((sqrt(x0) * 12.363227) + (3.8359303 - (0.14216009 * x2))) * (log(x1) + -5.3222756)"
16,19.681269,"(log(x1) + -5.296392) * abs((3.6967409 - (x2 * 0.14151026)) + (sqrt(x0) * 12.34438))"
17,19.651766,"abs((log(x1) + -3.989048) * ((log(x1) * (sqrt(x0) + 0.32665798)) - (x2 * 0.08530053)))"
18,19.626177,"abs((((sqrt(x0) * 14.685542) - (x2 * 0.10286377)) * (log(x1) + -4.552549)) - (x0 * 8.01883))"
20,19.593973,"abs((x0 * 6.631365) - (((sqrt(x0) * 15.381974) - (x2 * 0.11622796)) * (log(x1) + -4.860875))) + 1.4205035"
21,19.579422,"abs(log(x0) + ((x0 * 5.9107933) - (((sqrt(x0) * 15.109395) - (x2 * 0.11226138)) * (log(x1) + -4.7744403))))"
22,19.574697,"abs(log(x0)) + abs(((log(x1) + -4.637496) * ((sqrt(x0) * 14.8455925) - (x2 * 0.10639073))) - (x0 * 7.499486))"
23,19.26936,"log(x1) * (sqrt(x0) * (((((x0 - 0.46316293) * -25.194714) / x2) + log(x1 * x0)) + (sqrt(x2) * -0.64488846)))"
