Complexity,Loss,Equation
1,74.22531,"17.599224"
3,47.169914,"x0 * 17.35455"
5,35.237507,"x1 / (x2 + 36.74545)"
6,29.451027,"(x0 / sqrt(x2)) * 117.16358"
7,23.8602,"x1 / ((x2 / x0) + 37.190845)"
8,22.8918,"x1 / (sqrt(x1) + (x2 / x0))"
9,21.660952,"x1 / ((x1 * 0.021919321) + (x2 / x0))"
10,21.620266,"x1 / (sqrt(x1 + -328.91626) + (x2 / x0))"
11,21.361547,"(x1 / ((x2 / x0) + (0.020346222 * x1))) + -0.91612744"
12,19.910305,"(sqrt(x1 * x0) * 0.58220714) + ((x2 + -33.57319) * -0.274686)"
13,19.856674,"abs((sqrt(x0 * x1) * 0.58523476) + ((x2 + -33.236446) * -0.27727073))"
14,19.84612,"(x2 * -0.2762778) + (sqrt((x1 * (0.11601146 - x0)) * -0.3213498) + 11.248388)"
15,19.760977,"abs((x2 * -0.27997503) + (11.805958 + sqrt(x1 * (-0.32043943 * (0.14591582 - x0)))))"
17,19.700296,"abs(sqrt(((x1 * (0.1902687 - x0)) * -0.3562327) + x2) + ((x2 * -0.3058062) + 11.304966))"
18,19.689375,"abs((x2 * -0.30719772) + (sqrt(x2 + abs((x1 * -0.351373) * (0.22430274 - x0))) + 11.934075))"
20,19.670172,"abs((((x2 * -0.30582157) + 12.072229) - x0) + sqrt(abs((x1 * -0.3869548) * (x0 - 0.23277417)) + x2))"
22,19.661419,"abs((sqrt(abs(((x0 - 0.23299798) * 0.37390137) * x1) + (x2 + -12.801462)) + ((x2 * -0.30687356) + 12.794922)) - x0)"
23,19.609632,"abs((x2 * -0.34707904) + (sqrt(((x1 / (x2 / (x0 - 0.22244357))) - -5.024489) * ((x2 * 0.44250244) - x0)) + 10.967524))"
24,19.586182,"(sqrt(((x0 * x0) + (x2 * -0.5438746)) * (-8.633297 - (x1 / (x2 / (x0 - 0.21802965))))) + 8.269474) + (x2 * -0.3814081)"
25,19.510431,"abs(((x2 * -0.382323) + 9.007325) + sqrt(((x0 * x0) - (x2 * 0.5374632)) * (-8.095874 - (x1 / (x2 / (x0 - 0.23905694))))))"
26,19.500406,"abs(((x2 * -0.38067523) + 8.8725605) + sqrt((-7.969712 - abs(x1 / (x2 / (x0 - 0.23255068)))) * ((x0 * x0) - (x2 * 0.5381469))))"
27,19.41827,"(sqrt(x1 * (((x2 * 0.42541996) - x0) / (x2 / abs(0.23045813 - x0)))) + 13.108178) + (x2 * ((x2 / (x0 / 0.0006236058)) + -0.3665026))"
29,19.363373,"((((x2 / (x0 / 0.0007482647)) + -0.38356826) * x2) + sqrt(((x2 * 0.48043558) - (x0 * x0)) * (x1 / abs(x2 / (0.23134647 - x0))))) + 12.356851"
31,19.314095,"sqrt((x1 * ((x2 * 0.44638056) - (x0 * x0))) / (x2 / abs(0.22935554 - x0))) + (((((x2 / (x0 / 0.0007741342)) + -0.38810033) * x2) + x0) + 12.319921)"
33,19.312437,"((((x2 / (x0 / 0.00077009253)) + -0.3881059) * x2) + x0) + (sqrt((x1 * (((x2 * 0.44630313) - (x0 * x0)) / abs(x2 / (x0 - 0.22993408)))) + 0.86271536) + 12.319908)"
34,19.255138,"sqrt(((x0 - x2) * x1) / ((x2 / (0.06384742 - x0)) - (x0 + 5.71476))) + ((((x1 * -0.00011666468) + -0.28177747) * (x2 + ((x2 * x2) / (x0 / -0.0021270977)))) + 3.618274)"
36,19.220594,"(((x1 * -0.00011213671) + -0.29069018) * (x2 + (x2 * (x2 / (x0 / -0.0022389577))))) + (sqrt(((x0 - x2) * x1) / ((x2 / (0.09026011 - x0)) - ((x0 + 1.0587071) / 0.34875268))) + 3.8870013)"
37,19.217882,"log(x1) + (sqrt((x1 * (x0 - ((x2 * 0.6904193) - x0))) / ((x2 / (0.113167435 - x0)) - x0)) + (((x2 * (x2 / (x0 / -0.0019136077))) + x2) * ((x1 * -8.510411e-5) + -0.27857772)))"
39,19.19975,"(log(x1) + sqrt(((x0 - ((x2 * 0.75302356) - x0)) * x1) / ((x2 / (0.13291688 - x0)) - (x0 + x0)))) + ((x2 + (x2 * (x2 / (x0 / -0.0020788314)))) * ((x1 * -8.941254e-5) + -0.29128355))"
41,19.194403,"(log(x1) + ((((x2 / (x0 / -0.0022173522)) * (x2 + -5.9498706)) + x2) * ((x1 * -9.003637e-5) + -0.2909213))) + sqrt(((x0 - ((x2 * 0.7522988) - x0)) * x1) / ((x2 / (0.12283364 - x0)) - (x0 + x0)))"
43,19.188911,"(log(x1) + ((x2 + ((x2 / (x0 / -0.0022090382)) * (x2 + -6.1397614))) * ((x1 * -8.7588705e-5) + -0.3077394))) + sqrt(((x0 - ((x2 * 0.7501777) - x0)) * (x1 + x2)) / ((x2 / (0.11506306 - x0)) - (x0 + x0)))"
45,19.156574,"(sqrt(((x0 - ((0.82072365 * x2) - x0)) * x1) / (((-1.6493438 + x2) / (0.07546929 - x0)) - (x0 + x0))) + (log(x1) + ((x2 + ((x2 * x2) / (x0 / -0.0021008663))) * ((x1 * -6.218438e-5) + -0.31844553)))) - (0.0024110042 * x1)"
46,19.156506,"log(x1) + ((((x1 * -6.2255654e-5) + -0.31844527) * (x2 + ((x2 * x2) / (x0 / -0.002099528)))) + (sqrt(((x0 - ((x2 * 0.82072365) - x0)) * x1) / (((x2 + -1.6493438) / (0.0754692 - x0)) - (x0 + x0))) - (abs(x1) * 0.0024122111)))"
48,19.156406,"sqrt(((x0 - ((0.82072365 * x2) - x0)) * x1) / (((-1.6493438 + x2) / (0.07546929 - x0)) - (x0 + abs(x0)))) + ((((x1 * -6.218438e-5) + -0.31844553) * (x2 + (((x2 - 0.18772317) * x2) / (x0 / -0.0021008663)))) + (log(x1) - (x1 * 0.0024110042)))"
