Complexity,Loss,Equation
1,74.22531,"17.599964"
3,47.169914,"x0 * 17.354637"
5,35.237507,"x1 / (x2 + 36.743958)"
6,29.451027,"(x0 * 117.16372) / sqrt(x2)"
7,23.8602,"x1 / ((x2 / x0) + 37.190674)"
8,22.8918,"x1 / (sqrt(x1) + (x2 / x0))"
9,21.660973,"x1 / ((x1 * 0.021929013) + (x2 / x0))"
10,21.620266,"x1 / ((x2 / x0) + sqrt(x1 + -328.85593))"
11,21.419027,"(x2 * -0.27219146) + (((x0 * x1) * 0.007239711) + 19.902077)"
12,19.910303,"(x2 * -0.27470073) + ((sqrt(x1 * x0) * 0.5821862) + 9.223812)"
13,19.856672,"abs(((x2 * -0.2771662) + (sqrt(x0 * x1) * 0.58517176)) + 9.214622)"
15,19.757872,"(log(x1) + -5.322089) * (((sqrt(x0) * 12.361944) + (x2 * -0.14214122)) - -3.835499)"
16,19.681265,"abs(((x2 * -0.14166823) + ((sqrt(x0) * 12.359477) - -3.6989024)) * (log(x1) + -5.2984657))"
18,19.626253,"abs(((log(x1) + -4.565412) * ((sqrt(x0) * 14.731624) + (x2 * -0.103179626))) - (x0 * 7.9785))"
20,19.593687,"abs((((x2 * -0.11593134) + (sqrt(x0) * 15.299504)) * (log(x1) + -4.856505)) - (x0 * 6.5408087)) + 1.4456381"
21,19.57942,"abs(((x0 * 5.9266787) - ((log(x1) + -4.773051) * ((x2 * -0.11221331) + (sqrt(x0) * 15.1084175)))) + log(x0))"
22,19.56755,"(0.4329129 / x0) + abs((((x2 * -0.111527376) + (sqrt(x0) * 15.059696)) * (-4.761961 + log(x1))) - (6.429186 * x0))"
23,19.331505,"(3.5044706 - sqrt(abs(x2 - (23.885248 * x0)))) + (((-0.18879777 * x2) + ((-4.3737135 + log(x1)) * 9.884926)) * sqrt(x0))"
24,19.329342,"abs((3.5044706 - sqrt(abs(x2 - (x0 * 23.885248)))) + (sqrt(x0) * ((-0.18879777 * x2) + ((-4.3737135 + log(x1)) * 9.884926))))"
25,19.24971,"((sqrt(x0) * ((x2 * -0.1996318) + ((-4.2366376 + log(x1)) * 9.421187))) + 4.6344614) - sqrt(abs((x0 * (x0 * 16.332136)) - x2))"
26,19.249083,"abs((((((log(x1) + -4.236639) * 9.421186) + (x2 * -0.19964804)) * sqrt(x0)) + 4.6344614) - sqrt(abs(((x0 * x0) * 16.332136) - x2)))"
27,19.23988,"((((x2 * -0.19856739) + ((log(x1) + -4.233132) * 9.4359665)) * sqrt(x0)) + 4.412505) - sqrt(abs(x2 + (-1.7804354 - (x0 * (x0 * 15.684877)))))"
28,19.194544,"((sqrt(x0) * ((x2 * -0.20574906) + ((log(x1) + -4.2080245) * 9.491346))) + 2.430747) - abs(2.0103714 - sqrt(abs(x2 - ((x0 * x0) * 17.365866))))"
29,19.193378,"abs(((sqrt(x0) * ((x2 * -0.20574906) + ((log(x1) + -4.2080245) * 9.491346))) + 2.430747) - abs(2.0103714 - sqrt(abs(((x0 * 17.365866) * x0) - x2))))"
30,19.047415,"(((sqrt(x0) * ((x2 * -0.10461275) + 15.08389)) * (log(x1) + -5.3842015)) + 4.280439) - sqrt(abs(x2 - ((x0 * (x0 * 24.195618)) / (log(x1) + -6.135769))))"
32,19.029476,"(((((x2 * -0.10477988) + 15.167221) * (log(x1) + -5.3666854)) * sqrt(x0)) + 4.096335) - sqrt(x0 + abs(x2 - ((x0 * x0) * (24.210552 / (log(x1) + -6.134646)))))"
34,19.029446,"(((((x2 * -0.10477988) + 15.167221) * (log(x1 + 0.6926811) + -5.3666854)) * sqrt(x0)) + 4.096335) - sqrt(x0 + abs(x2 - ((x0 * x0) * (24.210552 / (-6.134646 + log(x1))))))"
35,18.98916,"(((((x2 * -0.07972167) + 14.10338) * (log(x1) + -4.7872987)) * sqrt(x0)) + (x0 * -3.5907612)) - abs(sqrt(abs(((x0 * (x0 * 24.171814)) / (log(x1) + -6.074159)) - x2)) + -1.5869796)"
36,18.975042,"abs(log(x0)) + (((x0 * -4.4004416) + ((log(x1) + -4.649609) * (sqrt(x0) * ((x2 * -0.075925216) + 14.134553)))) - sqrt(abs(x2 - ((x0 * (x0 * 23.7212)) / (log(x1) + -6.154791)))))"
37,18.97496,"(abs(log(x0)) + (-4.4004416 * x0)) + abs(((-4.649609 + log(x1)) * (sqrt(x0) * ((x2 * -0.075925216) + 14.134553))) - sqrt(abs(x2 - (((x0 * x0) * 23.7212) / (-6.154791 + log(x1))))))"
38,18.882086,"abs(((sqrt(x0) * ((x2 * -0.20465063) + (((log(x1) + -4.942566) * 14.646554) + ((log(x1) + -5.927379) * -4.291821)))) - sqrt(abs((((x0 * 23.404995) * x0) / (log(x1) + -6.1702423)) - x2))) - -4.758474)"
40,18.878246,"abs(((sqrt(x0) * ((x2 * -0.20465063) + (((log(x1) + -4.942566) * 14.646554) + ((log(x1) + -5.927379) * -4.291821)))) - sqrt(abs(((x0 * (x0 * 23.40496)) / (log(x1) + -6.170534)) - (x2 + 0.20464233)))) - -4.758474)"
41,18.877434,"abs(((sqrt(x0) * (((x2 * -0.20576729) + ((log(x1) + -5.0401154) * 14.927058)) + ((log(x1) + -5.9136596) * -3.9998577))) - sqrt(abs((((x0 * x0) * 23.977116) / (log(x1) + -6.220132)) - (log(x2) + x2)))) - -5.424013)"
43,18.86912,"abs(-5.423837 - ((sqrt(x0) * (((log(x1) + -5.0264335) * 14.8395815) + (((log(x1) + -5.9127164) * -4.077058) + (x2 * -0.2040619)))) - sqrt(abs(((x0 * (x0 * 24.003372)) / (log(x1) + -6.215468)) - (x2 + (log(x2) + -0.4606053))))))"
45,18.869106,"abs(-5.423837 - ((sqrt(x0) * (((log(x1 + 0.14235951) + -5.0264335) * 14.8395815) + (((log(x1) + -5.9127164) * -4.077058) + (x2 * -0.2040619)))) - sqrt(abs(((x0 * (x0 * 24.003372)) / (log(x1) + -6.215468)) - ((x2 + log(x2)) + -0.4606053)))))"
