Complexity,Loss,Equation
1,74.22531,"17.598679"
3,47.169914,"x0 * 17.354572"
5,35.237507,"x1 / (x2 - -36.744225)"
6,29.451027,"(x0 / sqrt(x2)) * 117.16311"
7,23.8602,"x1 / ((x2 / x0) - -37.19077)"
8,22.8918,"x1 / (sqrt(x1) + (x2 / x0))"
9,21.660952,"x1 / ((x2 / x0) + (x1 / 45.622833))"
10,21.620266,"x1 / ((x2 / x0) + sqrt(x1 - 328.9106))"
11,21.215237,"((sqrt(x1) * 0.79743934) - (x2 * 0.25556535)) * sqrt(x0)"
12,19.910305,"(sqrt((x0 * x1) * 0.33906332) - (x2 * 0.27476197)) + 9.2231"
13,19.856672,"abs((9.215282 - (x2 * 0.2772907)) + sqrt(x1 * (x0 * 0.34257084)))"
14,19.846132,"(sqrt(((x0 + -0.115234785) * x1) * 0.32172042) + 11.230414) - (x2 * 0.27635568)"
15,19.760977,"abs(sqrt((x0 + -0.1455091) * (x1 * 0.32033926)) + (11.804573 - (x2 * 0.27999237)))"
17,19.755846,"abs((sqrt(((x0 + -0.1426471) * x1) * 0.3208629) + 11.223011) - (x2 * 0.27973002)) - -0.517379"
18,19.749363,"sqrt((x1 / ((x2 + 135.67677) / (x0 - 0.11010521))) * 59.062843) - ((x2 * 0.22166151) + -8.516053)"
19,19.310953,"(sqrt((x1 / ((x2 + 25.046627) / x0)) + 5.1174364) - abs(x0 - (x2 * 0.040569596))) * 4.442878"
20,19.300028,"abs((sqrt(x1 / ((x2 + 25.5429) / x0)) + (1.1295253 - abs((x2 * 0.043136686) - x0))) * 4.019078)"
21,19.292051,"(sqrt((x1 / (x0 + ((x2 + 25.712408) / x0))) + 4.9780126) - abs((x2 * 0.04085075) - x0)) * 4.5394597"
22,19.276632,"abs((sqrt((x1 / ((x2 + 25.261911) / x0)) + 3.4283276) - abs(x0 - (x2 * 0.04138514))) * 4.3205285) + 1.4472147"
23,19.25701,"(sqrt((x1 / (x0 + ((x2 + 25.417303) / x0))) + 4.999864) - abs(((x2 - -2.8035085) * 0.03892575) - x0)) * 4.533314"
24,19.249273,"abs((sqrt((x1 / (x0 + ((x2 + 25.47717) / x0))) + 4.8092117) - abs(((x2 - -2.7744367) * 0.03880878) - x0)) * 4.548613)"
25,19.242617,"4.548613 * (sqrt(4.8092117 + (x1 / (((25.47717 + x2) / x0) + (x0 * x0)))) - abs((0.03880878 * (x2 - -2.7744367)) - x0))"
26,19.23357,"abs(4.548613 * (sqrt((x1 / (((x2 + 25.47717) / x0) + (x0 * x0))) + 4.8092117) - abs(((x2 - -2.7744367) * 0.03880878) - x0)))"
27,19.215328,"sqrt((29.222015 / ((x2 + 58.46883) / x0)) * x1) - (((x2 * 0.15447402) + -7.672106) + abs(4.3990993 - ((x0 / (x2 + 2.8392704)) * 114.97082)))"
28,19.17603,"abs((abs(-4.1129546 - ((x0 * -67.708786) / (x2 / x0))) + (-9.632718 + (x2 * 0.17761391))) - sqrt((x1 / ((x2 + 70.09272) / x0)) * 31.187626))"
29,19.175898,"abs(abs(-4.112637 - ((x0 * -67.70447) / (x2 / x0))) + (((x2 * 0.17779434) + -9.64943) - sqrt(abs((x1 / ((x2 + 70.09003) / x0)) * 31.192255))))"
30,19.163473,"(x2 * -0.17775723) + (sqrt(abs((x1 * -31.68418) / ((x2 + 70.130844) / x0))) - (abs((-68.41838 / ((x2 / (x0 * x0)) + 0.73987824)) - -3.8555942) + -9.276881))"
31,19.15509,"((x2 * -0.178083) + sqrt(abs((x1 / ((x2 + 70.17333) / x0)) * -31.399912))) - (abs((-68.43069 / ((x2 / (x0 * x0)) + log(x0))) - -3.9341185) + -9.440806)"
32,19.009483,"abs((abs((((x0 / (x2 / x0)) * -59.501965) - -5.321101) - (3655.7456 / x1)) + ((x2 * 0.16877855) + -5.6579213)) - sqrt((x1 / ((x2 + 58.377357) / x0)) * 35.3451))"
34,19.008251,"abs((abs((((x0 / (x2 / x0)) * -60.476463) - -5.321101) - (3655.7456 / x1)) + ((x2 * 0.16877855) + -5.6579213)) - sqrt(((x1 + -1.3800335) * 35.3451) / ((x2 + 58.377357) / x0)))"
36,19.00811,"abs(sqrt(((35.3451 * x1) - x2) / ((x2 + 58.377357) / x0)) - (abs((((x0 / (x2 / x0)) * (-59.501965 + -0.97450066)) - -5.321101) - (3655.7456 / x1)) + ((x2 * 0.16877855) + -5.6579213)))"
37,18.975615,"sqrt(((x1 + (x2 * -5.1910596)) * -37.08573) / ((6.063348 - (x2 + 68.66982)) / x0)) - (((x2 * 0.13152231) + -6.2384925) + abs((74.77109 / (x2 / (x0 * x0))) - (6.344233 - (3887.2993 / x1))))"
38,18.945723,"sqrt(abs(((x2 * -5.30205) + x1) * (-38.332615 / ((x2 + 68.47742) / x0)))) - ((abs((6.513381 - (3887.2961 / x1)) - ((x0 * 82.47624) / ((x2 / x0) + x0))) + (0.13472235 * x2)) + -6.6778708)"
39,18.945234,"abs(sqrt(abs(((x2 * -5.30205) + x1) * (-38.332615 / ((x2 + 68.47742) / x0)))) - (abs((6.513381 - (3887.2961 / x1)) - ((x0 * 82.47624) / (x0 + (x2 / x0)))) + ((x2 * 0.13472235) + -6.6778708)))"
40,18.944956,"abs(((abs((6.50548 - (3887.296 / x1)) - ((x0 * 82.48047) / (x0 + (x2 / x0)))) + (x2 * 0.1343074)) + -6.6426187) - sqrt((x1 + (x2 * -5.3022757)) * (-38.257866 / (0.31018206 - ((x2 + 68.513885) / x0)))))"
41,18.944778,"abs(sqrt(abs((x1 + (x2 * -5.30205)) * (-38.332615 / ((x2 + 68.47742) / x0)))) - (abs((6.513381 - (3887.2961 / (x1 - x0))) - (x0 * (82.47624 / (x0 + (x2 / x0))))) + ((x2 * 0.13472235) + -6.6778708)))"
42,18.943981,"abs(((x2 * 0.1347077) + (-6.587391 - sqrt((((x2 * -5.238674) + x1) * -38.366882) / ((0.17346367 - (x2 + 68.48119)) / x0)))) + abs((x0 * (82.54156 / (x0 + ((x2 / x0) + 0.29542142)))) - (6.4631925 - (3887.2966 / x1))))"
43,18.939095,"(sqrt((x1 + (x2 * -6.3891964)) * (-36.864437 / ((-0.022556793 - (x2 + 69.01917)) / x0))) - (abs((6.0831056 - (3887.3008 / x1)) - (((x0 * 76.492386) / (x0 + (x2 / x0))) + (-0.36804107 / x0))) + -7.3139176)) + (x2 * -0.12789458)"
44,18.93173,"sqrt(((x1 + (x2 * -6.215497)) / ((-0.009697302 - (x2 + 68.99086)) / x0)) * -36.905552) - ((abs((x0 / (((x2 / x0) + x0) / 76.295654)) + ((-0.39214274 / x0) - abs(6.0252924 - (3887.3 / x1)))) + -7.3807855) + (x2 * 0.13109973))"
45,18.930273,"abs(sqrt(((x1 + (x2 * -6.2081337)) / ((-0.058516156 - (x2 + 69.001274)) / x0)) * -36.885616) - (abs((((x0 * 76.30945) / ((x2 / x0) + x0)) + (-0.37864602 / x0)) - abs(6.032202 - (3887.3 / x1))) + ((x2 * 0.13067526) + -7.348297)))"
47,18.928856,"abs(abs((6.3510838 - (3887.3096 / x1)) - ((x0 / (((x2 + -0.6562474) / x0) + x0)) * 76.62448)) + ((((x2 * 0.13177794) + -8.862711) + (1.2137452 / sqrt(x0))) - sqrt(((x2 * -6.419044) + x1) * (-36.04022 / ((-0.23104501 - (x2 + 69.05246)) / x0)))))"
49,18.925934,"abs((((x2 * 0.1309778) + (sqrt(1.4789052 / x0) + -8.936479)) - sqrt((x1 + (x2 * -6.5596986)) * (-35.969227 / ((-0.4228958 - (x2 + 69.03576)) / x0)))) + abs((x0 * (76.818596 / ((x0 * (x0 + -0.94152963)) + (x2 / x0)))) - (6.385526 - (3887.3113 / x1))))"
50,18.924622,"abs(abs((6.399921 - (3887.3108 / x1)) - ((x0 * 76.81135) / ((x0 * abs(x0 + -1.0928016)) + (x2 / x0)))) + (((x2 * 0.13125134) + sqrt(1.4594533 / x0)) + (-8.943475 - sqrt(((x1 + (x2 * -6.543452)) * -35.998703) / ((-0.42176136 - (x2 + 69.034195)) / x0)))))"
