Complexity,Loss,Equation
1,74.16424,"17.598545"
3,47.12372,"x0 * 17.353052"
5,45.17233,"(x0 * 13.976061) - -3.8344991"
6,29.408644,"x0 * sqrt(13724.652 / x2)"
7,26.032196,"((x2 * -0.26284456) + 30.581888) * x0"
8,23.26558,"(x2 * -0.27864167) + (sqrt(x0) * 32.000534)"
9,23.036644,"abs((sqrt(x0) * 32.433117) + (x2 * -0.2884369))"
10,21.792728,"sqrt(x0 * x1) * ((x2 * -0.0067492556) + 0.8110674)"
11,21.169333,"((x2 * -0.2555474) + (sqrt(x1) * 0.7973779)) * sqrt(x0)"
12,19.8657,"(sqrt(x0 * x1) * 0.58209884) + ((x2 * -0.27466714) + 9.22411)"
13,19.812128,"abs((x2 * -0.2771945) + ((sqrt(x1 * x0) * 0.58498514) + 9.221912))"
14,19.80184,"((sqrt(x1 * (x0 + -0.11599837)) * 0.5667853) + (x2 * -0.27628815)) + 11.250528"
15,19.716871,"abs((sqrt(x1 * (x0 + -0.14530385)) * 0.5659844) + ((x2 * -0.27994022) + 11.7984085))"
17,19.680931,"abs(((x2 * -0.2889858) + (sqrt(x2 + ((x0 - 0.16409738) * x1)) * 0.57643753)) + 11.673059)"
19,19.612196,"abs((x2 * -0.28061935) + ((((sqrt(x1) * 0.48523122) + (5.4570007 - (x0 * 5.575162))) * x0) + 13.496283))"
20,19.599562,"abs(((((log(x1) + (sqrt(x1) * 0.43429047)) - (x0 * 5.520349)) * x0) + (x2 * -0.28059432)) + 13.562162)"
21,19.553495,"abs((x2 * -0.28109902) + ((x0 * (((sqrt(x1) * 0.79080117) + (x1 / -244.7806)) - (x0 * 5.5986943))) + 13.381149))"
22,19.449604,"(((14.465447 - (x2 * 0.21994439)) * x0) * (2.4044068 - x0)) + ((sqrt(x1) * ((x0 + 0.7339602) * 0.28146937)) - 5.6361213)"
24,19.393818,"((11.612466 - (x2 * 0.16013661)) * ((x0 * (2.391928 - x0)) + 0.4942269)) + ((((x0 + 0.7129859) * 0.2845231) * sqrt(x1)) - 7.5442114)"
25,19.39159,"abs((((11.601492 - (x2 * 0.1594678)) * ((x0 * (2.377643 - x0)) + 0.5188397)) + (((x0 + 0.7025948) * sqrt(x1)) * 0.28641784)) - 7.6442304)"
26,19.386269,"(((11.562957 - (x2 * 0.15570715)) * (2.6013188 - x0)) * (x0 + 0.20727105)) + ((((x0 + 0.6256141) * (sqrt(x1) * 0.3075705)) - 7.5347195) - x0)"
30,19.224867,"((((3.5697136 - x0) - (log(x0) / (x2 * 0.0389068))) * x0) * ((log(x1) - x0) + ((x2 * -0.11669261) + 1.4321083))) + (sqrt(x1) * (x0 * 0.33973444))"
31,19.224861,"(((3.569713 - x0) - (log(x0) / (x2 * 0.03890924))) * (x0 * ((((x2 * -0.116710715) + 1.4321079) + log(x1)) - x0))) + (sqrt(x1) * abs(x0 * 0.33972755))"
32,19.195559,"(((3.7045624 - x0) - (log(x0) / (x2 * 0.036412925))) * ((((x2 * -0.110793546) + (log(x1) - x0)) + 1.5493395) * x0)) + (((x0 * sqrt(x1)) * 0.3335457) - 1.0548668)"
