Complexity,Loss,Equation
1,74.16424,"17.598545"
3,47.12372,"x0 * 17.35295"
5,45.17233,"(x0 * 13.97602) - -3.8345566"
6,29.408644,"x0 * (117.1521 / sqrt(x2))"
7,26.032196,"x0 * ((x2 * -0.26285082) - -30.582273)"
8,23.26558,"(x2 * -0.27864125) - (sqrt(x0) * -32.000507)"
9,23.036648,"abs((-0.2884907 * x2) - (sqrt(x0) * -32.43723))"
10,21.792728,"sqrt(x1 * x0) * (0.8110672 - (x2 * 0.0067493194))"
11,21.16933,"sqrt(x0) * ((x2 * -0.25554132) - (sqrt(x1) * -0.7973681))"
12,19.8657,"(9.222234 - (x2 * 0.27465567)) - (-0.5821317 * sqrt(x0 * x1))"
13,19.812124,"abs((-0.58507127 * sqrt(x0 * x1)) + ((x2 * 0.27717605) - 9.217215))"
14,19.801844,"(11.248782 - (x2 * 0.27633047)) - (sqrt((x0 + -0.115491286) * x1) * -0.5667263)"
15,19.716873,"abs((sqrt(x1 * (x0 - 0.14584541)) * -0.5659741) + ((x2 * 0.28001016) - 11.809082))"
17,19.68093,"abs(((sqrt(((x0 - 0.16470256) * x1) + x2) * -0.57619953) - 11.691596) + (x2 * 0.2890434))"
18,19.608585,"(((x0 - -9.067475) - (log(x1) * 1.8640766)) * (x0 * -5.0650954)) + (14.027429 - (x2 * 0.2773872))"
19,19.520674,"abs((x2 * 0.2806089) - (((x0 * -5.2708254) * ((x0 - -8.527431) - (log(x1) * 1.7805693))) + 13.835104))"
21,19.51767,"abs((x0 * (((x0 - -8.6075325) - (log(x1) * 1.7935647)) * -5.2368073)) + (13.297869 - (x2 * 0.28067848))) + 0.57621235"
22,19.484032,"(((x0 - (-5.6147046 - (log(x1) * -1.3409035))) * (-6.9382315 * x0)) + 10.273647) - (x2 * ((-0.028694961 / x0) + 0.31217626))"
23,19.463718,"abs((x2 * ((-0.025884192 / x0) + 0.31068453)) - ((((x0 - (-5.5074677 - (log(x1) * -1.322375))) * -6.998934) * x0) + 10.358681))"
24,19.446104,"abs((((x0 * ((x0 - -6.158893) - (log(x1) * 1.4369379))) * -6.475685) + 10.7629795) - (x2 * ((-0.066461034 / sqrt(x0)) + 0.35113776)))"
26,19.239502,"((x0 * ((((x0 - 1.2220892) - (sqrt(x1) * 0.06611585)) * -7.267484) - abs(sqrt(x2) - (x0 / 0.26862198)))) + 11.926004) - (x2 * 0.2171412)"
27,19.209324,"abs(((((((x0 - 1.2602546) - (sqrt(x1) * 0.06482426)) * -7.372318) - abs(sqrt(x2) - (x0 / 0.2682966))) * x0) + 11.826452) - (x2 * 0.21928452))"
29,19.178406,"abs((11.486221 - (x2 * 0.21634342)) + (((((x0 - 1.2720393) - (sqrt(x1) * 0.06579053)) * -7.28083) - abs((x0 / 0.29185522) - sqrt(x2 - 5.6440363))) * x0))"
31,19.178268,"abs((11.517269 - (x0 + (x2 * 0.21642654))) + (((((x0 - 1.4097855) - (sqrt(x1) * 0.06598919)) * -7.2504134) - abs((x0 / 0.29188535) - sqrt(x2 - 5.6635127))) * x0))"
33,19.177904,"abs((11.486221 - (x2 * 0.21634342)) + ((0.69881797 / x2) + (((((x0 - 1.2720393) - (sqrt(x1) * 0.06579053)) * -7.28083) - abs((x0 / 0.29185522) - sqrt(x2 - 5.6440363))) * x0)))"
34,19.177624,"abs((11.486221 - (x2 * 0.21634342)) + ((x0 / x2) + (((((x0 - 1.2720393) - (sqrt(x1) * 0.06579053)) * -7.28083) - abs((x0 / 0.29185522) - sqrt(x2 - 5.6440363))) * abs(x0))))"
35,19.138634,"(11.781604 - (x2 * 0.21865457)) + (((x0 / ((0.21865457 * sqrt(x1)) - x2)) + ((((x0 - 1.266414) - (sqrt(x1) * 0.06484767)) * -7.344493) - abs((x0 / 0.26820433) - sqrt(x2)))) * x0)"
36,19.104515,"abs((11.781604 - (x2 * 0.21865457)) + (((1.1284921 / ((sqrt(x1) * 0.21865457) - x2)) + ((((x0 - 1.266414) - (sqrt(x1) * 0.06484767)) * -7.344493) - abs((x0 / 0.26820433) - sqrt(x2)))) * x0))"
