Complexity,Loss,Equation
1,74.16424,"17.598528"
3,47.12372,"x0 / 0.057628315"
5,45.17233,"3.8357477 - (x0 * -13.974814)"
6,29.408644,"x0 * (117.15256 / sqrt(x2))"
7,26.032196,"x0 * ((x2 * -0.26285544) + 30.582508)"
8,23.26558,"(sqrt(x0) * 32.00047) + (x2 * -0.27864072)"
9,23.036644,"abs((-0.28845593 * x2) + (sqrt(x0) * 32.433582))"
10,21.792728,"sqrt(x0 * x1) * ((x2 * -0.0067495694) + 0.8110705)"
11,21.373987,"19.90138 - (((x1 * x0) * -0.0072386926) - (x2 * -0.2721626))"
12,19.8657,"((x2 * -0.27464736) + (sqrt(x0 * x1) * 0.5821229)) - -9.222228"
13,19.782486,"sqrt(x1) * (0.19287813 - ((x2 * 0.0072592385) + (sqrt(x0) * -0.63436806)))"
14,19.70567,"sqrt(x1) * abs(((sqrt(x0) * -0.63622826) - 0.1948692) + (x2 * 0.0073438133))"
16,19.626215,"(((x2 * -0.55819947) + 24.680851) + sqrt(x1 * x0)) * ((-0.057090424 / x0) - -0.5665332)"
17,19.609535,"((-0.054786056 / x0) - -0.5701256) * abs(((x2 * -0.55424654) + 24.042892) + sqrt(x1 * x0))"
18,19.605017,"((sqrt(x0 * x1) + ((x2 * -0.5584567) + 18.018608)) * ((-0.07240044 / x0) - -0.58398616)) + 3.2817383"
19,19.593243,"(((-0.06123814 / x0) - -0.5727251) * abs((sqrt(x0 * x1) + (x2 * -0.5589352)) + 22.334162)) + 1.1225717"
20,19.562925,"abs((x0 + (abs((x2 * 0.28641742) + (x0 * -4.3138466)) + -10.339901)) + (sqrt(x1 * x0) * -0.48112097))"
22,19.481705,"abs(((abs((x2 * 0.28768024) + (x0 * -4.401772)) + -9.07435) + (x0 * x0)) + (sqrt(x0 * x1) * -0.5177195))"
23,19.284843,"(2.1614084 + ((x2 * -0.053130157) + (sqrt(x1 * x0) * 0.11425841))) / ((x0 / x2) - (log(x2 / x0) / -19.476711))"
24,19.282375,"abs(((sqrt(x0 * x1) * 0.11425841) + (2.1614084 + (x2 * -0.053130157))) / ((x0 / x2) - (log(x2 / x0) / -19.476711)))"
25,19.278555,"((sqrt(x1 * (x0 + -0.050439276)) * 0.112591915) + ((x2 * -0.053065505) + 2.3030856)) / ((x0 / x2) - (log(x2 / x0) / -19.663605))"
26,19.275396,"abs(((x2 * -0.053065505) + ((sqrt(x1 * (x0 + -0.050439276)) * 0.112591915) + 2.3030856)) / ((x0 / x2) - (log(x2 / x0) / -19.663605)))"
27,19.176277,"(((-10.400806 + (x2 * 0.34791)) + (sqrt(x0 * x1) * -0.7538387)) / ((sqrt(x2 / x0) / -5.0927424) - (9.611563 / (x2 / x0)))) + 3.5257423"
29,19.14686,"((((x2 * 0.4770416) + (sqrt(x0 * x1) * -1.0501254)) + -10.238199) / ((sqrt(x2 / x0) / -4.068974) - (17.244617 / ((x2 - -4.501402) / x0)))) + 4.462653"
31,19.108664,"(((sqrt(x1 * x0) * -0.8634252) + ((x2 * 0.46012658) + -12.307557)) / (((sqrt(x2) / x0) / -9.2935915) - (0.90363383 - (((x0 * -4.079306) / x2) * x0)))) + 4.8127465"
33,19.080477,"((((sqrt(x0 * x1) * -0.6189932) + (x2 * 0.28576738)) + -9.080206) / ((sqrt(x2 / x0) / -6.247304) - ((4.4056096 - ((x0 * -3.7070165) * x0)) / (x2 + x0)))) + 3.1667538"
35,19.078314,"(((x2 * 0.295593) + ((sqrt((x1 * x0) + -0.14161108) * -0.6361788) + -8.841022)) / ((sqrt(x2 / x0) / -6.1261296) - ((4.706713 - (x0 * (x0 * -3.6912436))) / (x0 + x2)))) + 3.506009"
38,19.070316,"abs((((((sqrt(x0 * x1) * -0.6576971) + -8.960079) + (x2 * 0.28080672)) / ((sqrt(x2 / x0) / -6.097067) - ((4.5619135 - (x0 * (x0 * -3.5340486))) / (x2 + x0)))) - (x0 - 0.62739927)) + 2.6008763)"
41,18.994781,"(((x2 * 0.23746423) + ((-11.355901 - ((x0 / 0.037767023) / ((-0.027608814 * x1) + 12.086659))) + (-0.35305107 * sqrt(x1 * x0)))) / (((log(x2) / x0) / -7.6492977) - (0.30828163 - ((x0 * (x0 * -2.056658)) / x2)))) + 3.7674704"
43,18.974434,"(((sqrt(x1 * x0) * -0.35305107) + ((x2 * 0.23746423) + (-11.355901 - ((x0 / 0.037767023) / ((x1 * -0.027608814) + (x0 - -11.355901)))))) / (((log(x2) / x0) / -7.6492977) - (0.30828163 - (x0 * ((x0 * -2.056658) / x2))))) + 3.7674704"
45,18.952267,"(((((x2 * 0.23359387) + -11.312723) - ((x0 / 0.04077984) / ((x1 * -0.028461235) + (x0 + (x0 - -11.312723))))) + (sqrt(x0 * x1) * -0.3462767)) / (((log(x2) / x0) / -7.6248326) - (0.2944234 - (((-2.0959682 / x2) * x0) * x0)))) + 3.658304"
46,18.945574,"abs((((sqrt(x0 * x1) * -0.37706426) + (((x2 * 0.2472745) + -11.388346) - ((x0 / 0.05043211) / ((x1 * -0.02285932) - ((x0 - -1.1621891) * -4.1148176))))) / (((log(x2) / x0) / -7.715591) - (0.33961755 - ((x0 / x2) * (x0 * -2.118978))))) + 3.6107326)"
48,18.94147,"abs(((((sqrt(x0 * x1) * -0.37862277) + ((x2 * 0.24886745) + -11.388361)) - ((x0 / 0.05095628) / ((x1 * -0.022874327) - ((x0 - -1.1600385) * -4.1148667)))) / (((log(x2 + x0) / x0) / -7.71563) - (0.33812106 - ((x0 * (x0 * -2.1188095)) / x2)))) + 3.6107152)"
50,18.94135,"abs((((((sqrt(x0 * x1) * -0.37862277) + (x2 * 0.24886745)) + -11.388361) - ((x0 / 0.05095628) / (((x1 - 0.75506145) * -0.022874327) - ((x0 - -1.1600385) * -4.1148667)))) / (((log(x0 + x2) / x0) / -7.71563) - (0.33812106 - ((x0 * (-2.1188095 / x2)) * x0)))) + 3.6107152)"
