Complexity,Loss,Equation
1,74.16424,"17.598528"
3,47.12372,"x0 * 17.353"
5,45.17233,"(x0 * 13.975471) - -3.8352466"
6,29.408644,"x0 * (117.15256 / sqrt(x2))"
7,26.032196,"x0 * ((x2 * -0.26284406) + 30.581861)"
8,23.26558,"(sqrt(x0) * 32.00039) + (x2 * -0.27863884)"
9,23.036644,"abs((x2 * -0.28852084) + (sqrt(x0) * 32.436817))"
11,21.373987,"(x2 * -0.27215812) + ((x1 * (x0 * 0.0072387327)) + 19.901077)"
12,19.8657,"(sqrt((x0 * x1) / 2.9518647) + (x2 * -0.27464986)) + 9.225464"
13,19.812124,"abs(sqrt(x0 * (x1 / 2.9222038)) + ((x2 * -0.2771369) + 9.218156))"
14,19.80184,"(sqrt(x1 * ((x0 + -0.11574923) / 3.1124718)) + 11.246249) + (x2 * -0.27629945)"
15,19.716871,"abs((11.79904 + sqrt((x0 + -0.1454725) * (x1 / 3.1216793))) + (x2 * -0.27991933))"
17,19.711718,"abs(sqrt(((x0 + -0.1436788) * x1) / 3.1204698) + ((x2 * -0.27975863) + 11.244687)) + 0.52189666"
18,19.709488,"abs(((sqrt(x1 * x0) * 4.9874415) / log(x1)) + ((x2 * -0.28030124) + (6.6944056 - x0)))"
19,19.66575,"(x2 * -0.27744043) + (((((x0 * -8.859053) + sqrt(x1)) * (4.4954486 / log(x1))) * x0) + 13.650781)"
20,19.578108,"abs((0.28026888 * x2) + (((sqrt(x1) + (-8.905213 * x0)) * ((x0 / log(x1)) * -4.5380306)) + -13.634303))"
22,19.569519,"x0 + abs(((x2 * 0.2806934) + -13.402793) + ((x0 * ((sqrt(x1) + (x0 * -9.378224)) * -4.430926)) / log(x1)))"
23,19.434933,"((x0 * ((x0 / (x2 / -8.5425005)) + 2.021666)) * ((sqrt(x1) / log(x2)) - x0)) + ((x2 * -0.22114044) + 12.352833)"
24,19.404476,"abs((12.379727 + (-0.22355896 * x2)) + ((x0 * ((x0 / (x2 / -8.702805)) + 2.0348382)) * ((sqrt(x1) / log(x2)) - x0)))"
25,19.368948,"(x0 * (((sqrt(x1) / log(x2)) - (x0 / 0.69485915)) * ((x0 / (x2 / -9.293485)) + 2.2181613))) + ((x2 * -0.21029708) + 11.203569)"
26,19.333958,"abs((((x2 * -0.096684866) + (((sqrt(x1) / log(x2)) - (x0 / 0.61941344)) * x0)) * ((x0 / (x2 / -9.450994)) + 2.2099683)) + 10.932144)"
28,19.327312,"x0 + abs((x2 * -0.21507506) + ((((x0 / (x2 / -9.415669)) + 2.182719) * (((sqrt(x1) / log(x2)) - (x0 / 0.6328599)) * x0)) + 11.0706835))"
30,19.323793,"abs(((x0 + (x0 / ((x2 / x0) * -0.24318266))) * (((sqrt(x1) * 2.0785854) / log(x2)) - (x0 * (x0 + 0.5916712)))) + ((x2 * -0.21967936) + 11.528048))"
32,19.204735,"(((((sqrt(x1) * (2.298149 / log(x2))) + 11.7459955) - sqrt(x2 * 4.8348107)) * ((x0 / ((x2 + 11.525682) * (-0.10699124 / x0))) + x0)) + 7.294056) + (x2 * -0.110736266)"
33,19.173214,"(-0.11206073 * x2) + ((((x0 / (((x2 + 13.232761) * -0.101535484) / x0)) + x0) * ((sqrt(x1) * (2.0143447 / log(x2))) + (16.524261 - sqrt(x2 * 5.9408913)))) + log(x1))"
35,19.170527,"(((x0 / (((x2 + 13.174946) * -0.10129015) / x0)) + x0) * (((2.0458257 / log(x2)) * sqrt(x1)) + (17.124361 - sqrt(x2 * 6.6162696)))) + (((x2 * -0.1024873) + log(x1)) - 0.43382865)"
37,19.170393,"((x2 * -0.10223411) + ((x0 + (x0 / ((x2 + 13.174948) * (-0.10142557 / x0)))) * ((((2.045961 / log(x2)) * sqrt(x1 - x0)) + 17.124376) - sqrt(x2 * 6.6162486)))) + (log(x1) + -0.45672596)"
38,19.152672,"(x2 * -0.12670588) + ((((x0 / (x2 * (-0.25985125 / x0))) + x0) * ((x0 / ((x2 * -0.021276053) / x0)) + ((((sqrt(x1) * 2.124087) / log(x2)) - sqrt(x2 * 3.1603897)) + 10.350924))) + 7.7379723)"
39,19.098566,"((x0 + (x0 / ((-0.2587712 * x2) / x0))) * (abs((x0 / ((x2 * -0.021191798) / x0)) + 10.351001) + (((2.1241896 * sqrt(x1)) / log(x2)) - sqrt(x2 * 3.160598)))) + ((x2 * -0.12627889) + 7.795538)"
41,19.055744,"((x2 * -0.12692186) + 7.837495) + (((((2.1242983 / log(x2)) * sqrt(x1)) - sqrt(x2 * 3.2289996)) + abs((x0 / (((x2 / x0) + -2.5408268) * -0.025722573)) + 10.348325)) * (x0 + (x0 / (x2 * (-0.2494686 / x0)))))"
43,19.047836,"((x2 * -0.12873419) + 7.8383064) + ((abs((x0 / (((x2 / x0) + -2.449405) * -0.025561739)) + 10.350817) + (((2.1600122 / log(x2)) * sqrt(x1)) - sqrt(x2 * 3.2229707))) * ((x0 / (((x2 + 2.1261566) * -0.21415743) / x0)) + x0))"
45,19.043047,"((x2 * -0.12949672) + 7.8373146) + ((x0 + (x0 / (((x2 + 2.0588963) * -0.2160535) / x0))) * ((((2.1398916 / log(x2)) * sqrt(x1)) - sqrt((x2 + -1.6378491) * 3.2260919)) + abs((x0 / (((x2 / x0) + -2.539795) * -0.025464678)) + 10.349456)))"
46,19.042992,"((x2 * -0.12949672) + 7.8373146) + ((x0 + (x0 / ((x2 + 2.0588963) * (-0.2160535 / x0)))) * (abs(10.349456 + (x0 / (-0.025464678 * ((x2 / x0) + -2.539795)))) + (((2.1398916 / log(x2)) * sqrt(x1)) - sqrt((log(0.20856003) + x2) * 3.2260919))))"
47,19.040804,"((x2 * -0.12949672) + 7.8373146) + (((((2.1398916 / log(x2)) * sqrt(x1)) - sqrt((x2 + -1.6378491) * 3.2260919)) + abs((x0 / (((x2 / x0) + -2.539795) * -0.025464682)) + 10.349456)) * (x0 + (x0 / ((log(log(x1)) + x2) * (-0.2160535 / x0)))))"
