Complexity,Loss,Equation
1,74.16424,"17.598545"
3,47.12372,"x0 * 17.352995"
5,45.17233,"3.8344922 - (x0 * -13.976059)"
6,29.408644,"(x0 * 117.152725) / sqrt(x2)"
7,26.032196,"x0 * ((x2 * -0.2628445) + 30.581886)"
8,23.26558,"(32.00051 * sqrt(x0)) + (-0.27864122 * x2)"
9,23.036644,"abs((x2 * -0.28850195) + (32.436897 * sqrt(x0)))"
10,22.998442,"(sqrt(x1 * x0) * -39.61082) / (-36.676052 - x2)"
11,21.373987,"((x1 * (x0 * 0.0072386395)) + 19.901756) + (x2 * -0.27216795)"
12,19.8657,"(sqrt(x1 * (x0 * 0.33885297)) + 9.2214155) + (x2 * -0.27462265)"
13,19.812128,"abs(sqrt((x0 * x1) * 0.34242916) + ((x2 * -0.2772776) + 9.217753))"
14,19.801842,"((x2 * -0.27628317) + 11.246991) + sqrt((x0 + -0.11593471) * (x1 * 0.3213329))"
15,19.716871,"abs(((x2 * -0.27999976) + sqrt(x1 * ((x0 + -0.14565118) * 0.3203943))) + 11.804)"
17,19.656342,"abs((x2 * -0.30583137) + (sqrt((((x0 + -0.19058214) * x1) * 0.35605252) + x2) + 11.314492))"
18,19.617338,"abs(((sqrt(x1 * x0) * 0.45078942) - abs((x2 * 0.28592604) + (x0 * -4.20562))) + 10.564594)"
19,19.524252,"((-61.019115 * sqrt(x1 * x0)) / (-66.394844 - x2)) - abs((x2 * 0.108618885) + (-2.9289849 * x0))"
20,19.52118,"abs(((sqrt(x0 * x1) * -61.019115) / (-66.394844 - x2)) - abs((x0 * -2.9289849) + (x2 * 0.108618885)))"
21,19.251137,"(((sqrt(x0 * x1) / (-74.38929 - x2)) * -58.41918) + 3.5553243) - abs((x0 * -3.6849916) + (x2 * 0.15139763))"
22,19.244184,"abs((((sqrt(x0 * x1) / (-74.52807 - x2)) * -57.91759) + 3.8303175) - abs((x0 * -3.8023837) + (x2 * 0.15587065)))"
23,19.223314,"(((sqrt(x1 * x0) / (-74.35609 - x2)) * -56.097202) + 4.656128) - abs(((x2 * 0.15443364) - -0.89928526) + (x0 * -4.337672))"
24,19.211859,"abs((4.757842 - abs((x2 * 0.15685576) + ((x0 * -4.4426475) - -0.957686))) + (sqrt(x1 * x0) * (-55.993195 / (-74.41954 - x2))))"
25,19.1894,"(((sqrt(x0 * x1) * (-65.67447 / (-87.54299 - x2))) + 5.019411) - abs(((x0 * -4.6050916) + (x2 * 0.16025099)) - -1.2017944)) - x0"
26,19.176308,"abs(((((sqrt(x0 * x1) * -65.78126) / (-87.469086 - x2)) - abs((x2 * 0.16192055) + ((x0 * -4.6764617) - -1.2327144))) + 5.0083337) - x0)"
27,19.165915,"((6.125537 - abs(((x0 * -5.3615594) + (x2 * 0.15619624)) - -2.5275564)) + (sqrt(x0 * x1) * (-66.68613 / (-87.05736 - x2)))) - (x0 / 0.47496453)"
28,19.1548,"abs(((((sqrt(x1 * x0) / (-87.835266 - x2)) * -66.31917) - abs((x2 * 0.16056746) + ((x0 * -5.50302) - -2.5838563))) - x0) + (6.354797 - x0))"
30,19.145262,"abs((5.4572244 - x0) + ((((sqrt(x0 * x1) * -66.309746) / (-87.83289 - x2)) - abs((x2 * 0.16087607) + ((x0 * -5.4746614) - -2.544388))) - x0)) - -0.91295993"
32,19.091671,"(((x0 * sqrt(x1)) * -61.033703) / ((((x0 * sqrt(x1)) * (x0 / (x2 / -9.351732))) - x2) + -53.35344)) - (sqrt(x2 * ((x0 * 2.8175077) + 1.5250261)) + -11.206744)"
34,19.085554,"(((x0 * sqrt(x1)) / (((((sqrt(x1) + 2.871364) / (x2 / -8.822588)) * (x0 * x0)) + -53.416424) - x2)) * -61.076454) - (sqrt(x2 * ((x0 * 2.8176067) + 1.5815709)) + -11.322861)"
36,19.045671,"((-59.86579 / ((-54.19938 - x2) + (((x0 / (x2 / -8.489996)) * sqrt(x1)) * x0))) * (x0 * sqrt(x1 + (x0 * -144.6741)))) - (-12.840873 + sqrt((2.593533 + (1.8207339 * x0)) * x2))"
38,19.045633,"((-59.86579 / ((-54.19938 - x2) + ((x0 * sqrt(1.8207339 + x1)) * (x0 / (x2 / -8.489996))))) * (x0 * sqrt(x1 + (x0 * -144.6741)))) - (-12.840873 + sqrt((2.593533 + (1.8207339 * x0)) * x2))"
39,19.035696,"((sqrt((x1 + ((x0 * x0) * -64.65747)) * (x0 * x0)) * -58.785976) / (((((x0 * x0) / (x2 / -8.489776)) * sqrt(x1)) + -49.97422) - x2)) - (sqrt((sqrt(x0) * 3.9011817) * x2) + -10.894084)"
41,19.035242,"((sqrt(x0 * ((((x0 * -56.27573) * (x0 - -0.7859542)) + x1) * x0)) * -60.911762) / (((x0 * ((x0 * sqrt(x1)) / (x2 / -8.546719))) + -51.96725) - x2)) - (sqrt((sqrt(x0) * 4.0084987) * x2) + -11.018206)"
43,19.019836,"((sqrt((x1 + (((x0 - -1.4415227) * x0) * -56.13413)) * (x0 * x0)) * -60.44461) / ((sqrt(x1) * ((x0 * x0) / (x2 / -8.745121))) + (-52.80195 - x2))) + (x0 - (sqrt(x2 * (sqrt(x0) * 4.351688)) + -11.241843))"
45,19.002083,"(x0 + x0) + (((sqrt((x0 * x0) * (x1 + ((x0 - -2.1099014) * (x0 * -56.644127)))) * -58.48623) / ((((x0 * x0) * sqrt(x1)) / (x2 / -8.756992)) + (-51.46923 - x2))) - (sqrt((x2 * sqrt(x0)) * 4.525113) + -11.24884))"
47,18.980503,"((sqrt(((((x0 * -60.18992) * (x0 - -2.5981507)) + x1) * x0) * x0) * (-57.465233 / ((-51.57869 - x2) + (((sqrt(x1) / (x2 / -9.60618)) + 2.6475484) * (x0 * x0))))) + (x0 + x0)) - (sqrt((x2 * 4.746676) * sqrt(x0)) + -11.86289)"
