Complexity,Loss,Equation
1,50.54323,"x4"
3,38.91,"x3 + x2"
5,37.321854,"x3 + (x2 - -1.2587844)"
6,36.421024,"(sqrt(x5) * 0.24405147) + x2"
7,35.651245,"(x3 + (x5 * 0.0009843335)) + x2"
8,34.533386,"x2 + ((sqrt(x5) + x3) * 0.2050863)"
9,33.96873,"((x5 * 0.0021452012) + x2) - (x3 * -0.69829285)"
10,33.021862,"sqrt((x4 + x3) * (x2 + (x5 * 0.0028812904)))"
12,32.757908,"sqrt(abs(x1 + (x5 * 0.03624533))) + sqrt(x2 * x3)"
13,32.46976,"sqrt((x3 * x4) + ((sqrt(x2) * x1) + (x5 * 0.046837896)))"
14,32.13719,"sqrt((x4 * x3) + ((x5 * 0.040401623) - ((x2 * -0.47635716) * x1)))"
15,32.110577,"sqrt(((x5 * 0.049074423) + (x2 * x4)) - (abs(x1 * x3) * -0.41449803))"
16,31.612999,"sqrt((x3 * x2) + x4) + sqrt(abs((x5 * 0.03643746) - (x0 - x1)))"
17,31.609127,"sqrt((x3 * x2) + x4) + sqrt(abs((x5 * 0.03643746) - (x0 - abs(x1))))"
18,31.221813,"sqrt(abs((x0 - x1) - (x5 * 0.024891557))) + (sqrt(x4 + (x3 * x2)) / 0.83834755)"
19,31.204195,"sqrt(abs((x0 - x1) - (x5 * 0.024891557))) + abs(sqrt((x3 * x2) + x4) / -0.8518433)"
20,31.079863,"(sqrt((x3 * x2) + (x4 / 0.6024535)) * 1.0984987) + sqrt(abs((x0 - x1) - (x5 * 0.024582947)))"
22,30.948757,"(sqrt(((-3.418799 - x4) - abs(x0 - sqrt(x5))) * -3.5108802) + -4.3932605) + sqrt(abs(x1) + (x3 * x2))"
23,30.91569,"(sqrt((x2 * x3) + 9.965246) + -6.0337024) + sqrt(-4.050443 * (((x1 * -0.56100094) - x4) - abs(sqrt(x5) - x0)))"
24,30.761503,"sqrt(x2 * abs(x3 - 3.4290934)) + (sqrt((((x1 * -0.57043934) - x4) - abs(x0 - sqrt(x5))) * -3.424499) + -2.514888)"
25,30.75239,"sqrt(x2 * abs(x3 - 3.4290934)) + (sqrt((((abs(x1) * -0.57043934) - x4) - abs(sqrt(x5) - x0)) * -3.424499) + -2.514888)"
26,30.718395,"sqrt((x2 * x3) + 9.965246) + abs(sqrt((((x1 * -0.56100094) - x4) - abs(sqrt(x5) - (x0 + -1.7640823))) * -4.050443) + -6.0337024)"
27,30.713102,"sqrt((x3 * x2) + 9.965246) + abs(-6.0337024 + sqrt((((abs(x1) * -0.56100094) - x4) - abs(sqrt(x5) - (x0 + -1.7640823))) * -4.050443))"
28,30.571321,"sqrt(x2 * abs(3.4227533 - x3)) + (sqrt((x5 * 0.01769847) - ((((x1 * -0.6779308) - x4) - abs(x0 - sqrt(x5))) * 2.7100651)) + -2.468256)"
29,30.566471,"sqrt((x5 * 0.017460005) - ((((abs(x1) * -0.6814986) - x4) - abs(sqrt(x5) - x0)) * 2.7260373)) + (sqrt(abs(x2 * (x3 - 3.4233832))) + -2.4984887)"
30,30.53739,"(sqrt(abs((x2 * (x3 - 2.292746)) - 1.2208898)) + -2.6248972) + sqrt((x5 * 0.017640047) - ((((x1 * -0.6918315) - x4) - abs(sqrt(x5) - x0)) * 2.5690296))"
31,30.531677,"sqrt(abs((x2 * (x3 - 2.292746)) - 1.2208898)) + (-2.6248972 + sqrt((0.017640047 * x5) - ((((abs(x1) * -0.6918315) - x4) - abs(sqrt(x5) - x0)) * 2.5690296)))"
33,30.500683,"sqrt(x2 * abs(x3 - abs(sqrt(x2) - sqrt(x0)))) + (-1.654836 + sqrt((x5 * 0.016323796) - ((((x1 * -0.7435348) - x4) - abs(sqrt(x5) - x0)) * 1.9491073)))"
34,30.496683,"(sqrt(abs((x3 - abs(sqrt(x0) - sqrt(x2))) * x2)) + -1.6633922) + sqrt((x5 * 0.016101403) - ((((abs(x1) * -0.7585975) - x4) - abs(x0 - sqrt(x5))) * 1.9484174))"
35,30.372562,"(sqrt((x5 * 0.020988092) - ((((x1 * -0.7001967) - x4) - abs(sqrt(x5) - x0)) * 2.2726343)) + -2.4943805) + sqrt(abs(x2 * (abs(sqrt(x4) - sqrt(x0 * 1.4578613)) - x3)))"
37,30.285889,"(sqrt((x5 * 0.017944207) - ((((x1 * -0.77809197) - x4) - abs(x0 - sqrt(x5))) * 1.9435194)) + -1.8514938) + sqrt((x2 + 0.112547584) * abs(abs(sqrt(x0 * 1.6135298) - sqrt(x4)) - x3))"
40,30.171862,"sqrt(abs((x3 / 0.23233454) - x0) - (((x4 * x1) * -0.09650898) - abs(x0 - (x5 * 0.041418426)))) + sqrt(x2 * abs((sqrt(x3) / 0.47706196) + (abs(sqrt(x4) - sqrt(x0)) - (x3 + 4.207189))))"
41,30.170437,"sqrt(x2 * abs(((sqrt(x3) / 0.47706196) + abs(sqrt(x4) - sqrt(x0))) - (x3 + 4.207189))) + sqrt(abs((x3 / 0.23233454) - x0) - ((x4 * (abs(x1) * -0.09650898)) - abs(x0 - (0.041418426 * x5))))"
42,30.144545,"sqrt(abs(x2 * (sqrt(x3 / 0.19441417) + (abs(sqrt(x4) - sqrt(x0)) - (x3 + 4.2530537))))) + sqrt((x3 + abs(x0 - (x3 / 0.2458124))) - ((x4 * (x1 * -0.09358213)) - abs(x0 - (x5 * 0.0408995))))"
44,30.025215,"sqrt(x2 * abs(abs(sqrt(x0) - sqrt(x4)) + ((x3 / 1.4935846) - (sqrt(x2) + x3)))) + sqrt((abs(x0 - (x3 / 0.19301464)) - ((x1 * (x4 * -0.10006175)) - abs(x0 - (x5 * 0.028138982)))) + (x5 * 0.020645551))"
46,29.95687,"(sqrt(abs((((x3 / 1.4935846) - (sqrt(x2) + x3)) + abs(sqrt(x4) - sqrt(x0))) * x2)) + sqrt((abs(x0 - (x3 / 0.19301464)) - (((x1 * -0.10006175) * x4) - abs(x0 - (0.028138982 * x5)))) + (0.020645551 * x5))) + -0.26872408"
47,29.917503,"sqrt(x2 * abs(abs(sqrt(x4) - sqrt(x0)) + ((x3 / 1.4935846) - (sqrt(x2) + x3)))) + sqrt((abs(x0 - (x3 / 0.19301464)) - (((x1 * (x4 * -0.10006175)) + sqrt(x0)) - abs(x0 - (x5 * 0.028138982)))) + (x5 * 0.020645551))"
48,29.915377,"sqrt(x2 * abs(((x3 / 1.4935846) + abs(sqrt(x4) - sqrt(x0))) - (x3 + sqrt(x2)))) + sqrt(abs(abs((x3 / 0.19301464) - x0) - ((sqrt(x0) + (x1 * (x4 * -0.10006176))) - abs(x0 - (x5 * 0.02813904)))) + (x5 * 0.020645546))"
49,29.90128,"sqrt((x5 * 0.02042111) + (abs((x3 / 0.18896168) - x0) - ((sqrt(x0) + ((x1 * -0.096053086) * x4)) - abs(x0 - (x5 * 0.027921475))))) + sqrt(x2 * abs((x3 / 1.4243549) + (abs(sqrt(x4) - sqrt(x0)) - (x3 + sqrt(x2 * 1.2883549)))))"
50,29.899847,"sqrt(abs(x2 * ((x3 / 1.4926075) + (abs(sqrt(x4) - sqrt(x0)) - (x3 + sqrt(x2 + 1.0913603)))))) + sqrt(abs(((((x4 * x1) * -0.09596006) + sqrt(x0)) - abs((x5 * 0.028188908) - x0)) - abs((x3 / 0.19468996) - x0)) + (x5 * 0.020023283))"
