Complexity,Loss,Equation
1,50.54323,"x4"
3,38.91,"x3 + x2"
5,37.321854,"(x2 + x3) + 1.2588092"
6,36.42103,"x2 - (sqrt(x5) * -0.24404188)"
7,35.651245,"(x5 * 0.000984215) + (x2 + x3)"
8,34.533386,"x2 + ((x3 + sqrt(x5)) * 0.20510186)"
9,33.96873,"(x3 * 0.69829607) + (x2 + (x5 * 0.0021458757))"
10,33.45875,"(x2 + (x3 * 0.5135789)) + (sqrt(x5) * 0.14142087)"
11,33.2452,"(x3 * 0.52080053) + (x2 + ((x5 * 0.002053657) - -1.8226848))"
12,32.282295,"(x5 * 0.0020531525) + (((x3 + x2) * 0.58777386) + sqrt(x4))"
13,32.045013,"sqrt(abs(x1)) + ((0.55486417 * (x3 + x2)) + (0.0017766409 * x5))"
14,31.642656,"(((sqrt(x5) + x4) + x1) * 0.11210713) + ((x3 + x2) / 2.0427177)"
15,31.64121,"(((x4 + sqrt(x5)) + abs(x1)) * 0.11217184) + ((x2 + x3) / 2.0448205)"
16,31.545748,"(((sqrt(x5) + (x4 * 1.6771404)) + x1) * 0.10295239) + ((x2 + x3) / 2.1337214)"
17,31.329212,"((x2 + (((sqrt(x5) - (x0 - x1)) * 0.17228721) + x3)) * 0.536944) + sqrt(x4)"
18,31.090212,"(((x2 + x3) + (0.19770777 * (x1 + abs(sqrt(x5) - x0)))) * 0.5078749) + sqrt(x4)"
20,30.94942,"(sqrt(x4) - -0.96125257) + ((x2 + (x3 + abs((sqrt(x5) - (x0 - x1)) * 0.24166958))) * 0.43190938)"
21,30.906094,"(0.39628273 * ((x4 * 0.37263972) + (x3 + x2))) + ((abs(sqrt(x5) - x0) * 0.13333227) + sqrt(abs(x1)))"
22,30.716433,"sqrt(abs(x1)) + (abs((sqrt(x5) - abs(x0 - x3)) * 0.15085785) + ((x3 + (x4 + x2)) * 0.22992773))"
24,30.51503,"(abs((abs(x0 - x3) - sqrt(x5)) * 0.13973531) + ((x2 + ((x4 * 0.46221295) + x3)) * 0.33259368)) + sqrt(abs(x1))"
26,30.384771,"(abs(sqrt(x5) - abs(x0 - x3)) * 0.14730991) + (sqrt(abs(x1) + x2) + ((x2 + (x3 + (x4 * 0.4962368))) * 0.28658304))"
28,30.289095,"((sqrt(abs(x1 + x4)) + abs((sqrt(x5) - abs(x0 - x3)) * -0.15657462)) + abs(((x2 + x3) * 0.28658304) + -1.4015193)) + sqrt(x2)"
30,30.219233,"((sqrt(1.4413866 + (x4 + abs(x1))) + abs((sqrt(x5) - abs(x0 - x3)) * -0.14760914)) + abs(((x2 + x3) * 0.34167248) + -2.0611007)) + sqrt(x2)"
34,30.165287,"(abs(abs(abs(sqrt(x0) - (x3 * 1.3764383)) - x0) - sqrt(x5)) * 0.15090144) + (sqrt((x2 + abs(x1)) * 0.6945103) + (((x3 + x2) + (x4 * 0.5063511)) * 0.3252899))"
35,30.08907,"abs((abs(abs((x3 * -1.5421968) - (x0 * -0.33072674)) - x0) - sqrt(x5)) * 0.15585762) + (((x2 + (x3 + (x4 * 0.49242944))) * 0.31982538) + sqrt(x2 + abs(x1 * 0.661456)))"
37,30.064993,"abs((abs((x0 + 1.636015) - abs((x0 * -0.38390672) - (x3 * -1.7448729))) - sqrt(x5)) * 0.15710595) + (sqrt(abs(x1 * 0.69851124) + x2) + ((x2 + (x3 + (x4 * 0.4945203))) * 0.3175863))"
39,30.055508,"(sqrt(abs((x1 * 0.6609235) + 0.65118766) + x2) + ((x2 + (x3 + (x4 * 0.4945203))) * 0.3175863)) + abs((abs(abs((x0 * -0.38390672) - (x3 * -1.7448729)) - (x0 + 1.636015)) - sqrt(x5)) * 0.15710595)"
49,30.009504,"(((x1 - x0) * 0.07959099) + ((((x2 + (x3 + (x4 * 0.32504544))) - (sqrt(x5) * -0.33523363)) * 0.48213366) - (((4.1903286 / (x3 + 2.6176975)) / -0.07901972) * sqrt(x0 / (x5 + x0))))) - abs(2.068414 - ((sqrt(x2 + x4) * x3) / (x0 + 9.026246)))"
50,30.007832,"(((abs(x1) - x0) * 0.07943027) + ((((((x4 * 0.3248578) - (sqrt(x5) * -0.33698717)) + x3) + x2) * 0.481251) - (((4.1903224 / (x3 + 2.617701)) / -0.07932409) * sqrt(x0 / (x0 + x5))))) - abs(2.0684216 - ((x3 * sqrt(x4 + x2)) / (x0 + 9.026245)))"
