Complexity,Loss,Equation
1,50.54323,"x4"
3,38.91,"x3 + x2"
5,37.321854,"x3 + (x2 + 1.2587789)"
6,36.421024,"(sqrt(x5) * 0.24405147) + x2"
7,35.651245,"(x2 + x3) + (x5 * 0.000984215)"
8,34.533386,"x2 + ((sqrt(x5) + x3) * 0.20508695)"
9,33.96873,"x2 + ((x3 + (x5 * 0.0030720627)) * 0.6982842)"
10,33.45875,"(x2 + (sqrt(x5) * 0.14142074)) + (x3 * 0.51357985)"
11,33.245197,"((x5 * 0.0020539076) + (x2 + (x3 * 0.5208245))) + 1.8224374"
12,32.282295,"sqrt(x4) + ((x5 * 0.0020535153) + ((x2 + x3) * 0.58774346))"
13,32.045013,"(sqrt(abs(x1)) + ((x3 + x2) * 0.554851)) + (x5 * 0.0017766854)"
15,31.561394,"(((x2 + x3) * 0.45650756) + (x5 * 0.0018342895)) + sqrt(x4 + abs(x1))"
16,31.368652,"((((x2 + x3) + (x1 * 0.17621493)) * 0.48455548) + sqrt(x4)) + (x5 * 0.0017169993)"
17,31.307438,"sqrt(x4 + abs(x0 - (x5 * 0.035945095))) + sqrt(abs(x1 + (x3 * x2)))"
18,31.22366,"sqrt(x1 + (x4 + (x2 * x3))) + sqrt(abs((0.033034623 * x5) + (x3 - x0)))"
19,31.04056,"sqrt(x4 + abs((x3 + (x5 * 0.03087384)) - x0)) + sqrt(abs((x3 * x2) + x1))"
21,30.83901,"sqrt(x4 + abs((x5 * 0.035114545) - x0)) + sqrt(abs(((x1 + (x3 * x2)) - x0) + x4))"
23,30.581804,"sqrt(abs((x4 + (x3 * x2)) + (x1 - 19.469517))) + sqrt(x4 + abs((x5 * 0.034405578) + (x3 - x0)))"
24,30.572884,"sqrt(abs((x4 + (abs(x1) - 19.469515)) + (x2 * x3))) + sqrt(x4 + abs((x5 * 0.034485817) + (x3 - x0)))"
25,30.491953,"sqrt(abs((x3 - x0) + (x5 * 0.029265398)) + x4) + sqrt(abs(x0 - ((x1 - ((-1.4002056 - x3) * x2)) + x4)))"
26,30.489906,"sqrt(abs(x0 - ((abs(x1) + x4) - ((-1.4015578 - x3) * x2)))) + sqrt(x4 + abs((x5 * 0.02928818) + (x3 - x0)))"
27,30.43223,"sqrt(abs(x1 + ((x4 - ((-2.2120645 - (x3 * 0.8117871)) * x2)) - x0))) + sqrt(x4 + abs(x3 + ((x5 * 0.031122861) - x0)))"
28,30.430895,"sqrt(abs(abs(x1) + ((x4 - ((-2.2120645 - (x3 * 0.818996)) * x2)) - x0))) + sqrt(x4 + abs(x3 + ((x5 * 0.03112285) - x0)))"
29,30.40538,"sqrt(x4 + abs((x3 - x0) + (x5 * 0.031108359))) + sqrt(abs((x0 - x4) + (((x2 * (-2.4444847 - x3)) * 0.8144527) - x1)) - -1.406927)"
30,30.402851,"sqrt(abs((x3 - x0) + (x5 * 0.031108359)) + x4) + sqrt(abs((x0 - x4) + ((x2 * ((-2.4444847 - x3) * 0.8144527)) - abs(x1))) - -1.406927)"
31,30.391758,"sqrt(x4 + abs((x3 - x0) + (x5 * 0.031263486))) + sqrt(abs(x0 - ((x3 + (x1 + x4)) - (((-3.679469 - x3) * (x2 * 0.6612467)) - -2.11653))))"
32,30.380713,"sqrt(abs(x0 - ((((x1 + x4) + x3) - (x2 * ((-3.378398 - x3) * 0.6928238))) - sqrt(x3)))) + sqrt(abs(((x5 * 0.031122936) + x3) - x0) + x4)"
33,30.313473,"sqrt(x4 + abs(((x5 * 0.031710148) + ((x3 + -3.3874173) * 2.465407)) - x0)) + sqrt(abs(x3 + (((x1 - ((x2 * 0.51202893) * (-5.1079707 - x3))) - x0) + x4)))"
34,30.238087,"sqrt(x4 + abs(((sqrt(x3) * (x3 + -4.207316)) - x0) + (x5 * 0.03316596))) + sqrt(abs((x4 + ((x3 + x1) - (((-7.655091 - x3) * 0.39057165) * x2))) - x0))"
36,30.23752,"sqrt(abs((((x3 + x4) + x1) - (((-7.655091 - x3) * 0.3905656) * x2)) - x0)) + sqrt(x4 + (abs(((sqrt(x3) * (x3 + -4.207316)) - x0) + (x5 * 0.03309961)) + 0.15288869))"
37,30.2375,"sqrt(abs(x0 - ((x3 + (x4 + x1)) - (0.3905656 * ((-7.655091 - x3) * x2))))) + sqrt((x4 + abs((((x3 + -4.207316) * sqrt(x3)) - x0) + (x5 * 0.03309961))) + sqrt(0.16729604))"
38,30.230505,"sqrt(abs((((x3 + x4) + x1) - (((-7.655091 - x3) * 0.3905656) * x2)) - x0)) + sqrt(x4 + abs((x5 * 0.03309961) + ((((x3 / x5) + sqrt(x3)) * (x3 + -4.207316)) - x0)))"
39,30.224356,"sqrt(abs((x3 + x4) + ((abs(x1) - (((-7.655091 - x3) * 0.3905656) * x2)) - x0))) + sqrt(x4 + abs(((x5 * 0.03309961) + (sqrt(x3) * ((x3 + -4.207316) + (x3 / x5)))) - x0))"
40,30.201862,"sqrt(abs((x3 + x4) + ((x1 - (((-7.655091 - x3) * 0.3905656) * x2)) - x0))) + sqrt(x4 + abs(((x5 * 0.03309961) + (x3 / (-0.43156758 * x0))) + ((sqrt(x3) * (x3 + -4.207316)) - x0)))"
42,30.19638,"sqrt(abs((x3 + x4) + ((x1 - (((-7.655091 - x3) * 0.3905656) * x2)) - x0))) + sqrt(x4 + abs(((x5 * 0.03309961) + ((sqrt(x3) * (x3 + -4.207316)) - (x0 + -0.5306468))) + (x3 / (-0.43156758 * x0))))"
47,30.185863,"abs(sqrt((x2 + x3) + (x5 * 0.018958857)) + -4.7339783) + sqrt(abs((((x2 + x4) + ((x4 - x0) + x1)) * 1.9989605) - (((x3 * -0.25276712) - x2) * x3)) + (((x5 * 0.023565697) + (x2 - ((0.042990662 / x0) * x5))) + x2))"
48,30.178991,"abs(sqrt((x2 + x3) + (x5 * 0.018958857)) + -4.7339783) + sqrt(abs((((x2 + x4) + ((x4 - x0) + abs(x1))) * 1.9989605) - (((x3 * -0.25276712) - x2) * x3)) + (((x5 * 0.023565697) + (x2 - ((0.042990662 / x0) * x5))) + x2))"
49,30.153168,"abs(sqrt(((x5 * 0.018482732) + x3) + x2) + -4.7111444) + sqrt(((x5 * 0.021814603) + (x2 + (x2 - ((x2 * (x3 + x3)) / x0)))) + abs(((((x4 + x4) - x0) + (x2 + x1)) * 2.0529392) - (((x3 * -0.30739972) - x2) * x3)))"
50,30.145678,"abs(sqrt(((x5 * 0.018482732) + x3) + x2) + -4.7111444) + sqrt(((x5 * 0.021814603) + ((x2 + x2) - ((x2 * (x3 + x3)) / x0))) + abs(((((x4 + x4) - x0) + (x2 + abs(x1))) * 2.0529392) - (((x3 * -0.30739972) - x2) * x3)))"
