Complexity,Loss,Equation
1,50.54323,"x4"
3,38.91,"x2 + x3"
5,37.321854,"x2 + (x3 - -1.2587824)"
6,36.42103,"sqrt(x5 * 0.05956234) + x2"
7,35.651245,"(x3 + x2) + (x5 * 0.000984215)"
8,34.764793,"sqrt((x4 * x3) + (x5 * 0.07850033))"
9,33.96873,"(x2 + (x5 * 0.0021451528)) + (x3 * 0.69828963)"
10,33.12784,"x2 + sqrt(x4 + ((x5 * x3) * 0.0056518293))"
11,32.74418,"sqrt((x5 * (x3 * 0.0051015425)) + abs(x1)) + x2"
12,32.282295,"sqrt(x4) + (((x2 + (x5 * 0.003495696)) + x3) / 1.7017497)"
13,32.045013,"(((x5 * 0.0032034002) + (x3 + x2)) / 1.8025291) + sqrt(abs(x1))"
15,31.561396,"(((x3 + (x5 * 0.004020528)) + x2) / 2.1910589) + sqrt(abs(x1) + x4)"
17,31.096273,"sqrt(x4 + abs(x0 - ((x5 * 0.029505527) + x1))) + ((x2 + x3) / 1.8716761)"
18,31.09602,"sqrt(abs(x0 - ((x5 * 0.029505527) + abs(x1))) + x4) + ((x2 + x3) / 1.8716761)"
19,30.946491,"((x3 + ((x1 * 0.18460362) + x2)) / 2.2822552) + sqrt(x4 + abs((0.036374602 * x5) - x0))"
21,30.766418,"(((x2 + x3) + (x1 * 0.19471076)) / 2.2878578) + sqrt(x4 + abs(((0.030752135 * x5) + x3) - x0))"
23,30.762005,"(((x2 + x3) + (x1 * 0.19471076)) / 2.2878578) + sqrt(x4 + abs((0.030752135 * (x4 + x5)) + (x3 - x0)))"
24,30.675611,"((x2 + (x3 + (x1 * 0.17838082))) / 2.1822333) + sqrt(x4 + abs(abs((x2 + (x5 * 0.033720896)) - x0) + -8.021964))"
28,30.54457,"(((x3 + x2) + (x1 * 0.17905253)) / 2.4541762) + sqrt(x4 + abs((x3 - x0) + abs((x5 * 0.036101826) + ((x2 + x4) - x0))))"
29,30.513529,"((((x1 * 0.20358798) + x2) + (x3 + 2.4608762)) / 2.8081658) + sqrt(abs(((x3 - x0) + x4) + abs(x0 - (x5 * 0.039015904))) + abs(x4))"
30,30.431858,"(((x1 * 0.20648585) + (x3 + (x2 + 2.470047))) / 2.7898083) + sqrt(abs(((x4 + x3) - x0) + abs((x5 * 0.03497943) + (x2 - x0))) + x4)"
32,30.38062,"(((x1 * 0.20671315) + ((x3 + x2) + 0.6633866)) / 2.8014615) + sqrt(abs((x4 + (x3 - x0)) + abs((x5 * 0.03649983) + (x2 - x0))) + (x4 / 0.58920217))"
33,30.37454,"(sqrt(abs(x0 - (log(x5 * 0.12922692) * x3)) + (x3 + x1)) + sqrt(x4 + x3)) + (((x5 * 0.20119879) + (x2 + ((x5 + x0) * -0.19874923))) * 0.49330974)"
34,30.35667,"sqrt(abs(x0 - (log(x5 * 0.12922692) * x3)) + (x3 + x1)) + abs(sqrt(x4 + x3) + ((((x5 * 0.20119879) + x2) + ((x5 + x0) * -0.19874923)) * 0.49330974))"
35,30.291122,"sqrt(x1 + (abs((log(x5 * 0.0221968) * (x3 * 1.6050804)) - x0) + x3)) + (((x2 + (((x5 + x0) * -0.1979895) + (x5 * 0.19986707))) * 0.53324777) + sqrt(x4 + x3))"
36,30.265638,"abs((((((x5 + x0) * -0.1979895) + (x5 * 0.19986707)) + x2) * 0.53324777) + sqrt(x4 + x3)) + sqrt(x1 + (abs((log(x5 * 0.0221968) * (x3 * 1.6050804)) - x0) + x3))"
37,30.098711,"(0.5251924 * (((x2 - (x3 / x0)) + (x5 * 0.20559548)) + ((x0 + x5) * -0.20353921))) + (sqrt(x4 + x3) + sqrt(abs((x3 * sqrt(x5 * 0.022368444)) - x0) + (x3 + x1)))"
39,30.06123,"abs(((0.6535345 - (0.5006692 / sqrt(x0))) * ((((x5 + x0) * -0.24668661) + ((x5 + x3) * 0.2494405)) + x2)) + sqrt(x4)) + sqrt((x1 + x3) + abs(x0 - (x3 * log(x5 * 0.12695196))))"
40,29.976513,"(sqrt(x4 + x3) + sqrt(abs(x0 - (log(x5 * 0.0155783) * (x3 * 1.7933812))) + (x3 + x1))) + ((x2 + (((x5 + x0) * -0.2376794) + (x5 * 0.24030149))) * (0.62951475 - sqrt(0.23103796 / x0)))"
41,29.901146,"sqrt((x3 + x1) + abs(x0 - (log(x5 * 0.014782331) * (1.7578655 * x3)))) + abs(sqrt(x4) + ((0.6472044 - (0.5046738 / sqrt(x0))) * ((((x5 + x3) * 0.23314571) + x2) + ((x5 + x0) * -0.2305541))))"
42,29.89517,"sqrt((x3 + abs(x1)) + abs(x0 - ((x3 * log(x5 * 0.014782331)) * 1.7578655))) + abs(((0.6472044 - (0.5046738 / sqrt(x0))) * (((x3 + x5) * 0.23314571) + (x2 + ((x5 + x0) * -0.2305541)))) + sqrt(x4))"
43,29.877415,"abs(((0.62951374 - sqrt(0.2164595 / x0)) * ((((x3 + x5) * 0.24017222) + x2) + ((x0 + x5) * -0.23781122))) + sqrt(x4)) + sqrt(abs(x0 - ((log(x5 * 0.015574184) * x3) * 1.7933809)) + (x1 + (x3 * 1.4746988)))"
44,29.87734,"abs(((0.62951404 - sqrt(abs(-0.23549308) / x0)) * ((((x5 + x3) * 0.24021055) + x2) + ((x0 + x5) * -0.23777196))) + sqrt(x4)) + sqrt(abs(x0 - ((x3 * 1.793381) * log(x5 * 0.015575644))) + (x1 + (x3 * 1.4746988)))"
45,29.872698,"sqrt((x1 + (x3 * 1.302041)) + abs(x0 - (log((x3 + x5) * 0.015575644) * (x3 * 1.793381)))) + abs(((0.62951404 - sqrt(0.2164594 / x0)) * ((0.24021055 * (x5 + x3)) + ((-0.23777196 * (x5 + x0)) + x2))) + sqrt(x4))"
46,29.867239,"sqrt((abs(x1) + (x3 * 1.302041)) + abs(x0 - (log((x3 + x5) * 0.015575644) * (x3 * 1.793381)))) + abs((((((x3 + x5) * 0.24021055) + (-0.23777196 * (x5 + x0))) + x2) * (0.62951404 - sqrt(0.2164594 / x0))) + sqrt(x4))"
47,29.856796,"abs(sqrt(x4) + ((((x5 + x3) * 0.27529544) + (((x5 + x0) * -0.27234223) + x2)) * (0.61116797 - sqrt(0.23257707 / x0)))) + sqrt((x3 * 1.8154118) + (abs((x0 - sqrt(abs(x1))) - (log(x5 * 0.011980101) * (x3 * 1.5538079))) + x1))"
48,29.84778,"abs(((((x3 + x5) * 0.2752263) + (((x5 + x0) * -0.2724103) + x2)) * (0.6111669 - sqrt(0.27683112 / x0))) + sqrt(x4)) + (sqrt(abs((x0 - sqrt(abs(x1))) - (log(x5 * 0.011964425) * (x3 * 1.5538076))) + (abs(x1) + x3)) - -0.6582965)"
49,29.832949,"abs(sqrt(x4) + (((((x5 + (x0 - 1.6101353)) * -0.27247557) + x2) + ((x5 + x3) * 0.27516207)) * (0.6111665 - sqrt(0.23257765 / x0)))) + sqrt(x1 + (abs((x0 - sqrt(abs(x1))) - (log(x5 * 0.011967598) * (1.5538076 * x3))) + (x3 * 1.8154117)))"
50,29.829557,"sqrt((abs(x1) + abs((x0 - sqrt(abs(x1))) - (log(x5 * 0.011967598) * (1.5538076 * x3)))) + (x3 * 1.8154117)) + abs(sqrt(x4) + (((((x5 + (x0 - 1.6101353)) * -0.27247557) + x2) + ((x5 + x3) * 0.27516207)) * (0.6111665 - sqrt(0.23257765 / x0))))"
