Complexity,Loss,Equation
1,50.54323,"x4"
3,38.91,"x3 + x2"
5,37.321854,"(x3 + 1.2587765) + x2"
6,36.42103,"x2 + sqrt(x5 / 16.787176)"
7,35.651245,"x2 + ((x5 / 1015.172) + x3)"
8,34.76479,"sqrt((x5 / 12.744439) + (x4 * x3))"
9,33.96873,"(x2 + (x3 * 0.6982927)) + (x5 * 0.002145187)"
10,33.45875,"(x3 * 0.5135801) + ((sqrt(x5) * 0.14142007) + x2)"
11,33.245197,"((x3 * 0.5206728) + x2) + ((x5 * 0.002053924) + 1.8238024)"
12,32.71782,"(x5 * 0.0019947465) + sqrt((x4 + (x3 * x2)) * 2.40281)"
13,32.41414,"sqrt((abs(x1) + (x3 * x2)) * 2.2330868) + (x5 / 555.1572)"
14,31.688496,"sqrt(((x4 + x1) + (x2 * x3)) * 1.842023) + (x5 * 0.0018436237)"
15,31.68177,"(x5 / 543.01514) + sqrt(((x4 + abs(x1)) + (x3 * x2)) * 1.8424134)"
16,31.56722,"sqrt(x4 + (x1 + (x2 * x3))) + sqrt(abs((x5 / 26.65893) - x0))"
18,31.169674,"sqrt((x3 * x2) + x4) + sqrt(abs((x0 - x1) - (x5 / 33.516617)) + x4)"
20,31.061504,"(sqrt(abs(x0 - (x1 - (x5 / -32.32269))) + x4) + sqrt((x2 * x3) + x4)) + -0.3580724"
21,31.048948,"sqrt(abs(x0 - (x1 - (x5 / -32.32269))) + x4) + abs(sqrt((x2 * x3) + x4) + -0.3580724)"
22,30.908535,"sqrt(abs((x5 / 36.791695) - (x0 - x3))) + ((sqrt(x4 + (x1 + (x2 * x3))) / 0.8251138) + -1.2193807)"
23,30.66773,"sqrt(abs(((x3 * x2) + (x1 - x0)) - (-3.4530973 * x4))) + sqrt(abs((x3 - x0) - (x5 / -36.65033)))"
25,30.587103,"sqrt(abs((x0 - x3) - (x5 / 34.239944))) + sqrt(abs((-24.663164 + (x3 * x2)) - (-1.5909364 * (x1 + x4))) + x4)"
26,30.551477,"sqrt(abs((x5 / 33.516617) - abs(x0 - x3))) + sqrt(x4 + abs(((x4 + x1) * -1.550211) - ((x2 * x3) + -23.74451)))"
27,30.446634,"sqrt(abs((x5 / 35.448578) - (x0 - x3)) - -5.8960643) + sqrt(abs((((x4 + x4) - (x1 * -1.2862405)) + (x3 * x2)) - x0))"
28,30.376953,"sqrt(abs((x5 / 34.493298) - abs(x0 - x3)) - -5.3593884) + sqrt(abs((((x2 * x3) + (x4 - (x1 * -1.3420327))) + x4) - x0))"
30,30.331865,"sqrt(x2 + abs(((x3 * x2) + ((x4 + x4) - (x1 * -1.2307869))) - x0)) + sqrt(abs(abs(x0 - x3) - (x5 / 35.26574)) - -3.8876798)"
31,30.325554,"sqrt(x2 + abs(((((x3 * x2) + x4) + x4) - (abs(x1) * -1.2307869)) - x0)) + sqrt(abs(abs(x0 - x3) - (x5 / 35.26574)) - -3.8876798)"
32,30.267551,"sqrt(abs((x3 - x0) - (x5 / (-28.151525 - abs(x4 - x0))))) + sqrt(x4 + (x2 + abs(((x1 - x0) - (x4 * -1.807823)) + (x3 * x2))))"
33,30.122425,"sqrt(log(x5) + abs((x5 / (-28.032658 - abs(x0 - x4))) - (x3 - x0))) + sqrt(abs((((x4 - x0) - (x1 / -0.82852906)) + x4) + (x3 * x2)))"
34,30.05325,"sqrt(abs((x0 - (x5 / 99.166595)) + (-2.2157378 * x3))) + sqrt(abs((x4 + ((x1 + ((x2 * x3) + x4)) - x0)) + (x5 / (abs(x0 - x4) - -22.46535))))"
35,30.023304,"sqrt(abs((abs(x0 - x3) - x3) - (x5 / 98.3087))) + sqrt(abs(((((x4 + (x2 * x3)) + x1) + x4) - x0) + (x5 / (abs(x4 - x0) - -21.191029))))"
36,29.960749,"sqrt(abs((((x4 + x4) + ((x2 * x3) + x1)) - x0) + (x5 / (abs(x4 - x0) - -22.695147)))) + sqrt(abs(((x0 - x3) - (x1 * 0.34456608)) - (x5 / 98.08485)))"
37,29.910843,"sqrt(abs((abs(x0 - x3) - (x1 * 0.38258308)) - (x5 / 98.11416))) + sqrt(abs((x4 + x4) + (((x3 * x2) + (x1 - x0)) + (x5 / (abs(x4 - x0) - -21.7339)))))"
38,29.725613,"sqrt(abs(x4 + ((x5 / (abs(x0 - x4) - -17.10902)) + (((x1 + x4) - x0) + (x3 * x2))))) + sqrt(abs((x5 / ((x5 / (x0 + x1)) - -28.315325)) - (x0 - x3)))"
39,29.724173,"sqrt(abs(x4 + ((x5 / (abs(x0 - x4) - -17.10902)) + (((x1 + x4) - x0) + (x3 * x2))))) + sqrt(abs((x5 / ((x5 / (x0 + abs(x1))) - -28.315325)) - (x0 - x3)))"
40,29.643261,"sqrt(abs((x5 / (abs((x3 + x2) - x0) - -16.556114)) + ((x1 + (x4 - x0)) + ((x2 * x3) + x4)))) + sqrt(abs((x0 - x3) - (x5 / ((x5 / (x1 + x0)) - -28.342329))))"
41,29.641804,"sqrt(abs((x5 / (abs((x3 + x2) - x0) - -16.55619)) + ((x3 * x2) + (x4 + ((x1 + x4) - x0))))) + sqrt(abs((x0 - x3) - (x5 / ((x5 / (x0 + abs(x1))) - -28.34124))))"
42,29.619257,"sqrt(abs((x0 - x3) - (x5 / ((x5 / (x0 + x1)) - -28.418777)))) + sqrt(abs((x5 / (abs(x3 + (x2 - x0)) - -17.906803)) + (x1 + ((x4 + ((x4 - x0) + (x3 * x2))) * 1.0567383))))"
43,29.609356,"sqrt(abs((x0 - x3) - (x5 / ((x5 / (x0 + x1)) - -28.418777)))) + sqrt(abs((x5 / (abs(x3 + (x2 - x0)) - -17.906803)) + ((x4 + x1) + (((x4 - x0) + (x3 * x2)) * sqrt(1.2263985)))))"
45,29.58526,"sqrt(abs((abs((6.7372193 - x3) + x0) - x3) - (x5 / ((x5 / (x1 + 22.286963)) - -24.772583)))) + sqrt(abs((x5 / (abs(x3 + (x2 - x0)) - -22.2271)) + ((x4 + x4) + (((x2 * x3) + x1) - x0))))"
46,29.581003,"sqrt(abs((x5 / (abs(x3 + (x2 - x0)) - -22.864792)) + ((x4 + (x2 * x3)) + ((x1 - x0) + x4)))) + sqrt(abs((abs((x0 + 6.4771442) - x3) - abs(x3)) - (x5 / ((x5 / (x1 + 21.992064)) - -25.169336))))"
47,29.546211,"sqrt(abs((x5 / (abs((x3 + x2) - x0) - -20.390587)) + ((x1 + (x4 - 3.2306337)) + ((x4 + (x2 * x3)) - x0)))) + sqrt(abs((7.6621013 - x3) + (abs(x0 - x3) - (x5 / ((x5 / (x1 + 23.691833)) - -22.766504)))))"
48,29.528881,"sqrt(abs((x5 / ((x5 / (x1 + 24.29508)) - -17.548922)) - ((11.578984 - x3) + abs(x0 - x3)))) + sqrt(abs((x5 / (abs((x3 + x2) - x0) - -18.349697)) + (((((x2 * x3) + x4) + x1) + (x4 - log(x5))) - x0)))"
49,29.51806,"sqrt(abs(((((x3 * x2) + x4) + x4) + ((x1 - 4.858521) - x0)) + (x5 / (abs((x3 + x2) - x0) - -19.905357)))) + sqrt(abs((6.4699664 - x3) + (abs(2.429318 - (x3 - x0)) - (x5 / ((x5 / (x1 + 24.775488)) - -22.67586)))))"
50,29.510036,"sqrt(abs(((x3 * x2) + (x4 + (((x4 + x1) - 4.9423876) - x0))) + (x5 / (abs((x3 + x2) - abs(x0)) - -19.63732)))) + sqrt(abs((5.795372 - x3) + (abs(3.6511908 - (x3 - x0)) - (x5 / ((x5 / (x1 + 25.16926)) - -22.13079)))))"
