Complexity,Loss,Equation
1,50.54323,"x4"
3,38.91,"x2 + x3"
5,37.321854,"x2 + (x3 + 1.2626985)"
6,36.421024,"x2 + (sqrt(x5) * 0.24405147)"
7,35.651245,"((x5 * 0.0009842146) + x2) + x3"
8,34.533386,"x2 + ((x3 + sqrt(x5)) * 0.20509553)"
9,33.96873,"(x2 + (x5 * 0.0021451479)) + (x3 * 0.6982905)"
10,33.45875,"((x3 * 0.5135827) + (sqrt(x5) * 0.14142019)) + x2"
11,33.2452,"((x3 * 0.52079654) - -1.8226739) + (x2 + (x5 * 0.002053901))"
12,32.282295,"((x5 * 0.0020534408) + ((x2 + x3) * 0.5877537)) + sqrt(x4)"
14,31.642656,"(x3 + (((sqrt(x5) + (x1 + x4)) * 0.22882521) + x2)) * 0.4897629"
15,31.64121,"((x2 + x3) * 0.48922417) + ((x4 + (abs(x1) + sqrt(x5))) * 0.11214251)"
16,31.368649,"((sqrt(x4) + (x5 * 0.0017170531)) + (x1 * 0.08539148)) - ((x2 + x3) * -0.48453823)"
17,31.367184,"abs((x5 * 0.0017169316) + (x1 * 0.08539066)) + (sqrt(x4) - ((x3 + x2) * -0.4845387))"
18,31.35808,"((x5 * 0.001718711) + ((x1 * 0.085586004) - ((x2 + x3) * -0.4815183))) + sqrt(x4 + 0.24029733)"
19,31.224379,"(((x2 + (x3 - -10.262905)) + (x5 * 0.0031685645)) * 0.451063) + ((x0 - (x4 + x1)) * -0.09875223)"
20,31.055458,"((x1 * 0.08316199) + (abs((sqrt(x5) * 0.17035581) + -3.3114893) + sqrt(x4))) - ((x2 + x3) * -0.45160046)"
21,30.846796,"abs(((sqrt(x5) - x0) * 0.12435947) - (x3 * -0.4066228)) + ((x2 * 0.59248894) + sqrt(x4 + abs(x1)))"
23,30.619923,"(abs((x3 + (sqrt(x5) - x0)) * 0.13623403) - (x3 * -0.2775683)) + ((x2 * 0.51990944) + sqrt(x4 + abs(x1)))"
25,30.605562,"sqrt(x4 + abs(x1)) + ((x2 * 0.52457285) + (abs((sqrt(x5) + ((x3 - x0) - 1.6202995)) * 0.13828847) - (x3 * -0.2864884)))"
26,30.309488,"((abs(abs((x0 - x3) * 0.1768904) + (sqrt(x5) * -0.15473531)) + sqrt(x4 + abs(x1))) + (x2 * 0.48187324)) - (x3 * -0.29077742)"
28,30.298653,"(sqrt(x4 + abs(x1 - 0.81666744)) + (abs((sqrt(x5) * -0.15375818) + abs((x3 - x0) * 0.17708156)) + (x2 * 0.49132475))) - (x3 * -0.2962948)"
29,30.275417,"(x1 * 0.0738956) + ((((x2 * 0.51054776) + sqrt(x4 + 2.1799476)) + abs(abs((x3 - x0) * -0.17122348) + (sqrt(x5) * -0.14996566))) - (x3 * -0.3094654))"
30,30.274675,"((abs(x1 * 0.074099585) + (x2 * 0.510278)) + (abs((sqrt(x5) * -0.1500211) + abs((x0 - x3) * 0.17129347)) + sqrt(x4 + 2.180651))) - (x3 * -0.30871078)"
31,30.123411,"(((x2 * 0.5207092) - (x3 * -0.31066185)) + sqrt(x4 + abs(x1 - -1.1090229))) + abs(abs((sqrt(x5) * -0.16989402) + abs((x3 - x0) * 0.1769112)) + -1.2325133)"
32,30.098927,"abs(abs((((x1 * -0.26554865) + (x0 - x3)) * 0.15827428) + 1.1263938) + (sqrt(x5) * -0.15977362)) + ((x2 * 0.4659362) + (sqrt(x4 + abs(x1)) - (x3 * -0.29496235)))"
33,30.091894,"(((x2 * 0.5082741) + sqrt(x4)) - ((x3 * -0.34267458) + (x1 * -0.07879922))) + abs((sqrt(x5) * -0.15272117) + abs(1.1999505 + ((((x1 * -0.35088578) - x3) + x0) * 0.15571013)))"
34,30.089163,"((sqrt(x4) - (x3 * -0.34133777)) + ((abs(x1 * -0.15693961) + x2) * 0.507649)) + abs((sqrt(x5) * -0.15260953) + abs(((x0 + ((x1 * -0.3518223) - x3)) * 0.15593301) + 1.1892946))"
35,30.032747,"abs((sqrt(x5) * -0.15680863) + abs((((x0 + (x1 * -0.3452769)) - x3) * 0.15263548) + 1.2680873)) + ((((x2 * 0.48552012) + sqrt(x4 + 2.3409986)) + (x1 * 0.07568961)) - (x3 * -0.3132526))"
36,30.031738,"(abs((sqrt(x5) * -0.15694918) + abs((((x1 * -0.3456848) + (x0 - x3)) * 0.15261595) + 1.2670918)) + (x2 * 0.48284242)) + (sqrt(x4 + 2.3444753) + (abs(x1 * 0.07555728) - (x3 * -0.31450847)))"
37,30.015768,"((x2 * 0.49056458) + ((x1 * 0.07657312) - (x3 * -0.31730288))) + (sqrt(x4 + 1.9442216) + abs(abs((((x0 - x3) + (x1 * -0.33010218)) * 0.15970613) + 1.2252994) + (sqrt(x5 + x0) * -0.15602955)))"
38,30.01446,"((((x2 * 0.49056455) + abs(x1 * 0.076573126)) - (x3 * -0.31730285)) + abs((sqrt(x0 + x5) * -0.15602967) + abs((((x1 * -0.3301022) + (x0 - x3)) * 0.15970607) + 1.2252994))) + sqrt(x4 + 1.9442216)"
39,29.94821,"abs((((abs((x0 - x3) + -2.295495) * -0.0060191583) + 0.18380219) * sqrt(x5)) - 1.9988215) + ((x2 + (sqrt(x4) - (((0.0069678016 * (x1 + x0)) + -0.59029615) * x3))) + (((x1 * 0.2419974) - x2) * 0.5624812))"
40,29.87071,"(((((x1 * 0.25842866) - x2) * 0.5683559) + sqrt(x4)) + (x2 - (((0.007654994 * (x1 + x0)) + -0.65826917) * x3))) + abs((sqrt(x5) * ((abs((x0 - x3) - sqrt(x2)) * -0.0049071927) + 0.16877118)) - 2.062062)"
41,29.865469,"((((abs(x1 * 0.25842866) - x2) * 0.5683559) + sqrt(x4)) + (x2 - (((0.007654994 * (x1 + x0)) + -0.65826917) * x3))) + abs((sqrt(x5) * ((abs((x0 - x3) - sqrt(x2)) * -0.0049071927) + 0.16877118)) - 2.062062)"
42,29.844818,"((x2 + (((x1 * 0.17182046) - (x2 * 0.5541641)) - (x3 * (((x1 + x0) * 0.010258151) + -0.7779385)))) + sqrt(0.652213 * x4)) + abs((sqrt(x5) * ((abs(sqrt(x4) - (x0 - x3)) * -0.005127451) + 0.17182046)) - 2.2033854)"
43,29.758867,"(x2 + (abs((((0.32421473 * x1) - x2) * 0.612056) - ((((x0 + x1) * 0.012621434) + -0.8918216) * x3)) + sqrt(0.5084119 * x4))) + abs((sqrt(x5) * ((-0.004990775 * abs((x0 - x3) - sqrt(x4))) + 0.1669601)) - 2.1240487)"
44,29.72347,"((x2 + abs(((((x0 + x1) * 0.0116414195) + -0.83776134) * x3) - ((abs(x1 * 0.32550603) - x2) * 0.5700505))) + sqrt(x4 * 0.4992691)) + abs((sqrt(x5) * ((abs(sqrt(x4) - (x0 - x3)) * -0.005305591) + 0.17429738)) - 2.159754)"
46,29.689205,"(x2 + (abs(((((x0 + x1) * 0.012621434) + -0.8918216) * x3) - (((0.32421473 * x1) - x2) * 0.612056)) + sqrt(abs(0.612056 * (2.750927 - x4))))) + abs((sqrt(x5) * ((abs((x0 - x3) - sqrt(x4)) * -0.004990775) + 0.1669601)) - 2.1240487)"
47,29.681068,"(x2 + (abs((x3 * (((x0 + x1) * 0.012621434) + -0.8918216)) - ((abs(x1 * 0.32421473) - x2) * 0.612056)) + sqrt(abs((x4 - 2.750927) * 0.612056)))) + abs((sqrt(x5) * ((abs((x0 - x3) - sqrt(x4)) * -0.004990775) + 0.1669601)) - 2.1240487)"
48,29.679876,"(x2 + (abs((x3 * (((x0 + x1) * 0.012621434) + -0.8918216)) - ((abs(x1 * 0.32421473) - x2) * 0.612056)) + sqrt(abs((x4 - log(x0)) * 0.612056)))) + abs((sqrt(x5) * ((abs((x0 - x3) - sqrt(x4)) * -0.004990775) + 0.1669601)) - 2.1240487)"
