Complexity,Loss,Equation
1,50.54323,"x4"
3,38.91,"x3 + x2"
5,37.321854,"x3 + (x2 + 1.2587826)"
6,36.421024,"(sqrt(x5) * 0.24405147) + x2"
7,35.651245,"(x2 + x3) - (x5 * -0.0009842035)"
8,34.76479,"sqrt((x3 * x4) + (x5 / 12.744433))"
9,33.96873,"(x2 + (x3 * 0.6982898)) - (x5 * -0.0021452054)"
10,33.45875,"(x3 * 0.51357895) + (x2 - (sqrt(x5) * -0.14142092))"
11,33.245197,"((x2 + (x3 * 0.52082765)) - (x5 * -0.0020538948)) - -1.8224415"
12,32.336987,"sqrt((x4 * x3) + ((x5 * (x2 / 95.11728)) + x1))"
13,32.331398,"sqrt(((x4 * x3) + ((x5 * x2) / 95.166046)) + abs(x1))"
14,31.956303,"sqrt((x1 * 1.8902568) + ((x3 * x4) + ((x2 * x5) / 112.876465)))"
15,31.924694,"sqrt(((x4 * x3) + abs(x1 * 2.1225095)) + (x5 * (x2 / 118.463745)))"
16,31.815912,"sqrt(((((x5 * x2) / 88.93793) + (x1 * 2.3527815)) + (x3 * x4)) * 0.8703375)"
17,31.728333,"sqrt(sqrt(abs((x0 - (x3 * (x1 + x4))) * (x2 * sqrt(x5))) + 1864.974))"
18,31.724993,"sqrt(sqrt(abs((x0 - ((abs(x1) + x4) * x3)) * (sqrt(x5) * x2)) + 1857.9385))"
19,31.54162,"sqrt(sqrt(abs(((x3 * (x4 + x1)) - (1.8570349 * x0)) * (sqrt(x5) * x2)) + 2129.6396))"
20,31.311394,"sqrt(sqrt(x4 * ((0.11796468 * x5) * x2)) + ((x1 + abs(sqrt(x5) - x0)) * sqrt(x3)))"
21,31.30659,"sqrt(sqrt(((x5 * x2) * 0.11783194) * x4) + (sqrt(x3) * (abs(x1) + abs(sqrt(x5) - x0))))"
22,31.137526,"sqrt((sqrt(x3) * (x1 + abs(x0 - sqrt(x5)))) + sqrt(x2 * (((x5 * 0.10521368) + x4) * x4)))"
23,31.10194,"sqrt((sqrt(x3) * (abs(x0 - sqrt(x5)) + x1)) + sqrt(abs(x5 - (x2 * (x4 * (x5 * 0.13098106))))))"
24,30.865839,"sqrt((sqrt(x2) * (x1 + abs(x0 - sqrt(x5)))) + sqrt(x4 * (sqrt(x5) * abs((x3 * 6.9232063) - x0))))"
25,30.860716,"sqrt(sqrt((x4 * sqrt(x5)) * abs(x0 - (x3 * 6.923743))) + ((abs(x0 - sqrt(x5)) + abs(x1)) * sqrt(x2)))"
26,30.70647,"sqrt(sqrt(abs(((sqrt(x5) * -9.797238) * (x4 - 2.5186908)) * (x3 - 3.5111897))) + ((x1 + abs(x0 - sqrt(x5))) * sqrt(x2)))"
27,30.673178,"sqrt(sqrt(sqrt(x5) * abs(log(x5) * (-4.800557 - (x4 * (3.0220711 - x3))))) + (sqrt(x2) * (abs(x0 - sqrt(x5)) + x1)))"
28,30.541895,"sqrt(((abs(sqrt(x5) - x0) + x1) * sqrt(x2)) + sqrt(abs(((x0 - (x4 * 6.464386)) * (6.4856596 - (x3 + x2))) * sqrt(x5))))"
29,30.53194,"sqrt(((abs(sqrt(x5) - x0) + abs(x1)) * sqrt(x2)) + sqrt(abs(((x4 * 6.464386) - x0) * (((x3 + x2) - 6.4856596) * sqrt(x5)))))"
30,30.483131,"sqrt((sqrt(abs((x2 + (x3 - 5.5645723)) * (sqrt(x5) * ((x1 - x0) + (x4 * 6.48415))))) + x1) + abs(sqrt(x2) * (x0 - sqrt(x5))))"
31,30.477585,"sqrt((abs((x0 - sqrt(x5)) * sqrt(x2)) + sqrt(abs((((x4 * 6.484132) + (x1 - x0)) * sqrt(x5)) * (x2 + (x3 - 5.566327))))) + abs(x1))"
32,30.334515,"sqrt(sqrt(abs(((x0 - (x3 + x3)) + (x4 * -5.132409)) * (sqrt(x5) * (x3 + (x2 - 6.4606533))))) + ((abs(x0 - sqrt(x5)) + x1) * sqrt(x2)))"
33,30.323044,"sqrt(sqrt(abs(((x0 - (x3 + x3)) + (x4 * -5.132409)) * (sqrt(x5) * (x3 + (x2 - 6.4606533))))) + ((abs(x0 - sqrt(x5)) + abs(x1)) * sqrt(x2)))"
34,30.248587,"sqrt(sqrt(sqrt(x5) * abs((x3 - ((x4 * -4.7245255) + (x0 - x3))) * ((x2 + x3) - 6.435096))) + ((x1 + abs(x0 - sqrt(x5))) * sqrt(x2 + 0.5855999)))"
35,30.234814,"sqrt(((abs(x0 - sqrt(x5)) + abs(x1)) * sqrt(x2 + 0.56740016)) + sqrt(abs(((((x4 * -4.7389607) + x0) - (x3 + x3)) * sqrt(x5)) * ((x2 + x3) - 6.433126))))"
37,30.203375,"sqrt(abs(sqrt(x2 + x3) * (x0 + ((sqrt(x5) / x0) - sqrt(x5)))) + (sqrt(sqrt(x5) * abs(((x4 * -5.1561666) + (x0 - x1)) * ((x2 + x3) - 5.5534716))) + x1))"
38,30.176952,"sqrt(sqrt(abs((sqrt(x5) * (x2 + (x3 - 6.3798356))) * ((x4 * -4.016614) + (1.7117016 * ((x0 - x1) - (x2 + x3)))))) + (abs(sqrt(x2) * (sqrt(x5) - x0)) + (x4 + x1)))"
39,30.172672,"sqrt(sqrt(abs((sqrt(x5) * ((x2 + x3) - 6.3798356)) * ((((x0 - x1) - (x2 + x3)) * 1.7117016) + (x4 * -4.016614)))) + (abs(sqrt(x2) * (sqrt(x5) - x0)) + (x4 + abs(x1))))"
40,30.085293,"sqrt(x4 + ((abs((sqrt(x2) * ((-1.6165185 / x0) + 1.6093572)) * (sqrt(x5) - x0)) + x1) + sqrt(abs((((x0 - x1) - x3) + (x4 * -3.722481)) * (((x2 + x3) - 6.363022) * sqrt(x5))))))"
41,30.08216,"sqrt(((x4 + abs(((-1.6165185 / x0) + 1.6093572) * (sqrt(x2) * (sqrt(x5) - x0)))) + abs(x1)) + sqrt(abs(((x4 * -3.722481) + ((x0 - x1) - x3)) * ((x2 + (x3 - 6.363022)) * sqrt(x5)))))"
42,30.029661,"sqrt(sqrt(abs(((x2 + (x3 - 6.3815007)) * sqrt(x5)) * ((((x0 - x1) - x3) / 0.6036944) + (x4 * -4.0363755)))) + (x4 + (((((-1.6654675 / x0) + 1.3853165) * sqrt(x2)) * abs(x0 - sqrt(x5))) + x1)))"
43,30.027637,"sqrt(sqrt(abs(((x2 + (x3 - 6.3815007)) * sqrt(x5)) * ((x4 * -4.0363755) + (((x0 - x1) - x3) / 0.6036944)))) + (x4 + abs(((((-1.6654675 / x0) + 1.3853165) * sqrt(x2)) * abs(x0 - sqrt(x5))) + x1)))"
44,29.99632,"sqrt(sqrt(abs(((x4 * -4.238711) + (((x0 - x1) - x3) * 1.4681447)) * (sqrt(x5) * (x2 + (x3 - 6.4050775))))) + ((x4 + x1) + (sqrt(x2) * (((x2 * (-0.19543721 / x0)) + 1.3735324) * abs(sqrt(x5) - x0)))))"
45,29.992638,"sqrt(sqrt(abs(((x4 * -4.238711) + (((x0 - x1) - x3) * 1.4681447)) * (sqrt(x5) * ((x2 + x3) - 6.4050775)))) + abs((x4 + x1) + (sqrt(x2) * (((x2 * (-0.19543721 / x0)) + 1.3735324) * abs(sqrt(x5) - x0)))))"
46,29.938835,"sqrt(sqrt(abs((((x0 * 1.582784) - x1) + ((x4 * -3.967786) - (x3 * 3.1972115))) * ((6.418523 - (x3 + x2)) * sqrt(x5)))) + ((sqrt(x2) * ((((x2 / x0) * -0.19849591) + 1.4072065) * abs(x0 - sqrt(x5)))) + (x4 + x1)))"
47,29.934544,"sqrt(sqrt(abs((((x0 * 1.582784) - x1) + ((x4 * -3.967786) - (x3 * 3.1972115))) * ((6.418523 - (x3 + x2)) * sqrt(x5)))) + abs((sqrt(x2) * ((((x2 / x0) * -0.19849591) + 1.4072065) * abs(x0 - sqrt(x5)))) + (x4 + x1)))"
48,29.921732,"sqrt(((abs((x0 - sqrt(x5)) + 1.5594428) * ((((x2 / x0) * -0.2070309) + 1.333832) * sqrt(x2))) + (x1 + x4)) + sqrt(abs((sqrt(x5) * (6.4030333 - (x3 + x2))) * ((((x0 - x1) - (x3 + x2)) * 1.6590037) + (x4 * -3.7594328)))))"
50,29.914877,"sqrt(sqrt(abs((sqrt(x5 + x4) * ((x2 + x3) - 6.405524)) * ((((x0 - x1) - (x3 + x2)) * 1.6574128) + (x4 * -3.7559009)))) + ((x1 + x4) + ((sqrt(x2) * (((x2 / x0) * -0.2029368) + 1.3222784)) * abs((x0 - sqrt(x5)) + 1.545038))))"
