Complexity,Loss,Equation
1,56.61397,"13.923825"
3,46.554874,"x3 + 6.6240354"
4,45.77861,"x3 + log(x5)"
5,45.38144,"(x5 * 0.0029146138) + 9.757087"
6,44.11349,"sqrt(x2 * x3) + 7.999751"
7,43.04705,"((x5 * 0.0017929545) + 5.9918003) + x2"
8,42.138866,"log(x5) + ((x3 + x2) * 0.558137)"
9,41.921543,"sqrt((x2 * x3) + x4) + log(x5)"
10,41.570625,"log(x5) + sqrt(abs(x1 + (x2 * x3)))"
11,41.026554,"sqrt(((sqrt(x5) + x1) + (x3 * x2)) / 0.47672346)"
12,40.690525,"sqrt((x3 * x2) + (x1 + x4)) + sqrt(sqrt(x5))"
13,40.666386,"sqrt(((x4 + (sqrt(x5) + x1)) + (x3 * x2)) / 0.53968215)"
14,40.65367,"sqrt(x4 + (x1 + (x2 * x3))) + sqrt(sqrt(x5 + 38.187386))"
15,40.640533,"sqrt(((sqrt(x5) + ((x3 * x2) * 0.8496698)) + (x4 + x1)) / 0.5080719)"
16,40.517242,"sqrt((x4 + (x2 * x3)) + x1) + sqrt(sqrt(x5 + 289.72314) + -7.497088)"
17,40.31926,"sqrt(x4) + sqrt(abs(sqrt(x3 * x5) + -37.235123) + ((x2 * 6.3341303) + x1))"
18,40.315845,"sqrt(x4) + sqrt((abs(sqrt(x3 * x5) + -37.235123) + (x2 * 6.3341303)) + abs(x1))"
19,40.196728,"sqrt(x4) + sqrt((((x2 / 0.17340605) + abs(sqrt(x3 * x5) + -43.600105)) + x3) + x1)"
20,40.19601,"sqrt(x4) + sqrt(((x2 / 0.17340605) + (abs(-43.600105 + sqrt(x5 * x3)) + x3)) + abs(x1))"
21,40.108093,"sqrt(x4) + sqrt(abs((sqrt(x5 * x3) + -22.904955) - x0) + (x1 + ((x2 * 5.342908) + x3)))"
22,39.950798,"sqrt(abs(abs(x0 - sqrt(x3 * x5)) + -25.919447) + (((x2 + 2.045119) * 5.4849634) + x1)) + sqrt(x4)"
24,39.808582,"sqrt(x4) + sqrt((((x2 + 2.6416361) * 5.159739) + x1) + abs(abs(sqrt(x3 * x5) - (x0 * 1.6058029)) + -21.079882))"
25,39.80692,"sqrt(x4) + sqrt((x1 + ((x2 + sqrt(x3)) * 4.9462442)) + abs(abs(sqrt(x3 * x5) - (x0 * 1.598409)) + -18.632607))"
