Complexity,Loss,Equation
1,56.613956,"13.923829"
3,46.554874,"x3 + 6.624026"
4,45.77861,"log(x5) + x3"
5,45.38144,"(x5 * 0.002914677) + 9.75707"
6,43.957153,"sqrt((x3 + x2) * 16.29791)"
7,43.04705,"((x5 * 0.0017931062) + 5.9915967) + x2"
8,42.138866,"log(x5) + ((x2 + x3) * 0.5580962)"
9,42.12668,"abs(log(x5)) + ((x3 + x2) * 0.5580984)"
10,41.51686,"sqrt(((x3 + x2) * 10.63337) + (x5 * 0.051954538))"
11,41.294735,"((x2 + x3) * 0.46080923) + ((x5 * 0.0015209657) + 5.9115787)"
12,40.84023,"(x5 * 0.0014576126) + sqrt(x1 + ((x2 + x3) * 9.902844))"
14,40.538162,"sqrt(((x4 + x1) * 2.9540324) + ((x2 * x3) - (x5 * -0.044008486)))"
15,40.43862,"sqrt(((((x3 * sqrt(x2)) + x1) + x4) * 2.9376733) - (x5 * -0.04039862))"
16,40.30444,"sqrt(((x2 + 3.6195304) * x3) + (((x4 + x1) * 2.4754303) - (x5 * -0.03791668)))"
17,40.29934,"sqrt(((abs(x1) + x4) * 2.4847424) + (((x2 + 3.5775657) * x3) - (x5 * -0.037837595)))"
18,40.25831,"sqrt((((x1 + x4) * 2.2045257) + ((x2 + 2.8740938) * (x3 - -1.8091168))) - (x5 * -0.037859358))"
19,40.204464,"sqrt(abs(x0 + (x5 * -0.049423)) + (((x2 + x3) * 7.6991544) + ((x1 + x4) + x1)))"
20,40.20309,"sqrt((x4 + abs(x1 + (abs(x0 + (x5 * -0.049564317)) + x1))) + ((x3 + x2) * 7.6855726))"
21,40.072308,"sqrt(((((x2 + x3) * 3.9298646) + (x4 * 1.681431)) + abs(x0 - (x1 + (x5 * 0.024144577)))) / 0.53385574)"
22,40.064507,"sqrt(((sqrt(x4) + (x3 + x2)) * 7.3943434) + abs((((x1 + x4) - x0) * 2.002455) - (x5 * -0.03939264)))"
23,40.03611,"sqrt(((x2 + (x3 + 2.2963562)) * 6.6144366) + abs(((((x1 + x4) + x4) - x0) * 1.9393951) - (x5 * -0.037488673)))"
24,39.89235,"sqrt((((x2 + x3) * 7.19711) + (x4 * 2.9144156)) + (x1 + abs((x1 + abs(x0 + (x5 * -0.04691151))) - x0)))"
26,39.866108,"sqrt((((x2 + x3) * 7.0398273) + (x4 * 2.8897026)) + (x1 + abs(abs((x5 * -0.045451175) + x0) + (x2 + (x1 - x0)))))"
28,39.854263,"sqrt(abs(abs(x0 + (x5 * -0.044756696)) + ((x1 + x2) - x0)) + (((x2 + x3) * 6.3618927) + (x1 + (x4 * 2.5448306)))) + 0.51968384"
29,39.85419,"sqrt(abs((abs(x0 + (x5 * -0.044756696)) + abs(x1 + x2)) - x0) + (((x3 + x2) * 6.3618927) + (x1 + (x4 * 2.5448306)))) + 0.51968384"
30,39.747307,"sqrt((x1 + ((((x2 / 0.39295295) + x4) * 3.1315415) + 20.068354)) + abs((x1 - x0) + abs(-30.473742 - ((x0 + (x5 * -0.040521823)) - (x3 / 0.11236861)))))"
31,39.746685,"sqrt((x1 + ((((x2 / 0.39295295) + x4) * 3.1315415) + 20.068354)) + abs((abs(x1) - x0) + abs(-30.473742 - (x0 + ((x5 * -0.040521823) - (x3 / 0.11236861))))))"
32,39.67459,"sqrt(((((x2 / 0.39919764) + (x4 + x3)) * 2.7995412) + (x1 + 17.505068)) + abs(abs(-30.551302 - ((x0 + (x5 * -0.041061573)) - (x3 / 0.1313738))) + (x1 - x0)))"
33,39.67325,"sqrt(((((x4 + x3) + (x2 / 0.39919764)) * 2.7995412) + (17.505068 + x1)) + abs(abs(-30.551302 - ((x5 * -0.041061573) + (x0 - (x3 / 0.1313738)))) + (abs(x1) - x0)))"
34,39.63862,"sqrt(abs((abs((x0 - (x3 / 0.11035339)) + ((x5 * -0.042430066) - -39.186573)) + x1) - (x0 * 1.4033893)) + ((((x2 / 0.1435058) + ((x4 + x3) * 2.5027585)) + 22.209406) + x1))"
35,39.45942,"sqrt((((x4 + (x3 * 8.643738)) + x1) + (x1 + (x2 / 0.11921361))) + (abs((x5 * 0.073265895) + ((25.652132 - x3) * -4.541356)) + (sqrt(x5) - abs((x5 * -0.057011995) + 103.13087))))"
36,39.457172,"sqrt(abs((((x5 * -0.018335992) + 27.756382) - x3) * -3.2934787) + abs(((x4 + (x3 * 8.825651)) + ((x2 / 0.11215195) + x1)) + (sqrt(x5) + (x1 - abs((x5 * -0.04777992) + 91.828445)))))"
37,39.41425,"sqrt(((x1 + (x4 + (x2 / 0.26905978))) * 2.1370406) + (((sqrt(x5) + (x3 * 7.8121057)) - abs(((x5 * -0.04604432) + x0) - -72.49362)) + abs((((x5 * -0.015902033) + 25.030426) - x3) * 3.6281838)))"
38,39.307995,"sqrt(abs(((24.958982 - x3) + (x5 * -0.01594625)) * 3.585826) + abs(((((x1 + x4) + (x2 / 0.2863264)) * 2.2021902) + (sqrt(x5) + (x3 * 7.7966456))) - abs(((x5 * -0.045912083) + x0) - -72.488716)))"
40,39.26043,"sqrt(abs((((x5 * -0.016041229) + 24.67192) - x3) * 3.5756555) + abs(((x2 / 0.15108804) + ((x4 + (x4 + x1)) * 1.7066269)) + ((sqrt(x5) - abs((x5 * -0.0451827) + (x0 - -72.535385))) + (x3 * 7.81843))))"
42,39.20623,"sqrt(abs(((x4 + (sqrt(x5) + ((x4 + x1) * 1.8986099))) + ((x2 / 0.14203821) + (x3 * 7.794107))) - abs((x0 + (x5 * -0.044659212)) - -72.22054)) + (abs((x3 - x0) - ((x5 * -0.031717144) + 23.332136)) * 1.6881895))"
44,39.165234,"sqrt(abs((((sqrt(x5) + (x2 / 0.14593692)) + ((x1 + (x4 + x4)) * 1.7104162)) - abs((x5 * -0.041850604) + (x0 - -71.06251))) + (x3 * 8.048643)) + abs((((x3 - x0) + x3) - ((x5 * -0.033448644) + 31.883268)) * 1.3996183))"
46,39.158737,"sqrt((abs((x3 - ((x5 * -0.027371315) + 23.754942)) + (x3 - x0)) * 1.7905924) + abs(((((x3 * 7.8568926) + sqrt(x5 + 23.70913)) + (x2 / 0.15020818)) + (((x1 + x4) + x4) * 1.6501148)) - abs((x0 - -72.15825) + (x5 * -0.043204214))))"
48,39.146725,"sqrt(abs((((x4 + (x4 + x1)) * 1.6520743) - abs((x0 + (x5 * -0.04314119)) - -72.20894)) + (sqrt(x5) + ((x3 * 7.868136) + (x2 / 0.14823498)))) + abs(((x3 - x0) + ((x3 - ((x5 * -0.027865373) + 23.703434)) - (x4 / x0))) * 1.807348))"
50,39.13685,"sqrt(abs((((x3 * 7.8685966) + ((x2 / 0.14853887) + sqrt(x5))) + (((x4 + x4) + x1) * 1.6517894)) - abs(x0 + ((x5 * -0.04316725) - -72.20748))) + abs((((x3 + x4) / x0) - (((x3 - x0) + x3) - ((x5 * -0.028161045) + 23.70504))) * 1.8087463))"
