Complexity,Loss,Equation
1,56.613956,"13.923829"
3,46.554874,"x3 - -6.624031"
4,45.77861,"log(x5) + x3"
5,45.38144,"(x5 * 0.0029146124) + 9.757164"
6,43.957153,"sqrt((x3 + x2) * 16.30012)"
7,43.04705,"((x5 * 0.0017930998) + 5.9916143) + x2"
8,42.647205,"x2 + (sqrt(x3) + sqrt(sqrt(x5)))"
9,42.12166,"sqrt(sqrt(x5)) + ((x2 + x3) * 0.62550277)"
10,41.988815,"sqrt(x1 + sqrt(x5)) + sqrt(x3 * x2)"
11,41.00436,"sqrt(x1 + sqrt(x5)) + ((x2 + x3) * 0.51187193)"
12,40.690525,"sqrt(sqrt(x5)) + sqrt((x1 + x4) + (x3 * x2))"
13,40.568092,"sqrt(((x5 * 0.03673605) + (x2 * x3)) + x1) + sqrt(x4)"
14,40.56342,"sqrt((x5 * 0.03673605) + ((x2 * x3) + abs(x1))) + sqrt(x4)"
15,40.36875,"(x5 * 0.0010969414) + (sqrt(x4) + sqrt((x3 * x2) + (x1 + 19.278452)))"
17,40.359764,"sqrt((x1 / 0.85797447) + ((x5 * 0.029604033) + ((x2 * x3) - -11.120186))) + sqrt(x4)"
18,40.33368,"sqrt(((x1 / 0.7262794) + (x5 * 0.028229894)) + ((x2 * x3) - -6.5033007)) + sqrt(abs(x4))"
19,40.311386,"sqrt(sqrt(x5) + (x1 + 3.2702177)) + sqrt(abs(x2 * (x3 + (x0 * -0.09836911))) + x4)"
20,40.303173,"sqrt(sqrt(abs((log(x0) - x3) * x5)) + (x1 - (x2 * -6.1900907))) + sqrt(x4 * 0.69314724)"
21,40.109867,"sqrt(sqrt(abs((2.460682 - x3) * ((x0 / -0.03603509) + x5))) + (x1 + (x2 * 5.511629))) + sqrt(x4)"
22,40.09128,"sqrt(x4) + sqrt((x1 + (x2 * 5.290988)) + sqrt(abs((log(x0) - x3) * ((x0 / -0.059786405) + x5))))"
23,40.00305,"sqrt(x1 + sqrt(x5 + abs(((0.09010474 * x0) - x3) * (x5 + (x0 / -0.033747837))))) + sqrt(x2 + x4)"
25,39.98707,"sqrt(x1 + sqrt(x5 + abs(((0.09010474 * x0) - x3) * ((x1 + x5) + (x0 / -0.033747837))))) + sqrt(x2 + x4)"
26,39.930492,"sqrt(x4 + x2) + sqrt(((x2 / 0.39413357) + x1) + sqrt(abs(x5 + ((x3 - sqrt(x0)) * ((x0 / -0.062529445) + x5)))))"
27,39.8361,"sqrt((x1 - (x2 / -0.21658915)) + sqrt(abs(((x0 * 0.11925727) - (x3 / 1.5527511)) * ((x0 / -0.057965625) + x5)))) + sqrt(x3 + x4)"
29,39.83034,"sqrt((sqrt(abs(((x0 * 0.119031385) - (x3 / 1.5528955)) * ((x0 / -0.057947304) + x5))) + x1) - (-0.13516693 - (x2 / 0.2266574))) + sqrt(x3 + x4)"
31,39.817287,"sqrt(x4 + x3) + sqrt((sqrt(abs((x5 + (x0 / -0.05825755)) * ((0.13521716 * x0) - (x3 / 1.3728501)))) + x1) - (((x3 / x0) - x2) / 0.24224457))"
32,39.813637,"sqrt(sqrt(abs((x5 + (x0 / -0.059435334)) * (((x0 * 0.18434153) - x3) / 1.3996353))) + (x1 - (((x3 / x0) - x2) / 0.23088093))) + sqrt(abs(x4 + x3))"
33,39.764797,"sqrt(x4) + sqrt((x3 - (((-0.5214486 - x2) / 0.28268614) - x1)) + sqrt(abs((x5 - (x1 * x1)) + ((x5 + (x0 / -0.040920302)) * ((x0 * 0.11306707) - x3)))))"
35,39.689213,"sqrt((x1 - ((0.95354855 - x2) / 0.26445845)) + sqrt(abs((x5 - (x1 * x1)) + (((x0 / -0.04150111) + x5) * ((x0 * 0.08673755) - (x3 / 1.2245721)))))) + sqrt(x4 + x3)"
37,39.660175,"sqrt(sqrt(abs((((x0 / -0.04150111) + x5) * ((0.08673755 * x0) - (x3 / 1.2245721))) + (x5 - (x1 * x1)))) + (x1 - (((x4 / x0) - x2) / 0.26445845))) + sqrt(x3 + x4)"
39,39.650803,"sqrt(x3 + x4) + sqrt((x1 - (((x4 / x0) - x2) / 0.26445845)) + sqrt(abs(((x5 + (x0 / -0.04150111)) * ((x0 * 0.08673755) - (x3 / 1.2245721))) + (x5 - (x1 * (x1 + x3))))))"
41,39.642456,"sqrt(x4 + x3) + sqrt(((x1 + -0.98208004) - (((x4 / x0) - x2) / 0.26431796)) + sqrt(abs((((x0 * 0.08718905) - (x3 / 1.22466)) * ((x0 / -0.04115871) + x5)) + (x5 - ((x1 + x3) * x1)))))"
43,39.634537,"sqrt((((x2 - (x2 * x3)) / x0) - (((1.1064724 - x2) / 0.21141005) - x1)) + sqrt(abs((((x0 / -0.05401666) + (x5 / 1.2469999)) * ((x0 * 0.101060115) - x3)) + (x5 - (x1 * x1))))) + sqrt(x4 + x3)"
44,39.620987,"sqrt(x3 + x4) + sqrt(((-0.45243207 - ((x2 * x3) / x0)) - ((sqrt(x0) - (x2 / 0.21141005)) - x1)) + sqrt(abs((((x0 / -0.05401666) + (x5 / 1.2469999)) * ((x0 * 0.101060115) - x3)) + (x5 - (x1 * x1)))))"
45,39.610268,"sqrt(sqrt(abs((((x0 / -0.05401666) + (x5 / 1.2469999)) * ((x0 * 0.101060115) - x3)) + (x5 - (x1 * x1)))) + (((1.4505715 - (x2 * x3)) / x0) - (((0.21768974 * x0) - (x2 / 0.21768974)) - x1))) + sqrt(x4 + x3)"
46,39.607944,"sqrt(sqrt(abs((((x0 * 0.101060115) - x3) * ((x0 / -0.05401666) + (x5 / 1.3342695))) + (x5 - (x1 * x1)))) + ((((log(x0) - x2) * x3) / x0) - (((0.21768974 * x0) - (x2 / 0.21141005)) - x1))) + sqrt(x4 + x3)"
