Complexity,Loss,Equation
1,56.613983,"13.921707"
3,46.554874,"x3 + 6.624035"
4,45.77861,"x3 + log(x5)"
5,45.38144,"(x5 * 0.0029145502) + 9.757088"
6,43.957153,"sqrt(x3 + x2) * 4.037473"
7,43.047054,"(x2 + 5.9918127) + (x5 / 557.73975)"
8,42.138866,"(0.55809903 * (x3 + x2)) + log(x5)"
9,42.12166,"sqrt(sqrt(x5)) + ((x3 + x2) * 0.6254985)"
10,41.838886,"((x3 + x2) * 0.55687517) + sqrt(x1 + 26.555895)"
11,41.00436,"sqrt(sqrt(x5) + x1) + ((x3 + x2) * 0.51186574)"
12,41.000698,"sqrt(sqrt(x5) + abs(x1)) + ((x3 + x2) * 0.51184267)"
13,40.605404,"sqrt(x1 + (sqrt(x5) + x4)) + ((x3 + x2) * 0.4525281)"
14,40.604565,"sqrt(sqrt(x5) + (abs(x1) + x4)) + ((x2 + x3) * 0.45245585)"
15,40.47957,"((x2 + x3) * 0.36960635) + (sqrt(sqrt(x5) + (x4 + x1)) / 0.8737471)"
16,40.345276,"((x3 + sqrt(((x1 * x4) + 319.1388) + (x5 / 3.9086008))) + x2) * 0.32022697"
17,40.292656,"0.3150481 * ((x2 + x3) + sqrt(((abs(x1) + x4) * 19.142397) + (x5 / 3.5898328)))"
18,40.173374,"(x3 + (sqrt((x5 / 4.1615415) + (((x1 + x4) + 7.7224283) * 14.099644)) + x2)) * 0.32880524"
19,40.167164,"((sqrt((x5 / 4.681618) + ((x1 * 11.685902) + 194.75385)) + x3) + sqrt(x2 * x4)) * 0.331593"
20,40.068634,"(x3 + (sqrt(((x5 / 3.8789365) + (((x1 - x0) + x4) * 15.100435)) + 553.329) + x2)) * 0.30541545"
21,40.066757,"((x2 + sqrt(((x5 / 3.890357) + (((x4 - x0) + abs(x1)) * 15.224397)) + 553.323)) + x3) * 0.3052955"
22,40.056564,"((x3 + x2) + (sqrt((((x4 + x1) - x0) * 16.849333) + ((x5 / 3.5668337) + 723.8438)) + -3.4776638)) * 0.3063784"
