Complexity,Loss,Equation
1,56.613956,"13.92383"
3,46.554874,"x3 + 6.624035"
4,45.77861,"x3 + log(x5)"
5,45.38144,"(x5 * 0.0029146678) + 9.7570505"
6,43.95715,"sqrt((x2 + x3) * 16.299955)"
7,43.04705,"((x5 * 0.0017930466) + x2) - -5.9916315"
8,42.138866,"log(x5) + ((x3 + x2) * 0.5581503)"
9,42.12668,"((x2 + x3) * 0.5580984) + abs(log(x5))"
10,41.83624,"sqrt((((x2 * x3) + 21.224861) + x1) / 0.41411287)"
11,41.026554,"sqrt(((x3 * x2) + (x1 + sqrt(x5))) / 0.47672346)"
12,41.016937,"sqrt(((x2 * x4) + (x5 * 0.043385696)) - (x3 / -0.10695544))"
13,40.666386,"sqrt((((x4 + x1) + (x2 * x3)) + sqrt(x5)) / 0.53968126)"
14,40.538162,"sqrt(((x3 * x2) + ((x4 + x1) * 2.9527674)) + (x5 * 0.0440291))"
15,40.52404,"sqrt((x5 * 0.04372006) + (((x4 + abs(x1)) * 2.9636657) + (x3 * x2)))"
16,40.30444,"sqrt((((x1 + x4) * 2.4719093) + (x5 * 0.03789852)) + (x3 * (x2 - -3.6341805)))"
17,40.299343,"sqrt(((x5 * 0.03785947) + ((x4 + abs(x1)) * 2.4834895)) + (x3 * (x2 - -3.5778055)))"
18,40.256706,"sqrt((((x1 + (x4 + x2)) * 2.2341778) + ((x2 - -3.2643037) * x3)) + (x5 * 0.037319105))"
19,40.224518,"sqrt((x3 * (x2 - -4.025479)) + (abs((x5 * 0.04283228) - x0) + ((x4 + x1) * 2.5944152)))"
20,40.21349,"sqrt(((x3 * (x2 - -4.025479)) + abs((0.04283228 * x5) - x0)) + (2.5944152 * (x4 + abs(x1))))"
21,40.08266,"sqrt((((x2 - -2.5842216) * x3) + ((x1 + (x4 + 8.214684)) * 2.2607467)) + abs(x0 - (x5 * 0.045109045)))"
22,40.077393,"sqrt((x3 * (x2 - -2.914281)) + ((((x4 + log(x5)) + x1) * 2.3869553) + abs(x0 - (x5 * 0.041546036))))"
23,40.057564,"sqrt((((x2 - -2.4697616) * x3) + (x1 * 1.9697939)) + (((x4 + 5.744445) * 2.901906) + abs(x0 - (x5 * 0.045296453))))"
24,39.933746,"sqrt(((((x1 + abs(sqrt(x5) + (-13.27786 - x0))) + sqrt(x5)) + ((x3 * sqrt(x2)) + x4)) - x0) / 0.40071982)"
25,39.822952,"sqrt((((abs((sqrt(x5) - x0) + -8.94753) + (x1 - x0)) + x4) + (sqrt(x5) + ((x3 + x2) * 2.8668509))) / 0.49171653)"
26,39.802723,"sqrt(((x2 * sqrt(x4)) + (((x1 + (sqrt(x5) + (x3 * 3.1116533))) + abs((sqrt(x5) + -12.132172) - x0)) - x0)) / 0.45879763)"
27,39.657078,"sqrt(((sqrt(x5) + x4) + (((x2 + x3) * 2.8331916) + (abs((sqrt(x5) - x0) + (x3 + -15.192199)) + (x1 - x0)))) / 0.5000969)"
28,39.61896,"sqrt((((sqrt(x4) * x2) + abs(((-17.778572 - x0) + sqrt(x5)) + x3)) + ((x1 + ((x3 * 3.2494915) - x0)) + sqrt(x5))) / 0.47446537)"
29,39.561756,"sqrt((((((x3 + x2) * 3.1278787) + (x4 + sqrt(x5))) + abs((((x3 * 2.3732255) + -22.047787) + sqrt(x5)) - x0)) + (x1 - x0)) / 0.53528565)"
30,39.54131,"sqrt((sqrt(x5) + ((abs((-25.454428 - x0) + ((x3 * 2.4468784) + sqrt(x5))) + (x2 * sqrt(x4))) + ((x1 + (x3 * 3.6876037)) - x0))) / 0.50752157)"
31,39.474754,"sqrt((abs((sqrt(x5) + (x3 * log(x0))) + (-27.772106 - x0)) + ((sqrt(x5) + ((x1 + (x3 * 3.7135458)) - x0)) + (x2 * sqrt(x4)))) / 0.50123)"
33,39.45321,"sqrt((((sqrt(x5) - x0) + abs(sqrt(x5) + ((-27.481188 - x0) + (log(x0) * x3)))) + ((x1 + (x3 * 3.8447802)) + (sqrt(x4 * 1.6244901) * x2))) / 0.5322029)"
34,39.445824,"sqrt((abs(((sqrt(x5) + -25.735365) - x0) + (log(x0) * x3)) + (x1 + abs((sqrt(x5) + ((x3 * 3.6068087) + (x4 - x0))) + (sqrt(x4) * x2)))) / 0.5621219)"
35,39.42597,"sqrt(((abs((x3 * log(x0)) + (sqrt(x5) + (-27.427483 - x0))) + (sqrt(x5) + ((x3 * 3.7798164) + ((x2 - 2.1541932) * sqrt(x4))))) + (x1 + (x4 - x0))) / 0.530913)"
37,39.421818,"sqrt((((((x2 - 1.7885712) * sqrt(x4)) + (((x3 * 3.8855221) + x4) + x1)) - x0) + (abs(sqrt(x5) + ((-27.791254 - x0) + (log(x0) * x3))) + (sqrt(x5) + -2.2098386))) / 0.53003985)"
38,39.416027,"sqrt((abs(((sqrt(x5) + x1) - (x0 / 0.82287234)) + (x4 + (x3 * 3.9792528))) + (abs((x3 * log(x0 + -0.8002816)) + ((-27.49677 - x0) + sqrt(x5))) + (sqrt(x4) * x2))) / 0.5529869)"
39,39.408276,"sqrt((abs((x3 * log(x0)) + ((sqrt(x5) + (-30.796724 - x0)) + sqrt(abs(x1)))) + (((((x1 + x4) - x0) + (x2 * sqrt(x4))) + sqrt(x5)) + (x3 * 3.9331255))) / 0.52763784) + -0.68169725"
40,39.398136,"sqrt((abs((sqrt(abs(x1)) + (x3 * log(x0))) + ((-30.743706 - x0) + sqrt(x5))) + (((x2 * sqrt(x4)) + x1) + abs((x4 - x0) + (sqrt(x5) + (x3 * 4.1468267))))) / 0.5285998) + -0.77682585"
41,39.39186,"sqrt((abs((log(x0 + -0.8043238) * x3) + (sqrt(abs(x1)) + ((-30.77281 - x0) + sqrt(x5)))) + ((x2 * sqrt(x4)) + ((((x4 + x1) - x0) + sqrt(x5)) + (x3 * 3.8975618)))) / 0.51875114) + -0.7718233"
