Complexity,Loss,Equation
1,50.09052,"x4"
3,41.903538,"x2 + 7.8964853"
4,39.77609,"x2 + log(x5)"
5,39.11485,"sqrt(x2 * sqrt(x5))"
6,37.644463,"x2 + sqrt(x5 * 0.04951603)"
7,36.00035,"log(x5) + sqrt(x2 * x3)"
8,35.81695,"sqrt(sqrt(x3 * x5)) + sqrt(x4)"
9,34.578648,"sqrt(sqrt(x3 * x5) + (x4 * x2))"
11,33.513203,"sqrt(x1 + (sqrt(x3 * x5) + (x2 * x4)))"
12,33.508156,"sqrt((sqrt(x3 * x5) + (x2 * x4)) + abs(x1))"
13,33.360123,"sqrt((x4 * x2) + sqrt(x3 * (x5 + (x1 * x1))))"
15,33.30338,"sqrt(((x4 * x2) + sqrt(x3 * x5)) + (x1 * 1.9992347)) + -0.7210271"
16,32.980072,"sqrt(abs(x0 - ((x2 * x4) + (x1 * 1.980334))) + sqrt(x5 * x3))"
17,32.89079,"sqrt((abs(x1) + abs((x4 * x2) + (x1 - x0))) + sqrt(x3 * x5))"
18,32.76718,"sqrt(abs((((x1 + x3) - x0) * 1.9942327) + (x2 * x4)) + sqrt(x3 * x5))"
19,32.763477,"sqrt(sqrt(x5 * x3) + abs((((x3 + abs(x1)) - x0) * 1.9975836) + (x2 * x4)))"
20,32.625397,"sqrt(abs((((x0 - x1) * -2.422199) + (x2 * x2)) - (x4 * -4.4334636)) + sqrt(x5 * x3))"
21,32.62034,"sqrt(abs(((x2 * x2) + (-2.4496112 * (x0 - abs(x1)))) - (x4 * -4.4247174)) + sqrt(x3 * x5))"
22,32.600685,"sqrt(sqrt(x0 + (x5 * x3)) + abs(((x0 - x1) * -2.401821) + ((x2 * x2) - (x4 * -4.413723))))"
23,32.553986,"sqrt(sqrt(x3 * x5) + abs(((x0 - x1) * -2.297411) + ((x2 * sqrt(x3 * x2)) - (x4 * -4.271784))))"
24,32.421017,"sqrt(abs((sqrt(x3 * x5) + (((x2 * x2) - x0) - (2.1101685 * (x0 - x1)))) - (x4 * -4.0777426)) - -25.026354)"
26,32.41992,"sqrt(abs(sqrt(x3 * x5) + ((((x2 * x2) - x0) - (((x0 - x1) * 2.1101685) + 0.6193673)) - (x4 * -4.0777426))) - -25.026354)"
28,32.409184,"sqrt(abs(((((x0 - x1) * -2.3537676) - (x4 * -4.3562336)) + (sqrt(x3 * x5) + (x2 * x2))) - x0) - (-28.085209 - x2)) - 0.48499525"
