Complexity,Loss,Equation
1,50.09052,"x4"
3,41.903538,"x2 + 7.8964853"
4,39.77609,"x2 + log(x5)"
5,39.11485,"sqrt(sqrt(x5) * x2)"
6,37.644463,"(sqrt(x5) * 0.22249964) + x2"
7,36.975292,"sqrt(sqrt((x1 - -9.354383) * x5))"
8,35.646954,"sqrt(sqrt(x4) * (x1 + sqrt(x5)))"
9,34.578648,"sqrt(sqrt(x5 * x3) + (x4 * x2))"
10,34.203213,"sqrt(sqrt(x3 + x2) * (x1 + sqrt(x5)))"
11,33.513203,"sqrt((sqrt(x3 * x5) + (x2 * x4)) + x1)"
12,33.508156,"sqrt(abs(x1) + (sqrt(x3 * x5) + (x2 * x4)))"
13,33.450733,"(x1 * 0.043704834) + sqrt((x4 * x2) + sqrt(x3 * x5))"
14,33.16359,"sqrt((sqrt(x3) * (x1 + sqrt(x5))) + (x2 * x4)) * 0.91824293"
15,33.153473,"sqrt(((x4 * x2) + (sqrt(x3) * (sqrt(x5) + abs(x1)))) * 0.8428349)"
16,33.035748,"sqrt((x1 + 15.432381) + ((x4 * x2) + abs(sqrt(x5 * x3) - x0)))"
17,32.902317,"sqrt(((x2 * x4) + abs(x1 + x1)) + abs(x0 - sqrt(x5 * x3)))"
19,32.78254,"(sqrt((x4 * x2) * x3) / 5.5839186) + (sqrt(abs((x0 - x1) - sqrt(x5))) + 3.6141372)"
20,32.75741,"(sqrt(x2 * (x4 * x3)) / 5.5903354) + (sqrt(abs(sqrt(x5) - (x0 - abs(x1)))) + 3.6199775)"
21,32.710266,"(sqrt(abs(sqrt(x5) - ((x0 - x1) + -6.073034))) + 3.1470282) + (sqrt(x2 * (x4 * x3)) / 5.569626)"
22,32.698963,"((sqrt(x4 * (x3 * x2)) / 5.5859246) + sqrt(abs((-5.437054 - abs(x1)) + (x0 - sqrt(x5))))) + 3.2080395"
23,32.662144,"((sqrt((x3 * x4) * (x2 - -1.6306062)) / 6.14245) + 3.049823) + sqrt(abs((x2 + sqrt(x5)) - (x0 - x1)))"
24,32.595398,"abs(sqrt(abs(sqrt(x5) - ((x0 + -4.347676) - x1))) + ((sqrt(x3 * (x4 * x2)) / 5.3950396) + -3.1135297)) + 6.2033277"
25,32.57554,"6.2033277 + abs(sqrt(abs(sqrt(x5) - (-4.347676 + (x0 - abs(x1))))) + (-3.1135297 + (sqrt(x3 * (x2 * x4)) / 5.3950396)))"
