Complexity,Loss,Equation
1,50.09052,"x4"
3,41.903538,"x2 + 7.8964853"
4,39.77609,"log(x5) + x2"
5,39.11485,"sqrt(sqrt(x5) * x2)"
6,37.644463,"x2 + (sqrt(x5) * 0.2224997)"
7,37.020084,"((x5 * 0.0021102647) + 5.0570226) + x2"
8,35.646954,"sqrt((x1 + sqrt(x5)) * sqrt(x4))"
9,34.896027,"sqrt(abs(x1)) + sqrt(sqrt(x3 * x5))"
10,34.203213,"sqrt((sqrt(x5) + x1) * sqrt(x2 + x3))"
11,34.162174,"sqrt(sqrt(x2 + x3) * (sqrt(x5) + abs(x1)))"
12,33.92992,"sqrt((x4 + (x1 + sqrt(x5))) * sqrt(x3 + 0.5743979))"
13,33.920097,"sqrt(((x4 + abs(x1)) + sqrt(x5)) * sqrt(x3 + 0.56900394))"
14,33.398067,"sqrt(((x1 + x4) + sqrt(x5)) * sqrt(x2 + x3)) + -1.8878355"
15,33.369186,"sqrt(sqrt(x2 + x3) * (sqrt(x5) + (abs(x1) + x4))) + -1.8956134"
16,33.238937,"sqrt((sqrt(x3 + x2) * (x1 + (sqrt(x5) + x4))) + 30.841028) + -2.9548442"
17,33.088722,"abs(sqrt(((x4 + x1) + sqrt(x5)) * sqrt(x3 + x2)) + -7.693535) - -5.694844"
18,33.078484,"abs(sqrt(sqrt(x3 + x2) * ((abs(x1) + sqrt(x5)) + x4)) + -7.693535) - -5.694844"
19,32.83485,"(((sqrt(x5) + (x4 + (x1 - (x0 - (x2 * 4.33333))))) + 37.668865) * 0.09736117) + sqrt(x3)"
20,32.773792,"sqrt(x3) + (((abs((x0 - ((x2 * 4.3827915) + x1)) - sqrt(x5)) + 35.035988) + x4) * 0.09915667)"
21,32.766663,"sqrt(x3) + (((x4 + 35.02486) + abs(sqrt(x5) - (x0 - (abs(x1) + (x2 * 4.3604736))))) * 0.09926118)"
22,32.688957,"(abs(x2 + ((x3 - (x0 - x4)) + sqrt((x5 * 0.28335947) + abs(x0 * x1)))) * 0.23016971) + 5.5290704"
24,32.5636,"((x2 + abs((x3 - (x0 - (x2 + x4))) + sqrt((x0 * abs(x1)) + (x5 * 0.3217279)))) * 0.20828186) + 4.9660125"
26,32.51896,"((x2 + abs(sqrt((x5 * 0.29649383) + (x0 * abs(x1))) + (x3 - (x0 - ((x4 * 0.7617282) + x2))))) + 23.197622) * 0.22336584"
28,32.511127,"0.22407947 * ((x2 + 23.197113) + abs(sqrt((0.29368553 * x5) + abs(x3 - (x0 * x1))) + (x3 - (x0 - (x2 + (x4 * 0.7649498))))))"
30,32.507298,"0.22407947 * ((x2 + 23.197113) + abs((x3 - (x0 - (x2 + (x4 * 0.7649498)))) + sqrt(((x5 + x0) * 0.29368553) + abs((x0 * x1) - 23.197113))))"
31,32.505955,"((x2 + 23.197113) + abs(sqrt(abs(x3 - (x5 * 0.29368553)) + abs((x0 * x1) - x3)) + (x3 - (x0 - ((x4 * 0.7649498) + x2))))) * 0.22407947"
32,32.496468,"(abs(sqrt(abs(((x5 * 0.29523093) + (x1 * x0)) - (x3 * (0.070271 * x3)))) + (x3 - (x0 - (0.80489415 * (x2 + x4))))) + (x2 + 23.066286)) * 0.22590947"
33,32.488476,"0.24779917 * (abs((x0 - ((x3 * 1.1754997) + (x2 + (x4 * 0.7742816)))) - (sqrt((x5 * 0.23617733) + abs(x1 * x0)) - (x3 * sqrt(x3 / x5)))) + 23.364452)"
34,32.464283,"0.24779917 * (abs((x0 - ((x4 * 0.7742816) + ((x2 + x3) * 1.1754997))) - (sqrt((x5 * sqrt(0.03755209)) + abs(x1 * x0)) - (x3 * sqrt(x3 / x5)))) + 23.364452)"
37,32.41128,"((2.3538296 / (2.680209 / (x2 + 25.943197))) + abs(((x3 - (x3 * sqrt(x3 / x5))) - (x0 - (x2 + (x4 * 0.7666644)))) + sqrt((x5 * 0.26166573) + (x0 * abs(x1))))) * 0.233103"
39,32.379177,"((2.4382677 / (2.8531637 / (x2 + 27.212397))) + abs((x0 - ((x2 + (x3 * 1.202816)) + (x4 * 0.75225854))) - (sqrt(abs(x0 * x1) + (x5 * 0.25513038)) - (x3 * sqrt(x3 / x5))))) * 0.22726887"
43,32.33201,"(abs((x3 - (sqrt((x2 * x3) / x5) * x3)) + (sqrt((x5 * 0.23167104) + abs(x0 * x1)) - (x0 - (x2 + ((x3 * 0.44425339) + (x4 * 0.76736826)))))) + (2.085942 / (2.2396753 / (x2 + 25.048256)))) * 0.22342215"
44,32.297028,"((2.5109437 / (2.8728836 / (x2 + 27.164259))) + abs((sqrt((x5 * 0.2281782) + abs(x1 * x0)) - (x0 - (((x3 * 0.56271744) + x2) + (x4 * 0.75333506)))) + (x3 - (x3 * sqrt(log(x5) * (x3 / x5)))))) * 0.22161381"
