Complexity,Loss,Equation
1,50.09052,"x4"
3,41.903538,"x2 + 7.8964853"
4,39.77609,"log(x5) + x2"
5,39.11485,"sqrt(x2 * sqrt(x5))"
6,37.644463,"x2 + (sqrt(x5) / 4.4944115)"
7,36.00035,"log(x5) + sqrt(x3 * x2)"
8,35.81695,"sqrt(sqrt(x5 * x3)) + sqrt(x4)"
9,34.578648,"sqrt((x4 * x2) + sqrt(x3 * x5))"
11,33.513203,"sqrt((x4 * x2) + (sqrt(x3 * x5) + x1))"
12,33.508156,"sqrt((x4 * x2) + (sqrt(x3 * x5) + abs(x1)))"
13,33.360123,"sqrt(sqrt(x3 * (x5 + (x1 * x1))) + (x4 * x2))"
15,33.279594,"sqrt((x2 * x4) + sqrt((x3 * ((x1 * x1) + x5)) + 129.24792))"
16,32.980415,"sqrt(sqrt(x5 * x3) + abs(x0 - ((x1 + x1) + (x4 * x2))))"
17,32.89079,"sqrt(sqrt(x5 * x3) + (abs(((x4 * x2) + x1) - x0) + abs(x1)))"
18,32.60675,"sqrt(abs(sqrt(x3 * x5) + ((x4 * x2) + ((x1 - x0) / 0.4662247))) - -22.535006)"
19,32.59809,"sqrt(abs(((abs(x1) - x0) * 2.1755733) + (sqrt(x5 * x3) + (x2 * x4))) + 22.51524)"
20,32.455437,"sqrt(abs(((x4 * 0.8125285) * x2) + (((x1 - x0) * 2.278078) + sqrt(x5 * x3))) + 31.172682)"
21,32.44397,"sqrt(abs(((x4 * (x2 * 0.815208)) + ((abs(x1) - x0) * 2.2645204)) + sqrt(x3 * x5)) + 31.034914)"
23,32.43749,"sqrt((abs(((abs(x1) - x0) * 2.1320713) + (((x2 * x4) * 0.7528941) + sqrt(x5 * x3))) * 1.0459526) + 29.5593)"
24,32.422207,"sqrt((abs((((x2 * x4) * 0.8128905) + sqrt(x3 * x5)) + (x1 - ((x0 + -7.4987044) / 0.3630864))) - -25.185837) + x1)"
25,32.418465,"sqrt((abs(((x2 * (x4 * 0.8143929)) + (sqrt(x5 * x3) - ((x0 + -7.498662) / 0.36114913))) + abs(x1)) + x1) - -25.185854)"
26,32.415943,"sqrt((abs((((x4 * x2) * 0.8153881) + (sqrt(x5 * x3) - ((x0 + -7.437308) * 2.7587094))) + abs(x1)) + abs(x1)) - -25.087667)"
27,32.41315,"sqrt((abs(((x2 * (x4 * 0.7954507)) + sqrt(x5 * x3)) + (abs(-1.2064764 * x1) - ((x0 + -6.660203) / 0.36926958))) + x1) - -24.37257)"
