Complexity,Loss,Equation
1,50.09052,"x4"
3,41.903538,"x2 + 7.8964853"
4,39.77609,"log(x5) + x2"
5,39.11485,"sqrt(x2 * sqrt(x5))"
6,37.644463,"sqrt(x5 / 20.198725) + x2"
7,36.00035,"log(x5) + sqrt(x2 * x3)"
8,35.646954,"sqrt(sqrt(x4) * (x1 + sqrt(x5)))"
9,34.578648,"sqrt(sqrt(x3 * x5) + (x4 * x2))"
10,34.3273,"sqrt((sqrt(x5) + (x1 + x4)) * sqrt(x3))"
11,33.513203,"sqrt(sqrt(x5 * x3) + (x1 + (x2 * x4)))"
12,33.508156,"sqrt((sqrt(x5 * x3) + (x4 * x2)) + abs(x1))"
13,33.450733,"(x1 * 0.04369547) + sqrt((x4 * x2) + sqrt(x5 * x3))"
14,33.16359,"sqrt(((x2 * x4) + (sqrt(x3) * (sqrt(x5) + x1))) * 0.8431701)"
15,33.153473,"sqrt(((x4 * x2) + (sqrt(x3) * (sqrt(x5) + abs(x1)))) * 0.8428622)"
16,32.980415,"sqrt(sqrt(x3 * x5) + abs((((x2 * x4) + x1) + x1) - x0))"
17,32.89079,"sqrt(abs((x1 - x0) + (x4 * x2)) + (sqrt(x3 * x5) + abs(x1)))"
18,32.606754,"sqrt(abs((((x1 - x0) * 2.1508787) + sqrt(x3 * x5)) + (x2 * x4)) + 22.534094)"
20,32.455467,"sqrt(abs(((x4 * (x2 * 0.81672245)) + ((x1 - x0) * 2.2662745)) + sqrt(x5 * x3)) + 30.837633)"
21,32.44399,"sqrt(abs(((x4 * 0.81790763) * x2) + (sqrt(x3 * x5) + ((abs(x1) - x0) * 2.2611475))) + 30.76614)"
22,32.421738,"sqrt(abs(sqrt(x3 * x5) + (((x2 * x4) + (log(sqrt(x5)) * (x1 - x0))) * 0.74292314)) + 33.35038)"
24,32.418938,"sqrt(abs(((sqrt(log(x5)) * (x1 - x0)) + sqrt((x5 + 80.62003) * x3)) + ((x4 * x2) * 0.74892175)) + 31.676168)"
25,32.411366,"sqrt(abs(((abs(x1) - x0) * sqrt(log(x5))) + (sqrt(x3 * (x5 + 40.252792)) + ((x4 * 0.75870603) * x2))) + 32.55404)"
27,32.407585,"sqrt(abs(((x2 * x4) * 0.72950196) + (sqrt(x3 * ((x4 * x2) + x5)) + ((abs(x1) - x0) * sqrt(log(x5))))) + 33.1439)"
