Complexity,Loss,Equation
1,50.09052,"x4"
3,41.903538,"x2 + 7.8964853"
4,39.77609,"log(x5) + x2"
5,39.11485,"sqrt(x2 * sqrt(x5))"
6,37.644463,"x2 + (sqrt(x5) * 0.22249855)"
7,36.00035,"sqrt(x2 * x3) + log(x5)"
8,35.646954,"sqrt((sqrt(x5) + x1) * sqrt(x4))"
9,34.578648,"sqrt(sqrt(x3 * x5) + (x4 * x2))"
10,34.203213,"sqrt(sqrt(x2 + x3) * (sqrt(x5) + x1))"
11,33.513203,"sqrt(sqrt(x5 * x3) + (x1 + (x4 * x2)))"
12,33.508156,"sqrt((sqrt(x3 * x5) + (x2 * x4)) + abs(x1))"
13,33.47784,"sqrt(((x2 * x4) + sqrt(x5 * x3)) + (x1 / 0.8118529))"
14,33.342785,"sqrt((log(x3 + 1.2127246) * (sqrt(x5) + x1)) + (x4 * x2))"
15,33.30325,"sqrt((x1 + (sqrt(x5 * x3) + x1)) + (x4 * x2)) + -0.7318108"
16,33.064766,"sqrt(log(x3 + 2.3622987) * ((sqrt(x5) + x1) + ((x4 * 0.37673947) * x2)))"
17,33.0519,"sqrt(log(x3 + 2.3598075) * ((abs(x1) + ((x2 * 0.37633908) * x4)) + sqrt(x5)))"
18,32.82123,"sqrt((x1 + (sqrt(x5) + (x4 * (x2 * 0.31806237)))) * log((60.119404 / x0) + x3))"
19,32.806698,"sqrt(((x2 * (x4 * 0.31765047)) + (sqrt(x5) + abs(x1))) * log((60.119404 / x0) + x3))"
20,32.78744,"sqrt(log(x3 + (64.27419 / (x0 - -1.7965426))) * ((sqrt(x5) + x1) + ((x4 * 0.32801834) * x2)))"
21,32.622448,"sqrt((abs((((x4 + x2) * 2.668637) + x1) + (x0 * -1.2649182)) + sqrt(x5)) * log(x3 + 2.8583066))"
22,32.609047,"sqrt((sqrt(x5) + abs((x0 * -1.2649182) + (abs(x1) + (2.668637 * (x2 + x4))))) * log(2.8583066 + x3))"
23,32.4684,"sqrt((sqrt(x5) + abs((x4 + (x0 * -1.2861642)) + ((x2 * 4.5565367) + (x1 + x4)))) * log(x3 + 2.7522411))"
24,32.458805,"sqrt((abs(((x4 + (x2 * 4.5374312)) + ((x0 * -1.2840526) + x4)) + abs(x1)) + sqrt(x5)) * log(x3 + 2.761999))"
25,32.36319,"sqrt(x0 + abs(((sqrt(x5) + x1) + ((((x0 * -0.83555144) + x4) + (x2 * 2.4574573)) * 2.027469)) * log(x3 + 1.7733725)))"
